,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2021년05월_계_총인구수,"30,590","9,956","2,118","2,222","3,574","1,517","1,908","2,297","2,725","2,185","2,088"
2021년05월_계_연령구간인구수,"30,590","9,956","2,118","2,222","3,574","1,517","1,908","2,297","2,725","2,185","2,088"
2021년05월_계_0~9세,"1,219",624,52,69,143,39,49,71,75,49,48
2021년05월_계_10~19세,"2,015",992,88,84,257,85,102,104,100,106,97
2021년05월_계_20~29세,"2,544","1,209",137,150,340,81,110,128,166,118,105
2021년05월_계_30~39세,"1,986",894,94,105,256,69,101,95,136,119,117
2021년05월_계_40~49세,"3,042","1,244",170,214,397,127,163,193,204,169,161
2021년05월_계_50~59세,"5,136","1,661",352,415,612,298,302,358,465,315,358
2021년05월_계_60~69세,"6,372","1,604",480,534,690,345,459,546,631,552,531
2021년05월_계_70~79세,"4,477",996,368,340,502,239,334,452,488,401,357
2021년05월_계_80~89세,"3,332",630,337,273,332,201,251,314,411,308,275
2021년05월_계_90~99세,459,100,40,37,45,33,36,35,49,47,37
2021년05월_계_100세 이상,8,2,0,1,0,0,1,1,0,1,2
2021년05월_남_총인구수,"15,533","5,011","1,066","1,166","1,872",802,983,"1,157","1,355","1,097","1,024"
2021년05월_남_연령구간인구수,"15,533","5,011","1,066","1,166","1,872",802,983,"1,157","1,355","1,097","1,024"
2021년05월_남_0~9세,618,320,27,36,71,25,21,35,37,25,21
2021년05월_남_10~19세,"1,060",500,54,45,143,51,54,49,59,50,55
2021년05월_남_20~29세,"1,492",697,81,90,216,50,67,62,94,73,62
2021년05월_남_30~39세,"1,122",463,57,65,155,36,62,59,86,73,66
2021년05월_남_40~49세,"1,780",657,96,136,228,80,111,137,122,110,103
2021년05월_남_50~59세,"2,817",875,190,239,329,178,179,209,267,161,190
2021년05월_남_60~69세,"3,281",776,260,283,366,192,243,276,328,282,275
2021년05월_남_70~79세,"2,042",480,166,166,225,104,151,195,210,192,153
2021년05월_남_80~89세,"1,196",216,125,96,120,76,84,126,143,117,93
2021년05월_남_90~99세,123,26,10,10,19,10,10,9,9,14,6
2021년05월_남_100세 이상,2,1,0,0,0,0,1,0,0,0,0
2021년05월_여_총인구수,"15,057","4,945","1,052","1,056","1,702",715,925,"1,140","1,370","1,088","1,064"
2021년05월_여_연령구간인구수,"15,057","4,945","1,052","1,056","1,702",715,925,"1,140","1,370","1,088","1,064"
2021년05월_여_0~9세,601,304,25,33,72,14,28,36,38,24,27
2021년05월_여_10~19세,955,492,34,39,114,34,48,55,41,56,42
2021년05월_여_20~29세,"1,052",512,56,60,124,31,43,66,72,45,43
2021년05월_여_30~39세,864,431,37,40,101,33,39,36,50,46,51
2021년05월_여_40~49세,"1,262",587,74,78,169,47,52,56,82,59,58
2021년05월_여_50~59세,"2,319",786,162,176,283,120,123,149,198,154,168
2021년05월_여_60~69세,"3,091",828,220,251,324,153,216,270,303,270,256
2021년05월_여_70~79세,"2,435",516,202,174,277,135,183,257,278,209,204
2021년05월_여_80~89세,"2,136",414,212,177,212,125,167,188,268,191,182
2021년05월_여_90~99세,336,74,30,27,26,23,26,26,40,33,31
2021년05월_여_100세 이상,6,1,0,1,0,0,0,1,0,1,2
