,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2021년02월_계_총인구수,"139,088","6,807","7,136","4,463","51,034","30,306","2,434","33,145","3,763"
2021년02월_계_연령구간인구수,"139,088","6,807","7,136","4,463","51,034","30,306","2,434","33,145","3,763"
2021년02월_계_0~9세,"20,055",182,506,81,"9,697","5,096",52,"4,335",106
2021년02월_계_10~19세,"11,940",288,460,134,"4,226","4,212",68,"2,408",144
2021년02월_계_20~29세,"12,401",642,841,346,"4,345","2,455",198,"3,270",304
2021년02월_계_30~39세,"27,229",586,878,353,"13,092","4,918",194,"6,875",333
2021년02월_계_40~49세,"24,148",723,884,371,"9,015","6,694",207,"5,811",443
2021년02월_계_50~59세,"17,059","1,256","1,102",919,"4,824","3,335",470,"4,388",765
2021년02월_계_60~69세,"16,107","1,666","1,345","1,308","3,880","2,437",624,"3,903",944
2021년02월_계_70~79세,"6,909","1,007",718,611,"1,382",833,401,"1,494",463
2021년02월_계_80~89세,"2,734",394,339,271,485,282,181,566,216
2021년02월_계_90~99세,459,60,57,54,79,43,36,90,40
2021년02월_계_100세 이상,47,3,6,15,9,1,3,5,5
2021년02월_남_총인구수,"71,882","3,757","3,989","2,375","25,577","15,118","1,296","17,803","1,967"
2021년02월_남_연령구간인구수,"71,882","3,757","3,989","2,375","25,577","15,118","1,296","17,803","1,967"
2021년02월_남_0~9세,"10,319",89,273,44,"4,904","2,660",21,"2,272",56
2021년02월_남_10~19세,"6,086",164,246,69,"2,066","2,152",43,"1,276",70
2021년02월_남_20~29세,"6,684",385,553,220,"2,134","1,268",118,"1,823",183
2021년02월_남_30~39세,"13,892",336,504,211,"6,482","2,205",117,"3,827",210
2021년02월_남_40~49세,"13,484",444,537,235,"4,952","3,451",137,"3,461",267
2021년02월_남_50~59세,"8,742",731,641,486,"2,281","1,680",257,"2,280",386
2021년02월_남_60~69세,"8,180",928,731,714,"1,868","1,178",331,"1,950",480
2021년02월_남_70~79세,"3,469",519,370,288,713,413,206,719,241
2021년02월_남_80~89세,930,152,124,91,161,99,58,178,67
2021년02월_남_90~99세,83,8,8,12,13,11,8,16,7
2021년02월_남_100세 이상,13,1,2,5,3,1,0,1,0
2021년02월_여_총인구수,"67,206","3,050","3,147","2,088","25,457","15,188","1,138","15,342","1,796"
2021년02월_여_연령구간인구수,"67,206","3,050","3,147","2,088","25,457","15,188","1,138","15,342","1,796"
2021년02월_여_0~9세,"9,736",93,233,37,"4,793","2,436",31,"2,063",50
2021년02월_여_10~19세,"5,854",124,214,65,"2,160","2,060",25,"1,132",74
2021년02월_여_20~29세,"5,717",257,288,126,"2,211","1,187",80,"1,447",121
2021년02월_여_30~39세,"13,337",250,374,142,"6,610","2,713",77,"3,048",123
2021년02월_여_40~49세,"10,664",279,347,136,"4,063","3,243",70,"2,350",176
2021년02월_여_50~59세,"8,317",525,461,433,"2,543","1,655",213,"2,108",379
2021년02월_여_60~69세,"7,927",738,614,594,"2,012","1,259",293,"1,953",464
2021년02월_여_70~79세,"3,440",488,348,323,669,420,195,775,222
2021년02월_여_80~89세,"1,804",242,215,180,324,183,123,388,149
2021년02월_여_90~99세,376,52,49,42,66,32,28,74,33
2021년02월_여_100세 이상,34,2,4,10,6,0,3,4,5
