,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년10월_계_총인구수,"3,318,161","1,033,729","218,234","252,396","181,146","187,533","194,420","347,569","125,744","110,108","538,682","103,667","241,879","353,783","26,370","62,788","60,102","50,634","42,372","43,572","34,416","38,475","61,242","43,029"
2021년10월_계_연령구간인구수,"3,318,161","1,033,729","218,234","252,396","181,146","187,533","194,420","347,569","125,744","110,108","538,682","103,667","241,879","353,783","26,370","62,788","60,102","50,634","42,372","43,572","34,416","38,475","61,242","43,029"
2021년10월_계_0~9세,"253,545","79,744","17,234","18,548","13,259","12,329","18,374","27,064","8,729","7,734","46,394","5,316","24,501","33,096","1,011","3,644","2,917","2,325","1,506","1,656","1,200","1,714","3,537","1,457"
2021년10월_계_10~19세,"319,894","98,185","19,336","25,760","14,233","17,693","21,163","34,676","12,665","10,107","60,229","7,526","27,956","34,566","1,466","5,814","4,037","4,114","2,834","2,720","2,017","2,823","5,852","2,307"
2021년10월_계_20~29세,"365,973","126,519","28,184","37,250","19,020","21,284","20,781","44,927","10,601","10,404","67,269","8,678","23,048","39,532","1,840","5,135","4,464","3,689","3,072","3,029","2,272","2,922","5,763","2,809"
2021년10월_계_30~39세,"383,275","130,667","28,420","34,516","21,388","20,501","25,842","40,938","12,542","11,278","66,842","8,490","33,521","47,542","1,640","5,115","4,749","3,495","2,325","2,548","1,960","2,464","4,811","2,348"
2021년10월_계_40~49세,"527,641","166,365","33,919","40,659","26,680","29,368","35,739","53,337","20,835","17,352","96,220","12,639","47,213","61,223","2,700","8,913","6,841","6,037","4,379","4,593","3,317","4,159","7,480","4,038"
2021년10월_계_50~59세,"578,807","184,697","41,109","51,161","29,531","33,720","29,176","57,177","21,962","18,264","98,488","18,252","39,795","59,255","4,478","11,004","10,615","8,975","7,119","8,080","6,330","6,746","10,338","7,232"
2021년10월_계_60~69세,"490,895","150,532","31,819","31,254","31,552","31,040","24,867","48,600","21,382","17,282","62,643","21,854","28,557","46,093","5,791","11,668","12,668","10,167","8,597","9,304","7,742","7,698","10,745","9,572"
2021년10월_계_70~79세,"249,027","65,504","12,203","8,979","16,957","15,185","12,180","25,813","11,317","10,753","27,004","12,823","11,263","21,829","3,828","6,636","7,956","6,770","6,660","6,347","5,178","5,399","6,911","7,036"
2021년10월_계_80~89세,"130,242","27,741","5,254","3,693","7,439","5,768","5,587","13,112","5,028","6,033","12,072","7,138","5,169","9,423","3,118","4,241","5,155","4,370","4,955","4,482","3,795","3,919","4,999","5,492"
2021년10월_계_90~99세,"18,362","3,684",733,565,"1,064",623,699,"1,846",666,874,"1,486",923,830,"1,189",492,606,684,676,909,796,591,615,780,715
2021년10월_계_100세 이상,500,91,23,11,23,22,12,79,17,27,35,28,26,35,6,12,16,16,16,17,14,16,26,23
2021년10월_남_총인구수,"1,670,394","523,629","111,085","128,793","90,077","93,919","99,755","171,749","63,116","55,531","272,490","50,916","126,734","177,336","12,992","31,954","29,925","25,379","20,491","21,741","16,935","18,608","30,050","20,818"
2021년10월_남_연령구간인구수,"1,670,394","523,629","111,085","128,793","90,077","93,919","99,755","171,749","63,116","55,531","272,490","50,916","126,734","177,336","12,992","31,954","29,925","25,379","20,491","21,741","16,935","18,608","30,050","20,818"
2021년10월_남_0~9세,"130,428","41,133","8,784","9,537","6,850","6,362","9,600","14,003","4,388","4,003","23,741","2,731","12,703","16,931",529,"1,848","1,519","1,171",777,871,610,871,"1,849",750
2021년10월_남_10~19세,"166,864","51,279","10,186","13,598","7,325","9,243","10,927","18,274","6,531","5,204","31,190","3,923","14,583","17,653",776,"3,076","2,161","2,244","1,558","1,484","1,088","1,470","3,154","1,216"
2021년10월_남_20~29세,"204,289","70,827","15,734","20,899","10,530","11,783","11,881","24,622","5,913","6,230","36,726","5,077","13,069","21,272","1,063","3,009","2,584","2,172","1,896","1,800","1,309","1,662","3,427","1,631"
2021년10월_남_30~39세,"200,594","69,258","15,034","18,453","11,300","10,848","13,623","21,078","6,424","6,127","34,528","4,471","17,519","24,435",873,"2,639","2,592","1,938","1,212","1,390","1,051","1,262","2,489","1,308"
2021년10월_남_40~49세,"271,640","84,846","17,392","19,568","14,104","14,998","18,784","26,551","11,167","9,162","47,867","6,684","25,554","31,196","1,543","4,812","3,821","3,346","2,334","2,560","1,829","2,268","3,813","2,287"
2021년10월_남_50~59세,"296,187","91,618","20,222","24,691","14,726","16,755","15,224","28,259","11,407","9,739","50,471","9,249","21,556","29,829","2,509","6,068","5,724","4,902","3,861","4,439","3,468","3,643","5,407","4,038"
2021년10월_남_60~69세,"244,019","74,397","16,096","16,477","14,889","14,842","12,093","23,161","10,403","8,389","31,993","10,753","14,608","22,582","3,087","6,110","6,343","5,083","4,218","4,840","4,031","3,863","5,278","4,880"
2021년10월_남_70~79세,"111,452","30,207","5,823","4,366","7,623","6,896","5,499","11,321","5,167","4,630","11,924","5,669","5,395","9,886","1,611","2,984","3,497","3,043","2,944","2,807","2,310","2,255","2,869","2,933"
