카테고리,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년02월_계_총인구수,"50,560","18,436","3,810","4,487",795,"3,337","3,490","4,340","2,400","2,118",227,"2,588","1,001","2,703",828
2020년02월_계_연령구간인구수,"50,560","18,436","3,810","4,487",795,"3,337","3,490","4,340","2,400","2,118",227,"2,588","1,001","2,703",828
2020년02월_계_0~9세,"3,311","1,520",222,355,50,107,131,211,128,71,10,150,40,274,42
2020년02월_계_10~19세,"3,759","1,807",193,378,55,143,226,275,105,107,8,157,56,214,35
2020년02월_계_20~29세,"3,854","1,843",249,296,40,199,227,279,131,136,10,167,65,158,54
2020년02월_계_30~39세,"4,360","1,905",310,437,82,221,221,287,142,152,8,187,61,284,63
2020년02월_계_40~49세,"6,360","2,768",442,581,120,351,420,428,228,182,29,294,101,320,96
2020년02월_계_50~59세,"8,340","3,185",615,692,133,549,602,627,403,373,31,371,178,430,151
2020년02월_계_60~69세,"8,305","2,658",730,608,152,710,614,728,486,393,36,451,161,443,135
2020년02월_계_70~79세,"7,523","1,806",640,657,122,652,619,920,487,384,50,487,193,350,156
2020년02월_계_80~89세,"4,215",829,358,435,36,360,385,518,258,284,40,297,127,206,82
2020년02월_계_90~99세,510,105,49,48,3,44,44,64,32,35,4,26,19,24,13
2020년02월_계_100세 이상,23,10,2,0,2,1,1,3,0,1,1,1,0,0,1
2020년02월_남_총인구수,"25,415","9,302","1,938","2,242",432,"1,665","1,779","2,106","1,221","1,044",116,"1,273",503,"1,365",429
2020년02월_남_연령구간인구수,"25,415","9,302","1,938","2,242",432,"1,665","1,779","2,106","1,221","1,044",116,"1,273",503,"1,365",429
2020년02월_남_0~9세,"1,709",809,110,170,24,61,61,106,81,30,8,70,19,139,21
2020년02월_남_10~19세,"1,933",923,97,203,31,70,119,137,47,56,4,77,35,112,22
2020년02월_남_20~29세,"2,244","1,054",144,172,29,104,143,162,81,92,9,99,42,87,26
2020년02월_남_30~39세,"2,398",965,186,247,51,148,121,154,83,100,3,110,37,151,42
2020년02월_남_40~49세,"3,732","1,473",296,346,81,211,267,252,150,107,21,195,63,198,72
2020년02월_남_50~59세,"4,556","1,665",350,378,74,305,352,354,230,210,17,209,101,230,81
2020년02월_남_60~69세,"4,123","1,300",376,315,70,342,302,358,243,201,21,212,79,238,66
2020년02월_남_70~79세,"3,284",822,269,269,61,313,269,386,211,151,23,202,85,152,71
2020년02월_남_80~89세,"1,343",275,101,134,11,105,135,185,87,89,10,93,37,54,27
2020년02월_남_90~99세,90,15,9,8,0,6,10,12,8,7,0,5,5,4,1
2020년02월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년02월_여_총인구수,"25,145","9,134","1,872","2,245",363,"1,672","1,711","2,234","1,179","1,074",111,"1,315",498,"1,338",399
2020년02월_여_연령구간인구수,"25,145","9,134","1,872","2,245",363,"1,672","1,711","2,234","1,179","1,074",111,"1,315",498,"1,338",399
2020년02월_여_0~9세,"1,602",711,112,185,26,46,70,105,47,41,2,80,21,135,21
2020년02월_여_10~19세,"1,826",884,96,175,24,73,107,138,58,51,4,80,21,102,13
2020년02월_여_20~29세,"1,610",789,105,124,11,95,84,117,50,44,1,68,23,71,28
2020년02월_여_30~39세,"1,962",940,124,190,31,73,100,133,59,52,5,77,24,133,21
2020년02월_여_40~49세,"2,628","1,295",146,235,39,140,153,176,78,75,8,99,38,122,24
2020년02월_여_50~59세,"3,784","1,520",265,314,59,244,250,273,173,163,14,162,77,200,70
2020년02월_여_60~69세,"4,182","1,358",354,293,82,368,312,370,243,192,15,239,82,205,69
2020년02월_여_70~79세,"4,239",984,371,388,61,339,350,534,276,233,27,285,108,198,85
2020년02월_여_80~89세,"2,872",554,257,301,25,255,250,333,171,195,30,204,90,152,55
2020년02월_여_90~99세,420,90,40,40,3,38,34,52,24,28,4,21,14,20,12
2020년02월_여_100세 이상,20,9,2,0,2,1,1,3,0,0,1,0,0,0,1
