,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년07월_계_총인구수,"102,377","10,669","2,328","1,438","1,952","2,189","2,981","2,734","2,006","1,861","3,050","7,664","6,111","4,042","4,999","6,611","10,090","7,852","15,798","8,002"
2021년07월_계_연령구간인구수,"102,377","10,669","2,328","1,438","1,952","2,189","2,981","2,734","2,006","1,861","3,050","7,664","6,111","4,042","4,999","6,611","10,090","7,852","15,798","8,002"
2021년07월_계_0~9세,"5,855",464,51,22,54,54,75,69,36,23,54,450,337,150,216,456,503,408,"1,914",519
2021년07월_계_10~19세,"8,692",744,93,52,86,100,122,128,68,58,110,905,573,288,335,863,699,678,"2,004",786
2021년07월_계_20~29세,"9,606",946,176,84,133,161,181,167,123,100,132,742,587,318,380,698,"1,167",905,"1,742",864
2021년07월_계_30~39세,"8,241",732,107,43,108,110,141,125,83,80,130,556,461,274,341,500,818,616,"2,242",774
2021년07월_계_40~49세,"13,529","1,179",179,99,164,175,250,257,134,139,200,"1,214",832,472,566,"1,114","1,243","1,002","3,086","1,224"
2021년07월_계_50~59세,"17,455","1,801",456,245,319,351,476,477,358,323,529,"1,350","1,117",672,853,"1,201","1,818","1,549","2,178","1,382"
2021년07월_계_60~69세,"19,097","2,379",587,350,480,534,763,746,580,478,872,"1,186","1,060",881,"1,106",889,"1,933","1,458","1,521","1,294"
2021년07월_계_70~79세,"11,727","1,428",346,281,304,366,522,452,340,331,563,775,709,600,757,551,"1,220",778,706,698
2021년07월_계_80~89세,"7,045",844,292,220,245,276,381,269,240,283,392,417,390,339,395,301,608,394,355,404
2021년07월_계_90~99세,"1,079",140,41,40,58,59,69,38,42,45,67,67,40,44,48,36,79,63,49,54
2021년07월_계_100세 이상,51,12,0,2,1,3,1,6,2,1,1,2,5,4,2,2,2,1,1,3
2021년07월_남_총인구수,"50,799","5,306","1,199",727,"1,006","1,103","1,512","1,391","1,003",922,"1,514","3,823","2,917","1,966","2,420","3,273","4,991","3,905","7,974","3,847"
2021년07월_남_연령구간인구수,"50,799","5,306","1,199",727,"1,006","1,103","1,512","1,391","1,003",922,"1,514","3,823","2,917","1,966","2,420","3,273","4,991","3,905","7,974","3,847"
2021년07월_남_0~9세,"3,039",236,23,16,29,28,37,31,19,11,30,236,173,84,126,228,246,212,"1,005",269
2021년07월_남_10~19세,"4,544",397,48,22,46,47,69,66,39,31,58,478,292,140,184,453,372,362,"1,023",417
2021년07월_남_20~29세,"5,606",585,111,60,84,101,114,103,77,69,75,451,329,186,218,418,669,547,961,448
2021년07월_남_30~39세,"4,414",395,58,24,69,69,94,71,50,51,76,295,246,149,175,255,468,326,"1,139",404
2021년07월_남_40~49세,"6,985",637,102,66,103,102,157,155,77,87,132,587,410,247,293,526,648,485,"1,573",598
2021년07월_남_50~59세,"8,996",913,264,134,173,189,252,249,185,171,283,716,572,373,441,620,885,768,"1,138",670
2021년07월_남_60~69세,"9,171","1,180",308,184,264,282,396,382,303,262,435,554,470,392,482,401,872,672,729,603
2021년07월_남_70~79세,"5,308",636,169,134,139,171,251,228,153,146,273,344,282,258,332,256,561,376,290,309
2021년07월_남_80~89세,"2,495",297,110,76,86,103,128,90,92,85,138,157,132,120,159,103,250,141,108,120
2021년07월_남_90~99세,232,27,6,11,13,11,14,14,7,8,14,5,10,17,10,13,20,16,7,9
2021년07월_남_100세 이상,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0
2021년07월_여_총인구수,"51,578","5,363","1,129",711,946,"1,086","1,469","1,343","1,003",939,"1,536","3,841","3,194","2,076","2,579","3,338","5,099","3,947","7,824","4,155"
2021년07월_여_연령구간인구수,"51,578","5,363","1,129",711,946,"1,086","1,469","1,343","1,003",939,"1,536","3,841","3,194","2,076","2,579","3,338","5,099","3,947","7,824","4,155"
2021년07월_여_0~9세,"2,816",228,28,6,25,26,38,38,17,12,24,214,164,66,90,228,257,196,909,250
2021년07월_여_10~19세,"4,148",347,45,30,40,53,53,62,29,27,52,427,281,148,151,410,327,316,981,369
2021년07월_여_20~29세,"4,000",361,65,24,49,60,67,64,46,31,57,291,258,132,162,280,498,358,781,416
2021년07월_여_30~39세,"3,827",337,49,19,39,41,47,54,33,29,54,261,215,125,166,245,350,290,"1,103",370
2021년07월_여_40~49세,"6,544",542,77,33,61,73,93,102,57,52,68,627,422,225,273,588,595,517,"1,513",626
2021년07월_여_50~59세,"8,459",888,192,111,146,162,224,228,173,152,246,634,545,299,412,581,933,781,"1,040",712
2021년07월_여_60~69세,"9,926","1,199",279,166,216,252,367,364,277,216,437,632,590,489,624,488,"1,061",786,792,691
2021년07월_여_70~79세,"6,419",792,177,147,165,195,271,224,187,185,290,431,427,342,425,295,659,402,416,389
2021년07월_여_80~89세,"4,550",547,182,144,159,173,253,179,148,198,254,260,258,219,236,198,358,253,247,284
2021년07월_여_90~99세,847,113,35,29,45,48,55,24,35,37,53,62,30,27,38,23,59,47,42,45
2021년07월_여_100세 이상,42,9,0,2,1,3,1,4,1,0,1,2,4,4,2,2,2,1,0,3
