,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년05월_계_총인구수,"31,024","9,997","1,420","1,841","2,560","8,402","1,909","1,557","3,338"
2021년05월_계_연령구간인구수,"31,024","9,997","1,420","1,841","2,560","8,402","1,909","1,557","3,338"
2021년05월_계_0~9세,"1,383",591,36,44,63,475,43,29,102
2021년05월_계_10~19세,"1,973",890,41,51,75,740,31,46,99
2021년05월_계_20~29세,"2,434",932,86,109,196,751,119,65,176
2021년05월_계_30~39세,"2,188",795,59,105,165,724,109,71,160
2021년05월_계_40~49세,"3,687","1,484",91,150,234,"1,201",133,132,262
2021년05월_계_50~59세,"5,795","1,844",249,317,540,"1,589",393,276,587
2021년05월_계_60~69세,"6,443","1,708",374,461,624,"1,573",495,361,847
2021년05월_계_70~79세,"4,094","1,066",235,339,381,853,332,307,581
2021년05월_계_80~89세,"2,687",619,224,233,245,447,215,248,456
2021년05월_계_90~99세,332,66,23,31,37,49,39,22,65
2021년05월_계_100세 이상,8,2,2,1,0,0,0,0,3
2021년05월_남_총인구수,"15,939","5,037",706,929,"1,404","4,378","1,026",802,"1,657"
2021년05월_남_연령구간인구수,"15,939","5,037",706,929,"1,404","4,378","1,026",802,"1,657"
2021년05월_남_0~9세,714,313,18,18,28,247,26,14,50
2021년05월_남_10~19세,"1,052",485,23,30,39,387,18,18,52
2021년05월_남_20~29세,"1,416",543,48,63,115,426,72,47,102
2021년05월_남_30~39세,"1,200",402,35,61,106,400,68,45,83
2021년05월_남_40~49세,"2,076",772,52,100,157,648,91,87,169
2021년05월_남_50~59세,"3,294","1,022",139,177,322,890,241,166,337
2021년05월_남_60~69세,"3,390",836,210,243,352,823,282,190,454
2021년05월_남_70~79세,"1,834",447,97,153,185,386,158,150,258
2021년05월_남_80~89세,884,204,75,75,91,158,60,82,139
2021년05월_남_90~99세,76,13,8,8,9,13,10,3,12
2021년05월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년05월_여_총인구수,"15,085","4,960",714,912,"1,156","4,024",883,755,"1,681"
2021년05월_여_연령구간인구수,"15,085","4,960",714,912,"1,156","4,024",883,755,"1,681"
2021년05월_여_0~9세,669,278,18,26,35,228,17,15,52
2021년05월_여_10~19세,921,405,18,21,36,353,13,28,47
2021년05월_여_20~29세,"1,018",389,38,46,81,325,47,18,74
2021년05월_여_30~39세,988,393,24,44,59,324,41,26,77
2021년05월_여_40~49세,"1,611",712,39,50,77,553,42,45,93
2021년05월_여_50~59세,"2,501",822,110,140,218,699,152,110,250
2021년05월_여_60~69세,"3,053",872,164,218,272,750,213,171,393
2021년05월_여_70~79세,"2,260",619,138,186,196,467,174,157,323
2021년05월_여_80~89세,"1,803",415,149,158,154,289,155,166,317
2021년05월_여_90~99세,256,53,15,23,28,36,29,19,53
2021년05월_여_100세 이상,5,2,1,0,0,0,0,0,2
