카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년10월_계_총인구수,"36,371","34,530","1,841"
2021년10월_계_연령구간인구수,"36,371","34,530","1,841"
2021년10월_계_0~9세,"2,989","2,943",46
2021년10월_계_10~19세,"3,361","3,287",74
2021년10월_계_20~29세,"4,395","4,267",128
2021년10월_계_30~39세,"4,390","4,295",95
2021년10월_계_40~49세,"5,454","5,277",177
2021년10월_계_50~59세,"6,033","5,715",318
2021년10월_계_60~69세,"5,322","4,849",473
2021년10월_계_70~79세,"2,691","2,406",285
2021년10월_계_80~89세,"1,546","1,329",217
2021년10월_계_90~99세,188,160,28
2021년10월_계_100세 이상,2,2,0
2021년10월_남_총인구수,"18,957","17,991",966
2021년10월_남_연령구간인구수,"18,957","17,991",966
2021년10월_남_0~9세,"1,562","1,536",26
2021년10월_남_10~19세,"1,753","1,716",37
2021년10월_남_20~29세,"2,603","2,521",82
2021년10월_남_30~39세,"2,434","2,379",55
2021년10월_남_40~49세,"2,940","2,830",110
2021년10월_남_50~59세,"3,200","3,027",173
2021년10월_남_60~69세,"2,664","2,406",258
2021년10월_남_70~79세,"1,226","1,081",145
2021년10월_남_80~89세,531,458,73
2021년10월_남_90~99세,44,37,7
2021년10월_남_100세 이상,0,0,0
2021년10월_여_총인구수,"17,414","16,539",875
2021년10월_여_연령구간인구수,"17,414","16,539",875
2021년10월_여_0~9세,"1,427","1,407",20
2021년10월_여_10~19세,"1,608","1,571",37
2021년10월_여_20~29세,"1,792","1,746",46
2021년10월_여_30~39세,"1,956","1,916",40
2021년10월_여_40~49세,"2,514","2,447",67
2021년10월_여_50~59세,"2,833","2,688",145
2021년10월_여_60~69세,"2,658","2,443",215
2021년10월_여_70~79세,"1,465","1,325",140
2021년10월_여_80~89세,"1,015",871,144
2021년10월_여_90~99세,144,123,21
2021년10월_여_100세 이상,2,2,0
