,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년07월_계_총인구수,"98,922","6,091","1,669","2,163","1,645","1,114","3,478","2,604","3,889","5,145","2,418","1,707","2,187","5,201","14,181","6,864","16,446","15,759","6,361"
2021년07월_계_연령구간인구수,"98,922","6,091","1,669","2,163","1,645","1,114","3,478","2,604","3,889","5,145","2,418","1,707","2,187","5,201","14,181","6,864","16,446","15,759","6,361"
2021년07월_계_0~9세,"5,811",127,35,41,63,28,107,55,112,136,40,41,71,179,"1,000",459,"1,568","1,513",236
2021년07월_계_10~19세,"8,130",292,98,111,103,61,168,104,204,243,88,60,109,313,"1,416",657,"1,941","1,788",374
2021년07월_계_20~29세,"9,280",378,195,137,127,65,215,148,253,372,104,83,151,455,"1,635",720,"1,973","1,775",494
2021년07월_계_30~39세,"9,081",337,82,120,114,57,211,136,201,268,99,69,138,370,"1,550",737,"2,160","1,902",530
2021년07월_계_40~49세,"13,544",556,156,241,212,102,322,200,372,466,183,134,258,657,"2,192","1,085","2,986","2,685",737
2021년07월_계_50~59세,"16,623","1,069",271,385,311,212,571,412,665,911,356,246,385,905,"2,387","1,150","2,550","2,615","1,222"
2021년07월_계_60~69세,"17,777","1,561",405,515,387,258,836,600,913,"1,236",584,449,526,"1,122","2,119","1,012","1,868","1,938","1,448"
2021년07월_계_70~79세,"11,267","1,044",274,351,185,185,581,513,668,852,505,355,361,708,"1,272",647,910,"1,013",843
2021년07월_계_80~89세,"6,429",613,130,225,124,127,415,378,438,548,385,228,172,430,541,361,440,459,415
2021년07월_계_90~99세,938,114,23,36,18,19,51,58,57,102,72,42,15,61,68,35,47,62,58
2021년07월_계_100세 이상,42,0,0,1,1,0,1,0,6,11,2,0,1,1,1,1,3,9,4
2021년07월_남_총인구수,"50,211","3,096",882,"1,139",886,604,"1,807","1,311","1,960","2,592","1,193",877,"1,082","2,741","7,172","3,457","8,246","7,849","3,317"
2021년07월_남_연령구간인구수,"50,211","3,096",882,"1,139",886,604,"1,807","1,311","1,960","2,592","1,193",877,"1,082","2,741","7,172","3,457","8,246","7,849","3,317"
2021년07월_남_0~9세,"2,946",69,15,14,32,13,54,33,58,75,29,21,41,93,518,232,788,752,109
2021년07월_남_10~19세,"4,202",143,51,59,56,36,92,61,109,120,45,36,63,163,721,325,996,934,192
2021년07월_남_20~29세,"5,485",254,147,77,82,43,130,90,149,223,65,53,81,297,948,408,"1,120","1,009",309
2021년07월_남_30~39세,"4,938",197,39,79,66,36,137,88,120,161,57,34,75,224,848,405,"1,084",959,329
2021년07월_남_40~49세,"7,442",330,94,158,130,69,200,122,224,268,117,99,161,399,"1,117",580,"1,549","1,350",475
2021년07월_남_50~59세,"8,889",589,158,231,186,136,319,243,359,499,196,141,216,501,"1,232",601,"1,280","1,336",666
2021년07월_남_60~69세,"8,735",789,218,249,197,138,426,301,473,635,294,244,235,558,"1,008",473,883,912,702
2021년07월_남_70~79세,"5,080",480,120,176,91,87,297,233,301,394,219,157,154,337,562,280,396,440,356
2021년07월_남_80~89세,"2,278",216,36,88,42,42,145,125,159,194,150,82,53,154,201,146,141,140,164
2021년07월_남_90~99세,209,29,4,8,4,4,7,15,8,21,20,10,3,15,17,7,8,14,15
2021년07월_남_100세 이상,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0
2021년07월_여_총인구수,"48,711","2,995",787,"1,024",759,510,"1,671","1,293","1,929","2,553","1,225",830,"1,105","2,460","7,009","3,407","8,200","7,910","3,044"
2021년07월_여_연령구간인구수,"48,711","2,995",787,"1,024",759,510,"1,671","1,293","1,929","2,553","1,225",830,"1,105","2,460","7,009","3,407","8,200","7,910","3,044"
2021년07월_여_0~9세,"2,865",58,20,27,31,15,53,22,54,61,11,20,30,86,482,227,780,761,127
2021년07월_여_10~19세,"3,928",149,47,52,47,25,76,43,95,123,43,24,46,150,695,332,945,854,182
2021년07월_여_20~29세,"3,795",124,48,60,45,22,85,58,104,149,39,30,70,158,687,312,853,766,185
2021년07월_여_30~39세,"4,143",140,43,41,48,21,74,48,81,107,42,35,63,146,702,332,"1,076",943,201
2021년07월_여_40~49세,"6,102",226,62,83,82,33,122,78,148,198,66,35,97,258,"1,075",505,"1,437","1,335",262
2021년07월_여_50~59세,"7,734",480,113,154,125,76,252,169,306,412,160,105,169,404,"1,155",549,"1,270","1,279",556
2021년07월_여_60~69세,"9,042",772,187,266,190,120,410,299,440,601,290,205,291,564,"1,111",539,985,"1,026",746
2021년07월_여_70~79세,"6,187",564,154,175,94,98,284,280,367,458,286,198,207,371,710,367,514,573,487
2021년07월_여_80~89세,"4,151",397,94,137,82,85,270,253,279,354,235,146,119,276,340,215,299,319,251
2021년07월_여_90~99세,729,85,19,28,14,15,44,43,49,81,52,32,12,46,51,28,39,48,43
2021년07월_여_100세 이상,35,0,0,1,1,0,1,0,6,9,1,0,1,1,1,1,2,6,4
