,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년05월_계_총인구수,"31,843","10,123","3,173","2,155","2,044","4,439","2,251","1,559","2,277","1,774","2,048"
2020년05월_계_연령구간인구수,"31,843","10,123","3,173","2,155","2,044","4,439","2,251","1,559","2,277","1,774","2,048"
2020년05월_계_0~9세,"1,465",639,100,56,78,188,65,36,60,37,206
2020년05월_계_10~19세,"1,904",892,147,95,82,249,98,76,107,38,120
2020년05월_계_20~29세,"2,116",919,159,140,112,258,111,76,118,100,123
2020년05월_계_30~39세,"2,045",821,161,129,101,251,99,62,103,69,249
2020년05월_계_40~49세,"3,319","1,325",250,179,162,409,213,134,204,139,304
2020년05월_계_50~59세,"5,924","1,810",617,389,365,873,443,341,463,289,334
2020년05월_계_60~69세,"6,603","1,647",757,507,456,949,562,396,534,432,363
2020년05월_계_70~79세,"4,781","1,165",555,363,359,706,378,246,403,387,219
2020년05월_계_80~89세,"3,188",759,376,258,288,468,248,168,251,257,115
2020년05월_계_90~99세,469,140,49,38,39,81,29,22,33,23,15
2020년05월_계_100세 이상,29,6,2,1,2,7,5,2,1,3,0
2020년05월_남_총인구수,"16,019","4,984","1,590","1,052","1,031","2,208","1,126",785,"1,199",911,"1,133"
2020년05월_남_연령구간인구수,"16,019","4,984","1,590","1,052","1,031","2,208","1,126",785,"1,199",911,"1,133"
2020년05월_남_0~9세,762,341,51,30,40,99,35,19,30,18,99
2020년05월_남_10~19세,"1,018",432,90,44,42,145,55,48,68,24,70
2020년05월_남_20~29세,"1,231",517,96,88,65,144,68,39,80,67,67
2020년05월_남_30~39세,"1,111",401,94,72,64,123,50,33,66,42,166
2020년05월_남_40~49세,"1,956",711,145,115,102,246,130,75,133,93,206
2020년05월_남_50~59세,"3,162",955,321,194,205,454,230,179,257,165,202
2020년05월_남_60~69세,"3,426",835,396,261,245,484,300,221,279,212,193
2020년05월_남_70~79세,"2,124",500,255,156,152,314,175,107,190,185,90
2020년05월_남_80~89세,"1,117",273,129,83,104,174,74,57,91,98,34
2020년05월_남_90~99세,107,18,13,8,12,22,9,7,5,7,6
2020년05월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년05월_여_총인구수,"15,824","5,139","1,583","1,103","1,013","2,231","1,125",774,"1,078",863,915
2020년05월_여_연령구간인구수,"15,824","5,139","1,583","1,103","1,013","2,231","1,125",774,"1,078",863,915
2020년05월_여_0~9세,703,298,49,26,38,89,30,17,30,19,107
2020년05월_여_10~19세,886,460,57,51,40,104,43,28,39,14,50
2020년05월_여_20~29세,885,402,63,52,47,114,43,37,38,33,56
2020년05월_여_30~39세,934,420,67,57,37,128,49,29,37,27,83
2020년05월_여_40~49세,"1,363",614,105,64,60,163,83,59,71,46,98
2020년05월_여_50~59세,"2,762",855,296,195,160,419,213,162,206,124,132
2020년05월_여_60~69세,"3,177",812,361,246,211,465,262,175,255,220,170
2020년05월_여_70~79세,"2,657",665,300,207,207,392,203,139,213,202,129
2020년05월_여_80~89세,"2,071",486,247,175,184,294,174,111,160,159,81
2020년05월_여_90~99세,362,122,36,30,27,59,20,15,28,16,9
2020년05월_여_100세 이상,24,5,2,0,2,4,5,2,1,3,0
