카테고리,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년01월_계_총인구수,"45,467","5,523","3,747","12,249","15,675","2,034","3,871","2,257",111,0,0,0,0
2020년01월_계_연령구간인구수,"45,467","5,523","3,747","12,249","15,675","2,034","3,871","2,257",111,0,0,0,0
2020년01월_계_0~9세,"3,425",418,394,817,"1,212",155,252,177,0,0,0,0,0
2020년01월_계_10~19세,"4,019",533,264,"1,049","1,543",110,368,148,4,0,0,0,0
2020년01월_계_20~29세,"6,119",720,622,"1,724","1,857",445,454,295,2,0,0,0,0
2020년01월_계_30~39세,"4,860",598,488,"1,255","1,662",226,381,247,3,0,0,0,0
2020년01월_계_40~49세,"5,936",701,390,"1,688","2,167",217,558,205,10,0,0,0,0
2020년01월_계_50~59세,"7,478",912,511,"2,131","2,603",254,672,380,15,0,0,0,0
2020년01월_계_60~69세,"6,293",727,470,"1,743","2,162",254,553,361,23,0,0,0,0
2020년01월_계_70~79세,"4,862",616,383,"1,240","1,641",236,401,301,44,0,0,0,0
2020년01월_계_80~89세,"2,088",264,189,502,695,110,191,127,10,0,0,0,0
2020년01월_계_90~99세,344,32,34,91,112,23,37,15,0,0,0,0,0
2020년01월_계_100세 이상,43,2,2,9,21,4,4,1,0,0,0,0,0
2020년01월_남_총인구수,"23,733","2,837","2,014","6,592","7,910","1,148","1,972","1,208",52,0,0,0,0
2020년01월_남_연령구간인구수,"23,733","2,837","2,014","6,592","7,910","1,148","1,972","1,208",52,0,0,0,0
2020년01월_남_0~9세,"1,763",197,223,410,611,82,137,103,0,0,0,0,0
2020년01월_남_10~19세,"2,094",296,132,572,764,64,192,71,3,0,0,0,0
2020년01월_남_20~29세,"4,030",448,430,"1,206","1,115",335,286,210,0,0,0,0,0
2020년01월_남_30~39세,"2,659",327,267,705,874,142,199,143,2,0,0,0,0
2020년01월_남_40~49세,"3,185",378,222,896,"1,126",127,306,123,7,0,0,0,0
2020년01월_남_50~59세,"3,969",495,280,"1,140","1,365",131,348,201,9,0,0,0,0
2020년01월_남_60~69세,"3,043",332,228,871,"1,040",124,258,182,8,0,0,0,0
2020년01월_남_70~79세,"2,158",266,156,573,741,102,169,132,19,0,0,0,0
2020년01월_남_80~89세,747,89,71,200,239,34,72,38,4,0,0,0,0
2020년01월_남_90~99세,74,9,5,16,30,5,4,5,0,0,0,0,0
2020년01월_남_100세 이상,11,0,0,3,5,2,1,0,0,0,0,0,0
2020년01월_여_총인구수,"21,734","2,686","1,733","5,657","7,765",886,"1,899","1,049",59,0,0,0,0
2020년01월_여_연령구간인구수,"21,734","2,686","1,733","5,657","7,765",886,"1,899","1,049",59,0,0,0,0
2020년01월_여_0~9세,"1,662",221,171,407,601,73,115,74,0,0,0,0,0
2020년01월_여_10~19세,"1,925",237,132,477,779,46,176,77,1,0,0,0,0
2020년01월_여_20~29세,"2,089",272,192,518,742,110,168,85,2,0,0,0,0
2020년01월_여_30~39세,"2,201",271,221,550,788,84,182,104,1,0,0,0,0
2020년01월_여_40~49세,"2,751",323,168,792,"1,041",90,252,82,3,0,0,0,0
2020년01월_여_50~59세,"3,509",417,231,991,"1,238",123,324,179,6,0,0,0,0
2020년01월_여_60~69세,"3,250",395,242,872,"1,122",130,295,179,15,0,0,0,0
2020년01월_여_70~79세,"2,704",350,227,667,900,134,232,169,25,0,0,0,0
2020년01월_여_80~89세,"1,341",175,118,302,456,76,119,89,6,0,0,0,0
2020년01월_여_90~99세,270,23,29,75,82,18,33,10,0,0,0,0,0
2020년01월_여_100세 이상,32,2,2,6,16,2,3,1,0,0,0,0,0
