,경기도 군포시,경기도 군포시 군포1동,경기도 군포시 군포2동,경기도 군포시 산본1동,경기도 군포시 산본2동,경기도 군포시 금정동,경기도 군포시 재궁동,경기도 군포시 오금동,경기도 군포시 수리동,경기도 군포시 궁내동,경기도 군포시 대야동,경기도 군포시 광정동
2021년01월_계_총인구수,"273,542","33,780","53,708","16,074","27,313","17,444","19,197","22,130","16,830","21,055","20,614","25,397"
2021년01월_계_연령구간인구수,"273,542","33,780","53,708","16,074","27,313","17,444","19,197","22,130","16,830","21,055","20,614","25,397"
2021년01월_계_0~9세,"20,505","1,992","4,697",656,"2,278",867,"1,188","1,918","1,047","1,848","2,253","1,761"
2021년01월_계_10~19세,"26,493","2,644","6,197",850,"2,774","1,169","1,440","2,152","1,624","3,140","1,746","2,757"
2021년01월_계_20~29세,"38,199","5,445","7,236","2,494","3,745","2,757","2,757","2,850","2,111","2,539","2,608","3,657"
2021년01월_계_30~39세,"38,131","4,655","7,172","2,183","3,535","2,338","3,214","3,736","2,124","2,216","3,725","3,233"
2021년01월_계_40~49세,"44,321","5,066","9,235","2,090","4,427","2,491","2,792","3,785","2,713","4,129","3,326","4,267"
2021년01월_계_50~59세,"48,122","6,565","9,339","3,045","4,794","3,512","3,157","3,476","2,967","3,579","3,264","4,424"
2021년01월_계_60~69세,"33,731","4,578","6,054","2,709","3,577","2,700","2,554","2,337","2,128","1,972","2,306","2,816"
2021년01월_계_70~79세,"15,182","1,914","2,514","1,359","1,379","1,112","1,289","1,136","1,211",938,934,"1,396"
2021년01월_계_80~89세,"7,577",779,"1,075",581,681,421,694,653,797,609,379,908
2021년01월_계_90~99세,"1,206",130,176,99,120,68,107,86,103,82,68,167
2021년01월_계_100세 이상,75,12,13,8,3,9,5,1,5,3,5,11
2021년01월_남_총인구수,"135,726","17,818","26,668","8,053","13,256","9,067","9,128","10,769","8,020","10,246","10,354","12,347"
2021년01월_남_연령구간인구수,"135,726","17,818","26,668","8,053","13,256","9,067","9,128","10,769","8,020","10,246","10,354","12,347"
2021년01월_남_0~9세,"10,495","1,015","2,420",346,"1,164",464,611,967,493,972,"1,128",915
2021년01월_남_10~19세,"13,667","1,383","3,174",446,"1,439",608,726,"1,131",839,"1,581",910,"1,430"
2021년01월_남_20~29세,"19,969","2,999","3,755","1,354","1,930","1,484","1,388","1,481","1,079","1,345","1,313","1,841"
2021년01월_남_30~39세,"19,772","2,655","3,643","1,251","1,717","1,312","1,675","1,867","1,085","1,046","1,903","1,618"
2021년01월_남_40~49세,"21,832","2,722","4,503","1,113","2,090","1,343","1,326","1,813","1,311","1,883","1,730","1,998"
2021년01월_남_50~59세,"23,497","3,424","4,518","1,437","2,226","1,801","1,456","1,646","1,402","1,782","1,560","2,245"
2021년01월_남_60~69세,"16,624","2,375","3,039","1,284","1,777","1,354","1,175","1,104",976,983,"1,193","1,364"
2021년01월_남_70~79세,"6,829",905,"1,194",611,632,533,512,476,497,408,463,598
2021년01월_남_80~89세,"2,687",298,375,189,249,150,231,258,298,214,133,292
2021년01월_남_90~99세,333,38,43,21,31,15,27,26,37,32,18,45
2021년01월_남_100세 이상,21,4,4,1,1,3,1,0,3,0,3,1
2021년01월_여_총인구수,"137,816","15,962","27,040","8,021","14,057","8,377","10,069","11,361","8,810","10,809","10,260","13,050"
2021년01월_여_연령구간인구수,"137,816","15,962","27,040","8,021","14,057","8,377","10,069","11,361","8,810","10,809","10,260","13,050"
2021년01월_여_0~9세,"10,010",977,"2,277",310,"1,114",403,577,951,554,876,"1,125",846
2021년01월_여_10~19세,"12,826","1,261","3,023",404,"1,335",561,714,"1,021",785,"1,559",836,"1,327"
2021년01월_여_20~29세,"18,230","2,446","3,481","1,140","1,815","1,273","1,369","1,369","1,032","1,194","1,295","1,816"
2021년01월_여_30~39세,"18,359","2,000","3,529",932,"1,818","1,026","1,539","1,869","1,039","1,170","1,822","1,615"
2021년01월_여_40~49세,"22,489","2,344","4,732",977,"2,337","1,148","1,466","1,972","1,402","2,246","1,596","2,269"
2021년01월_여_50~59세,"24,625","3,141","4,821","1,608","2,568","1,711","1,701","1,830","1,565","1,797","1,704","2,179"
2021년01월_여_60~69세,"17,107","2,203","3,015","1,425","1,800","1,346","1,379","1,233","1,152",989,"1,113","1,452"
2021년01월_여_70~79세,"8,353","1,009","1,320",748,747,579,777,660,714,530,471,798
2021년01월_여_80~89세,"4,890",481,700,392,432,271,463,395,499,395,246,616
2021년01월_여_90~99세,873,92,133,78,89,53,80,60,66,50,50,122
2021년01월_여_100세 이상,54,8,9,7,2,6,4,1,2,3,2,10
