,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년06월_계_총인구수,"345,341","42,847","2,599","3,184","6,178","8,722","6,357","7,443","5,731","3,658","2,483","19,462","54,759","32,315","23,851","29,972","34,479","31,046","19,534","10,721"
2020년06월_계_연령구간인구수,"345,341","42,847","2,599","3,184","6,178","8,722","6,357","7,443","5,731","3,658","2,483","19,462","54,759","32,315","23,851","29,972","34,479","31,046","19,534","10,721"
2020년06월_계_0~9세,"47,105","3,365",84,103,356,296,197,357,209,86,110,"2,766","9,139","4,350","3,839","4,959","6,295","5,623","3,305","1,666"
2020년06월_계_10~19세,"41,077","4,205",111,129,367,419,314,444,411,134,191,"3,387","6,815","4,519","4,263","4,149","4,628","3,147","2,435","1,009"
2020년06월_계_20~29세,"36,098","6,312",319,306,726,861,894,791,563,307,280,"1,709","5,944","3,745","1,766","2,641","2,627","3,051","1,967","1,289"
2020년06월_계_30~39세,"60,923","5,351",296,286,682,842,758,710,526,267,189,"2,709","12,062","5,892","3,706","5,829","6,983","7,545","3,926","2,364"
2020년06월_계_40~49세,"66,382","6,949",316,333,872,986,897,940,732,368,354,"4,589","11,009","6,904","5,991","6,332","7,384","5,757","3,869","1,800"
2020년06월_계_50~59세,"43,369","6,704",544,559,"1,124","1,630","1,240","1,305","1,079",720,459,"2,478","5,650","3,743","2,504","3,088","3,325","3,471","2,241","1,505"
2020년06월_계_60~69세,"28,419","5,168",473,684,980,"1,772","1,045","1,349",962,869,404,"1,114","2,885","1,871","1,131","1,828","2,215","1,705","1,202",762
2020년06월_계_70~79세,"13,859","3,081",262,415,637,"1,150",575,916,689,521,275,482,874,834,446,788,770,518,419,207
2020년06월_계_80~89세,"6,908","1,465",169,306,387,660,382,554,475,329,196,193,317,380,163,310,206,179,140,97
2020년06월_계_90~99세,"1,145",233,23,59,45,100,53,73,79,50,24,33,63,77,42,48,44,49,29,21
2020년06월_계_100세 이상,56,14,2,4,2,6,2,4,6,7,1,2,1,0,0,0,2,1,1,1
2020년06월_남_총인구수,"172,234","22,097","1,451","1,652","3,405","4,608","3,583","4,008","3,033","1,995","1,309","9,586","26,490","15,609","11,805","14,552","16,837","15,299","9,588","5,327"
2020년06월_남_연령구간인구수,"172,234","22,097","1,451","1,652","3,405","4,608","3,583","4,008","3,033","1,995","1,309","9,586","26,490","15,609","11,805","14,552","16,837","15,299","9,588","5,327"
2020년06월_남_0~9세,"24,163","1,752",41,49,182,142,98,163,107,40,57,"1,421","4,687","2,254","1,990","2,534","3,213","2,877","1,693",863
2020년06월_남_10~19세,"20,599","2,139",59,67,199,219,163,243,231,70,95,"1,723","3,290","2,253","2,193","2,057","2,346","1,528","1,222",502
2020년06월_남_20~29세,"18,280","3,551",185,191,479,504,546,480,328,182,167,865,"2,664","1,668",909,"1,243","1,261","1,453",952,652
2020년06월_남_30~39세,"29,634","2,900",198,160,429,517,506,439,321,173,111,"1,224","5,683","2,756","1,622","2,696","3,252","3,667","1,815","1,165"
2020년06월_남_40~49세,"34,015","3,697",205,205,528,611,596,579,439,229,212,"2,234","5,502","3,362","2,932","3,194","3,720","2,911","1,961",898
2020년06월_남_50~59세,"22,519","3,537",318,314,665,905,702,745,604,429,262,"1,287","2,785","1,939","1,335","1,528","1,565","1,722","1,129",748
2020년06월_남_60~69세,"14,101","2,561",268,367,486,934,547,711,518,487,213,548,"1,375",894,548,824,"1,032",854,567,367
2020년06월_남_70~79세,"6,331","1,339",120,189,274,535,269,414,299,257,121,220,416,364,215,376,363,246,209,105
2020년06월_남_80~89세,"2,321",553,55,95,147,217,140,218,173,117,67,53,79,103,50,87,75,33,36,23
2020년06월_남_90~99세,261,65,2,14,15,24,16,16,12,9,3,11,9,16,11,13,10,8,4,3
2020년06월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
2020년06월_여_총인구수,"173,107","20,750","1,148","1,532","2,773","4,114","2,774","3,435","2,698","1,663","1,174","9,876","28,269","16,706","12,046","15,420","17,642","15,747","9,946","5,394"
2020년06월_여_연령구간인구수,"173,107","20,750","1,148","1,532","2,773","4,114","2,774","3,435","2,698","1,663","1,174","9,876","28,269","16,706","12,046","15,420","17,642","15,747","9,946","5,394"
2020년06월_여_0~9세,"22,942","1,613",43,54,174,154,99,194,102,46,53,"1,345","4,452","2,096","1,849","2,425","3,082","2,746","1,612",803
2020년06월_여_10~19세,"20,478","2,066",52,62,168,200,151,201,180,64,96,"1,664","3,525","2,266","2,070","2,092","2,282","1,619","1,213",507
2020년06월_여_20~29세,"17,818","2,761",134,115,247,357,348,311,235,125,113,844,"3,280","2,077",857,"1,398","1,366","1,598","1,015",637
2020년06월_여_30~39세,"31,289","2,451",98,126,253,325,252,271,205,94,78,"1,485","6,379","3,136","2,084","3,133","3,731","3,878","2,111","1,199"
2020년06월_여_40~49세,"32,367","3,252",111,128,344,375,301,361,293,139,142,"2,355","5,507","3,542","3,059","3,138","3,664","2,846","1,908",902
2020년06월_여_50~59세,"20,850","3,167",226,245,459,725,538,560,475,291,197,"1,191","2,865","1,804","1,169","1,560","1,760","1,749","1,112",757
2020년06월_여_60~69세,"14,318","2,607",205,317,494,838,498,638,444,382,191,566,"1,510",977,583,"1,004","1,183",851,635,395
2020년06월_여_70~79세,"7,528","1,742",142,226,363,615,306,502,390,264,154,262,458,470,231,412,407,272,210,102
2020년06월_여_80~89세,"4,587",912,114,211,240,443,242,336,302,212,129,140,238,277,113,223,131,146,104,74
2020년06월_여_90~99세,884,168,21,45,30,76,37,57,67,41,21,22,54,61,31,35,34,41,25,18
2020년06월_여_100세 이상,46,11,2,3,1,6,2,4,5,5,0,2,1,0,0,0,2,1,1,0
