카테고리,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년12월_계_총인구수,"459,970","35,609","33,222","26,288","17,513","25,961","22,457","35,432","15,443","18,371","27,488","34,550","26,585","20,228","24,305","23,429","46,556",249,"26,284"
2020년12월_계_연령구간인구수,"459,970","35,609","33,222","26,288","17,513","25,961","22,457","35,432","15,443","18,371","27,488","34,550","26,585","20,228","24,305","23,429","46,556",249,"26,284"
2020년12월_계_0~9세,"34,750","3,018","4,199","2,147","1,169","3,072","2,561","2,191","1,441","2,058","1,466","1,728","1,318","1,594","1,122","1,294","2,547",3,"1,822"
2020년12월_계_10~19세,"38,961","4,654","3,325","2,512","2,540","3,515","1,958","2,645","1,010","1,918","1,768","1,872","1,306","1,738","1,209","1,770","3,032",7,"2,182"
2020년12월_계_20~29세,"61,457","4,303","3,596","3,266","2,200","2,468","2,455","4,850","1,999","1,972","3,852","4,981","4,234","2,715","3,993","3,629","7,188",18,"3,738"
2020년12월_계_30~39세,"72,086","4,370","5,320","4,163","1,882","3,553","3,996","5,288","2,925","2,617","4,105","6,288","4,801","3,392","4,318","3,580","7,611",22,"3,855"
2020년12월_계_40~49세,"74,044","6,015","5,928","4,252","3,123","5,474","3,795","5,599","2,412","3,284","4,106","5,033","3,790","3,319","3,508","3,615","6,851",48,"3,892"
2020년12월_계_50~59세,"72,227","5,390","4,809","4,068","2,751","3,469","3,298","6,010","2,238","2,697","4,630","5,743","4,269","3,041","3,832","3,978","7,607",26,"4,371"
2020년12월_계_60~69세,"63,244","4,369","4,039","3,593","2,447","2,744","2,819","5,042","1,929","2,352","4,401","5,079","3,950","2,582","3,661","3,243","7,020",57,"3,917"
2020년12월_계_70~79세,"30,632","2,315","1,480","1,612",976,"1,083","1,114","2,735","1,080","1,062","2,278","2,737","2,075","1,320","1,911","1,690","3,358",39,"1,767"
2020년12월_계_80~89세,"10,450",990,430,559,331,435,366,905,344,335,736,917,732,448,648,534,"1,121",13,606
2020년12월_계_90~99세,"1,864",170,90,107,87,120,90,142,53,67,127,147,95,74,85,83,197,8,122
2020년12월_계_100세 이상,255,15,6,9,7,28,5,25,12,9,19,25,15,5,18,13,24,8,12
2020년12월_남_총인구수,"226,216","17,178","16,379","12,826","8,663","13,193","11,356","17,554","7,480","8,991","13,511","17,061","12,992","9,820","11,926","11,537","22,705",118,"12,926"
2020년12월_남_연령구간인구수,"226,216","17,178","16,379","12,826","8,663","13,193","11,356","17,554","7,480","8,991","13,511","17,061","12,992","9,820","11,926","11,537","22,705",118,"12,926"
2020년12월_남_0~9세,"17,977","1,552","2,176","1,117",595,"1,615","1,324","1,084",745,"1,049",725,894,699,840,599,671,"1,334",2,956
2020년12월_남_10~19세,"20,486","2,398","1,680","1,312","1,392","2,004","1,034","1,379",486,"1,004",919,970,659,903,586,"1,048","1,572",3,"1,137"
2020년12월_남_20~29세,"30,322","2,135","1,861","1,635","1,133","1,318","1,292","2,531",965,980,"1,932","2,353","1,864","1,345","1,810","1,884","3,398",11,"1,875"
2020년12월_남_30~39세,"35,940","2,063","2,451","2,087",936,"1,663","1,956","2,738","1,445","1,199","2,153","3,243","2,407","1,651","2,261","1,821","3,893",11,"1,962"
2020년12월_남_40~49세,"37,147","2,893","2,993","2,039","1,401","2,745","1,975","2,865","1,212","1,630","2,156","2,607","1,973","1,610","1,815","1,763","3,501",23,"1,946"
2020년12월_남_50~59세,"35,183","2,645","2,286","1,941","1,359","1,772","1,659","2,944","1,069","1,300","2,194","2,873","2,209","1,439","1,901","1,893","3,618",15,"2,066"
2020년12월_남_60~69세,"29,989","2,006","1,989","1,682","1,194","1,355","1,379","2,387",890,"1,154","2,069","2,445","1,900","1,174","1,727","1,443","3,300",29,"1,866"
2020년12월_남_70~79세,"14,798","1,084",774,779,518,529,580,"1,264",511,523,"1,067","1,276",990,656,930,800,"1,627",13,877
2020년12월_남_80~89세,"3,919",355,155,210,116,160,132,323,139,135,271,363,271,177,275,194,421,9,213
2020년12월_남_90~99세,391,44,12,22,19,22,21,34,16,13,20,29,15,25,18,17,36,1,27
2020년12월_남_100세 이상,64,3,2,2,0,10,4,5,2,4,5,8,5,0,4,3,5,1,1
2020년12월_여_총인구수,"233,754","18,431","16,843","13,462","8,850","12,768","11,101","17,878","7,963","9,380","13,977","17,489","13,593","10,408","12,379","11,892","23,851",131,"13,358"
2020년12월_여_연령구간인구수,"233,754","18,431","16,843","13,462","8,850","12,768","11,101","17,878","7,963","9,380","13,977","17,489","13,593","10,408","12,379","11,892","23,851",131,"13,358"
2020년12월_여_0~9세,"16,773","1,466","2,023","1,030",574,"1,457","1,237","1,107",696,"1,009",741,834,619,754,523,623,"1,213",1,866
2020년12월_여_10~19세,"18,475","2,256","1,645","1,200","1,148","1,511",924,"1,266",524,914,849,902,647,835,623,722,"1,460",4,"1,045"
2020년12월_여_20~29세,"31,135","2,168","1,735","1,631","1,067","1,150","1,163","2,319","1,034",992,"1,920","2,628","2,370","1,370","2,183","1,745","3,790",7,"1,863"
2020년12월_여_30~39세,"36,146","2,307","2,869","2,076",946,"1,890","2,040","2,550","1,480","1,418","1,952","3,045","2,394","1,741","2,057","1,759","3,718",11,"1,893"
2020년12월_여_40~49세,"36,897","3,122","2,935","2,213","1,722","2,729","1,820","2,734","1,200","1,654","1,950","2,426","1,817","1,709","1,693","1,852","3,350",25,"1,946"
