카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년03월_계_총인구수,"2,635,563","503,786","231,019","272,767","252,911","140,720","158,240","414,953","102,738","102,383","96,855","71,924","264,023","23,094","51,404","24,907","16,549","36,043","42,119","31,167","43,105","114,381","55,649","31,232","48,361","9,019"
2021년03월_계_연령구간인구수,"2,635,563","503,786","231,019","272,767","252,911","140,720","158,240","414,953","102,738","102,383","96,855","71,924","264,023","23,094","51,404","24,907","16,549","36,043","42,119","31,167","43,105","114,381","55,649","31,232","48,361","9,019"
2021년03월_계_0~9세,"186,212","38,999","17,170","21,829","16,013","10,266","10,468","40,551","5,987","5,669","5,133","3,993","20,112",656,"1,866",961,726,"1,593","1,476","1,388","1,882","9,311","4,598","1,342","2,830",392
2021년03월_계_10~19세,"224,849","46,612","21,196","25,416","20,705","12,454","13,575","44,435","8,752","6,760","7,515","5,669","22,673",946,"2,244","1,196",918,"2,068","2,268","2,005","2,226","11,462","4,388","1,845","3,681",452
2021년03월_계_20~29세,"281,752","56,716","26,596","30,120","26,452","14,566","16,526","56,050","9,584","10,162","7,895","6,338","36,165","1,462","3,079","1,640","1,131","2,362","2,757","2,469","3,371","11,831","4,097","1,910","4,381",808
2021년03월_계_30~39세,"287,291","58,971","26,589","32,382","25,080","14,946","15,362","64,870","8,378","9,380","7,323","5,684","32,880","1,268","3,156","1,673","1,018","2,345","2,704","2,203","3,216","14,467","5,427","1,881","4,204",855
2021년03월_계_40~49세,"381,224","77,022","35,656","41,366","36,501","19,315","22,010","72,866","13,729","12,597","11,350","8,772","41,359","2,104","4,626","2,341","1,667","3,813","4,398","3,756","4,679","20,624","7,127","3,174","6,137","1,257"
2021년03월_계_50~59세,"457,121","89,623","41,167","48,456","46,680","23,719","26,188","69,842","17,731","18,234","16,609","12,032","44,927","4,234","8,549","4,662","2,924","6,103","7,185","5,843","8,328","19,711","7,985","5,669","8,526","1,817"
2021년03월_계_60~69세,"417,995","80,311","37,289","43,022","41,848","22,569","26,137","40,848","18,700","19,039","18,632","13,710","35,681","5,443","11,970","5,607","3,506","7,497","9,731","6,379","9,526","14,157","9,579","6,921","8,426","1,778"
2021년03월_계_70~79세,"241,666","37,500","17,479","20,021","24,623","13,352","16,540","16,055","11,828","12,662","12,515","9,195","19,637","3,993","8,848","3,979","2,654","5,857","6,661","4,117","5,847","7,689","6,736","4,681","5,640","1,057"
2021년03월_계_80~89세,"137,445","15,749","6,929","8,820","13,192","8,246","9,883","8,221","6,954","7,043","8,520","5,639","9,414","2,641","6,209","2,520","1,720","3,850","4,306","2,677","3,518","4,489","5,024","3,262","3,859",509
2021년03월_계_90~99세,"19,293","2,209",908,"1,301","1,753","1,257","1,489","1,175","1,044",813,"1,321",831,"1,143",334,825,312,266,533,623,322,501,621,663,517,661,80
2021년03월_계_100세 이상,715,74,40,34,64,30,62,40,51,24,42,61,32,13,32,16,19,22,10,8,11,19,25,30,16,14
2021년03월_남_총인구수,"1,327,990","254,914","119,293","135,621","126,619","70,659","78,271","213,131","50,945","52,119","47,455","35,294","132,924","11,810","25,142","12,444","8,204","17,086","20,705","15,993","22,329","59,593","27,391","15,740","24,278","4,944"
2021년03월_남_연령구간인구수,"1,327,990","254,914","119,293","135,621","126,619","70,659","78,271","213,131","50,945","52,119","47,455","35,294","132,924","11,810","25,142","12,444","8,204","17,086","20,705","15,993","22,329","59,593","27,391","15,740","24,278","4,944"
2021년03월_남_0~9세,"96,026","20,229","8,895","11,334","8,183","5,320","5,472","20,893","3,094","2,876","2,663","2,071","10,258",354,983,502,380,803,760,719,953,"4,821","2,340",687,"1,463",202
2021년03월_남_10~19세,"118,190","24,481","11,173","13,308","10,828","6,792","7,089","23,147","4,579","3,650","3,927","3,083","11,746",518,"1,162",632,472,"1,050","1,151","1,072","1,239","6,044","2,336",981,"1,981",230
2021년03월_남_20~29세,"159,753","32,604","15,788","16,816","14,915","8,145","9,044","31,185","5,626","6,096","4,582","3,586","19,839",899,"1,769","1,000",665,"1,376","1,629","1,442","2,028","6,732","2,324","1,148","2,626",493
2021년03월_남_30~39세,"153,340","31,204","14,369","16,835","13,392","7,899","7,960","34,622","4,475","5,092","3,938","2,996","17,659",723,"1,768",974,552,"1,219","1,445","1,206","1,760","7,876","2,738","1,028","2,290",524
