카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2021년03월_계_총인구수,"281,851","14,554","25,952","20,225","38,816","42,326","15,464","30,187","12,082","12,290","10,974","12,746","27,158","19,077"
2021년03월_계_연령구간인구수,"281,851","14,554","25,952","20,225","38,816","42,326","15,464","30,187","12,082","12,290","10,974","12,746","27,158","19,077"
2021년03월_계_0~9세,"18,589",712,"1,412",923,"2,117","4,019",985,"2,593",442,428,443,976,"2,293","1,246"
2021년03월_계_10~19세,"22,894",693,"1,750","1,518","3,124","4,484","1,232","3,857",555,611,615,767,"2,365","1,323"
2021년03월_계_20~29세,"36,844","1,967","3,588","2,911","4,508","5,779","2,288","3,939","1,517","1,893","1,388","1,432","3,235","2,399"
2021년03월_계_30~39세,"33,094","1,946","3,242","2,003","3,813","5,390","1,693","3,168","1,424","1,519","1,148","2,008","3,388","2,352"
2021년03월_계_40~49세,"40,052","1,751","3,447","2,856","5,204","6,611","1,991","5,427","1,442","1,489","1,452","1,641","4,210","2,531"
2021년03월_계_50~59세,"53,063","2,852","5,145","4,253","7,500","8,233","3,205","5,421","2,198","2,270","1,966","2,123","4,504","3,393"
2021년03월_계_60~69세,"46,395","2,782","4,561","3,607","6,776","5,342","2,407","3,259","2,504","2,412","2,155","2,330","4,510","3,750"
2021년03월_계_70~79세,"21,433","1,286","2,021","1,585","3,628","1,782","1,145","1,723","1,313","1,150","1,272","1,081","1,932","1,515"
2021년03월_계_80~89세,"8,411",504,707,500,"1,941",598,453,709,611,456,480,343,622,487
2021년03월_계_90~99세,"1,039",59,74,65,202,86,62,89,70,61,54,43,96,78
2021년03월_계_100세 이상,37,2,5,4,3,2,3,2,6,1,1,2,3,3
2021년03월_남_총인구수,"139,355","7,373","13,319","10,400","18,818","20,792","7,547","14,784","5,949","6,115","5,372","6,252","13,314","9,320"
2021년03월_남_연령구간인구수,"139,355","7,373","13,319","10,400","18,818","20,792","7,547","14,784","5,949","6,115","5,372","6,252","13,314","9,320"
2021년03월_남_0~9세,"9,599",337,764,483,"1,097","2,083",516,"1,328",216,227,238,483,"1,185",642
2021년03월_남_10~19세,"11,900",338,932,822,"1,599","2,297",629,"2,025",306,310,319,394,"1,221",708
2021년03월_남_20~29세,"19,806","1,031","1,961","1,652","2,436","3,095","1,243","2,102",826,996,745,727,"1,690","1,302"
2021년03월_남_30~39세,"17,171","1,094","1,767","1,123","2,022","2,563",882,"1,498",776,867,625,"1,049","1,696","1,209"
2021년03월_남_40~49세,"19,905",973,"1,818","1,477","2,534","3,077",947,"2,477",750,806,805,868,"2,096","1,277"
2021년03월_남_50~59세,"25,219","1,411","2,561","2,110","3,544","3,804","1,458","2,694","1,079","1,092",946,955,"2,106","1,459"
2021년03월_남_60~69세,"22,850","1,387","2,266","1,807","3,446","2,786","1,200","1,584","1,177","1,146",996,"1,131","2,144","1,780"
2021년03월_남_70~79세,"9,846",615,980,724,"1,510",878,516,762,598,513,541,522,945,742
2021년03월_남_80~89세,"2,851",172,262,193,581,197,140,289,204,146,147,121,211,188
2021년03월_남_90~99세,204,14,8,9,49,12,14,25,17,12,10,2,19,13
2021년03월_남_100세 이상,4,1,0,0,0,0,2,0,0,0,0,0,1,0
2021년03월_여_총인구수,"142,496","7,181","12,633","9,825","19,998","21,534","7,917","15,403","6,133","6,175","5,602","6,494","13,844","9,757"
2021년03월_여_연령구간인구수,"142,496","7,181","12,633","9,825","19,998","21,534","7,917","15,403","6,133","6,175","5,602","6,494","13,844","9,757"
2021년03월_여_0~9세,"8,990",375,648,440,"1,020","1,936",469,"1,265",226,201,205,493,"1,108",604
2021년03월_여_10~19세,"10,994",355,818,696,"1,525","2,187",603,"1,832",249,301,296,373,"1,144",615
2021년03월_여_20~29세,"17,038",936,"1,627","1,259","2,072","2,684","1,045","1,837",691,897,643,705,"1,545","1,097"
2021년03월_여_30~39세,"15,923",852,"1,475",880,"1,791","2,827",811,"1,670",648,652,523,959,"1,692","1,143"
2021년03월_여_40~49세,"20,147",778,"1,629","1,379","2,670","3,534","1,044","2,950",692,683,647,773,"2,114","1,254"
2021년03월_여_50~59세,"27,844","1,441","2,584","2,143","3,956","4,429","1,747","2,727","1,119","1,178","1,020","1,168","2,398","1,934"
2021년03월_여_60~69세,"23,545","1,395","2,295","1,800","3,330","2,556","1,207","1,675","1,327","1,266","1,159","1,199","2,366","1,970"
2021년03월_여_70~79세,"11,587",671,"1,041",861,"2,118",904,629,961,715,637,731,559,987,773
2021년03월_여_80~89세,"5,560",332,445,307,"1,360",401,313,420,407,310,333,222,411,299
2021년03월_여_90~99세,835,45,66,56,153,74,48,64,53,49,44,41,77,65
2021년03월_여_100세 이상,33,1,5,4,3,2,1,2,6,1,1,2,2,3
