,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년08월_계_총인구수,"63,039","18,290","19,159","2,379","6,097","2,849","3,393","5,325","1,927","2,727",893
2021년08월_계_연령구간인구수,"63,039","18,290","19,159","2,379","6,097","2,849","3,393","5,325","1,927","2,727",893
2021년08월_계_0~9세,"3,723","1,176","1,735",57,285,65,53,258,21,58,15
2021년08월_계_10~19세,"5,873","1,953","2,657",103,292,80,134,437,61,134,22
2021년08월_계_20~29세,"5,213","1,957","1,544",141,448,157,203,425,105,189,44
2021년08월_계_30~39세,"5,186","1,742","1,834",146,513,139,140,382,86,162,42
2021년08월_계_40~49세,"8,990","2,744","3,721",202,560,255,292,746,154,253,63
2021년08월_계_50~59세,"11,020","3,342","3,135",395,977,541,555,"1,061",330,531,153
2021년08월_계_60~69세,"11,565","2,902","2,599",605,"1,368",745,828,984,530,726,278
2021년08월_계_70~79세,"6,630","1,463","1,236",393,873,486,650,620,369,379,161
2021년08월_계_80~89세,"4,234",882,601,299,686,337,469,359,246,259,96
2021년08월_계_90~99세,594,126,93,38,93,44,69,52,24,36,19
2021년08월_계_100세 이상,11,3,4,0,2,0,0,1,1,0,0
2021년08월_남_총인구수,"32,084","9,220","9,740","1,199","3,158","1,465","1,696","2,776",988,"1,384",458
2021년08월_남_연령구간인구수,"32,084","9,220","9,740","1,199","3,158","1,465","1,696","2,776",988,"1,384",458
2021년08월_남_0~9세,"1,886",607,864,25,139,33,30,142,10,27,9
2021년08월_남_10~19세,"3,102","1,058","1,384",57,154,45,74,214,29,74,13
2021년08월_남_20~29세,"3,081","1,152",867,83,294,98,121,253,65,125,23
2021년08월_남_30~39세,"2,670",884,871,79,296,91,78,208,51,89,23
2021년08월_남_40~49세,"4,850","1,426","1,875",120,352,175,186,422,100,150,44
2021년08월_남_50~59세,"6,090","1,754","1,746",225,569,321,327,598,196,267,87
2021년08월_남_60~69세,"6,028","1,427","1,335",322,743,394,435,547,283,391,151
2021년08월_남_70~79세,"2,979",620,594,182,389,203,282,280,164,187,78
2021년08월_남_80~89세,"1,287",264,182,99,203,95,153,106,85,71,29
2021년08월_남_90~99세,108,28,21,7,17,10,10,6,5,3,1
2021년08월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2021년08월_여_총인구수,"30,955","9,070","9,419","1,180","2,939","1,384","1,697","2,549",939,"1,343",435
2021년08월_여_연령구간인구수,"30,955","9,070","9,419","1,180","2,939","1,384","1,697","2,549",939,"1,343",435
2021년08월_여_0~9세,"1,837",569,871,32,146,32,23,116,11,31,6
2021년08월_여_10~19세,"2,771",895,"1,273",46,138,35,60,223,32,60,9
2021년08월_여_20~29세,"2,132",805,677,58,154,59,82,172,40,64,21
2021년08월_여_30~39세,"2,516",858,963,67,217,48,62,174,35,73,19
2021년08월_여_40~49세,"4,140","1,318","1,846",82,208,80,106,324,54,103,19
2021년08월_여_50~59세,"4,930","1,588","1,389",170,408,220,228,463,134,264,66
2021년08월_여_60~69세,"5,537","1,475","1,264",283,625,351,393,437,247,335,127
2021년08월_여_70~79세,"3,651",843,642,211,484,283,368,340,205,192,83
2021년08월_여_80~89세,"2,947",618,419,200,483,242,316,253,161,188,67
2021년08월_여_90~99세,486,98,72,31,76,34,59,46,19,33,18
2021년08월_여_100세 이상,8,3,3,0,0,0,0,1,1,0,0
