카테고리,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2020년05월_계_총인구수,"210,190","4,904","2,059","3,072","8,585","3,031","2,339","4,001","12,630","3,705","3,728","2,317","3,294","1,939","2,800","23,667","7,221","15,715","5,292","9,702","17,546","3,720","9,412","14,831","37,925","6,755"
2020년05월_계_연령구간인구수,"210,190","4,904","2,059","3,072","8,585","3,031","2,339","4,001","12,630","3,705","3,728","2,317","3,294","1,939","2,800","23,667","7,221","15,715","5,292","9,702","17,546","3,720","9,412","14,831","37,925","6,755"
2020년05월_계_0~9세,"14,989",111,44,83,569,32,57,78,"1,925",314,106,56,84,62,111,"1,713",302,"1,313",263,394,"2,050",98,561,"1,090","2,936",637
2020년05월_계_10~19세,"19,252",239,64,119,408,117,99,154,908,272,173,81,182,77,168,"2,566",565,"2,059",483,737,"2,315",162,781,"1,819","4,004",700
2020년05월_계_20~29세,"24,266",373,128,211,"1,350",192,137,264,"1,500",495,267,157,195,102,297,"2,793",894,"1,899",585,"1,054","2,016",507,"1,138","1,924","5,027",761
2020년05월_계_30~39세,"23,823",316,111,170,"1,388",173,124,194,"2,878",451,192,128,175,111,228,"2,518",629,"1,727",455,853,"2,565",289,"1,058","1,543","4,683",864
2020년05월_계_40~49세,"31,278",508,164,274,"1,161",245,189,351,"1,937",513,353,207,283,152,356,"3,725",990,"2,926",757,"1,228","3,274",406,"1,412","2,638","6,058","1,171"
2020년05월_계_50~59세,"37,935","1,050",441,660,"1,461",606,423,816,"1,505",515,773,447,603,351,496,"4,413","1,337","2,734",977,"1,824","2,724",749,"1,756","2,836","7,218","1,220"
2020년05월_계_60~69세,"30,274","1,113",567,755,"1,203",762,596,"1,030","1,094",543,853,556,830,495,540,"3,205","1,217","1,638",849,"1,876","1,510",715,"1,453","1,600","4,528",746
2020년05월_계_70~79세,"17,461",692,327,510,607,500,419,651,518,345,563,395,529,348,368,"1,747",814,891,583,"1,107",701,485,875,886,"2,198",402
2020년05월_계_80~89세,"9,640",453,184,243,386,364,258,409,321,230,388,257,361,220,194,881,425,467,300,543,343,281,339,446,"1,125",222
2020년05월_계_90~99세,"1,203",46,28,46,44,37,33,50,43,24,58,31,46,20,39,101,45,58,35,82,48,27,37,48,147,30
2020년05월_계_100세 이상,69,3,1,1,8,3,4,4,1,3,2,2,6,1,3,5,3,3,5,4,0,1,2,1,1,2
2020년05월_남_총인구수,"106,327","2,504","1,056","1,553","4,816","1,554","1,178","2,063","6,519","1,972","1,887","1,192","1,676",991,"1,386","11,861","3,643","7,687","2,652","4,868","8,745","1,998","4,850","7,320","18,823","3,533"
2020년05월_남_연령구간인구수,"106,327","2,504","1,056","1,553","4,816","1,554","1,178","2,063","6,519","1,972","1,887","1,192","1,676",991,"1,386","11,861","3,643","7,687","2,652","4,868","8,745","1,998","4,850","7,320","18,823","3,533"
2020년05월_남_0~9세,"7,602",61,21,39,293,15,27,51,981,140,48,33,46,28,54,909,149,639,138,200,"1,035",42,272,556,"1,478",347
2020년05월_남_10~19세,"10,017",115,35,70,235,60,59,88,449,142,81,42,105,43,88,"1,346",288,"1,086",247,379,"1,191",90,385,951,"2,076",366
2020년05월_남_20~29세,"13,899",237,76,132,857,113,84,160,839,330,158,92,108,58,169,"1,614",509,"1,045",338,571,"1,096",312,653,"1,037","2,866",445
2020년05월_남_30~39세,"12,808",179,64,94,857,108,75,116,"1,571",252,109,78,98,64,131,"1,310",364,867,249,479,"1,279",184,581,794,"2,444",461
2020년05월_남_40~49세,"16,094",303,99,163,681,165,134,203,"1,019",305,212,118,166,89,207,"1,843",534,"1,388",387,665,"1,627",251,772,"1,240","2,918",605
2020년05월_남_50~59세,"19,437",560,234,356,812,330,208,437,765,289,421,225,318,191,261,"2,209",689,"1,356",515,924,"1,348",422,946,"1,437","3,517",667
2020년05월_남_60~69세,"15,153",578,294,383,653,397,290,526,544,284,447,302,447,264,247,"1,563",598,775,406,909,762,386,702,770,"2,239",387
2020년05월_남_70~79세,"7,719",305,164,227,284,230,206,311,239,136,261,190,238,160,154,757,356,362,250,523,304,207,405,379,893,178
2020년05월_남_80~89세,"3,272",150,65,76,125,123,82,159,96,88,134,100,132,89,68,274,143,155,113,200,98,100,127,142,364,69
2020년05월_남_90~99세,309,14,4,13,15,12,12,12,16,5,15,11,16,5,6,35,13,14,8,17,5,4,7,14,28,8
2020년05월_남_100세 이상,17,2,0,0,4,1,1,0,0,1,1,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0
2020년05월_여_총인구수,"103,863","2,400","1,003","1,519","3,769","1,477","1,161","1,938","6,111","1,733","1,841","1,125","1,618",948,"1,414","11,806","3,578","8,028","2,640","4,834","8,801","1,722","4,562","7,511","19,102","3,222"
2020년05월_여_연령구간인구수,"103,863","2,400","1,003","1,519","3,769","1,477","1,161","1,938","6,111","1,733","1,841","1,125","1,618",948,"1,414","11,806","3,578","8,028","2,640","4,834","8,801","1,722","4,562","7,511","19,102","3,222"
2020년05월_여_0~9세,"7,387",50,23,44,276,17,30,27,944,174,58,23,38,34,57,804,153,674,125,194,"1,015",56,289,534,"1,458",290
2020년05월_여_10~19세,"9,235",124,29,49,173,57,40,66,459,130,92,39,77,34,80,"1,220",277,973,236,358,"1,124",72,396,868,"1,928",334
2020년05월_여_20~29세,"10,367",136,52,79,493,79,53,104,661,165,109,65,87,44,128,"1,179",385,854,247,483,920,195,485,887,"2,161",316
2020년05월_여_30~39세,"11,015",137,47,76,531,65,49,78,"1,307",199,83,50,77,47,97,"1,208",265,860,206,374,"1,286",105,477,749,"2,239",403
2020년05월_여_40~49세,"15,184",205,65,111,480,80,55,148,918,208,141,89,117,63,149,"1,882",456,"1,538",370,563,"1,647",155,640,"1,398","3,140",566
2020년05월_여_50~59세,"18,498",490,207,304,649,276,215,379,740,226,352,222,285,160,235,"2,204",648,"1,378",462,900,"1,376",327,810,"1,399","3,701",553
2020년05월_여_60~69세,"15,121",535,273,372,550,365,306,504,550,259,406,254,383,231,293,"1,642",619,863,443,967,748,329,751,830,"2,289",359
2020년05월_여_70~79세,"9,742",387,163,283,323,270,213,340,279,209,302,205,291,188,214,990,458,529,333,584,397,278,470,507,"1,305",224
2020년05월_여_80~89세,"6,368",303,119,167,261,241,176,250,225,142,254,157,229,131,126,607,282,312,187,343,245,181,212,304,761,153
2020년05월_여_90~99세,894,32,24,33,29,25,21,38,27,19,43,20,30,15,33,66,32,44,27,65,43,23,30,34,119,22
2020년05월_여_100세 이상,52,1,1,1,4,2,3,4,1,2,1,1,4,1,2,4,3,3,4,3,0,1,2,1,1,2
