카테고리,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년11월_계_총인구수,"1,538,273","284,121","357,277","213,093","90,010","40,982","82,700","63,682","68,482","46,583","37,934","41,023","35,639","43,396","24,242","21,875","32,138","27,119","27,977"
2021년11월_계_연령구간인구수,"1,538,273","284,121","357,277","213,093","90,010","40,982","82,700","63,682","68,482","46,583","37,934","41,023","35,639","43,396","24,242","21,875","32,138","27,119","27,977"
2021년11월_계_0~9세,"101,330","20,869","27,466","12,895","6,283","2,320","5,661","3,554","3,574","2,106","1,571","1,735","1,633","3,169","1,723","1,665","2,504","1,330","1,272"
2021년11월_계_10~19세,"134,178","26,465","35,355","18,528","8,549","3,671","7,197","5,058","4,981","3,517","2,773","2,739","2,422","3,616","1,712","1,987","2,243","1,585","1,780"
2021년11월_계_20~29세,"175,632","37,412","44,958","24,676","9,305","3,485","8,904","6,862","6,512","3,633","3,120","3,244","2,593","5,270","3,587","2,870","4,194","2,657","2,350"
2021년11월_계_30~39세,"162,898","34,282","45,353","21,267","8,690","3,329","9,098","5,267","5,756","3,269","2,635","2,829","2,781","4,500","2,766","2,496","3,975","2,344","2,261"
2021년11월_계_40~49세,"219,290","41,833","56,762","31,726","14,266","6,114","12,166","8,486","7,978","4,921","4,331","5,060","4,648","5,499","2,611","2,437","3,954","3,057","3,441"
2021년11월_계_50~59세,"264,619","46,725","61,198","36,706","15,693","7,015","15,064","10,943","12,178","8,521","7,113","7,804","6,678","6,931","3,768","3,419","5,107","4,792","4,964"
2021년11월_계_60~69세,"259,431","41,560","49,850","35,679","14,668","7,785","13,858","11,809","15,050","11,145","8,468","9,456","7,894","7,159","4,131","3,642","5,693","5,640","5,944"
2021년11월_계_70~79세,"132,719","20,419","21,429","19,469","7,983","4,803","6,761","7,000","7,132","5,453","4,697","4,901","4,369","4,483","2,218","1,959","2,595","3,419","3,629"
2021년11월_계_80~89세,"76,160","12,540","12,889","10,398","3,989","2,191","3,367","4,069","4,628","3,449","2,849","2,859","2,290","2,396","1,486","1,211","1,603","1,958","1,988"
2021년11월_계_90~99세,"11,598","1,945","1,959","1,694",570,252,609,614,660,543,360,378,321,361,229,180,262,326,335
2021년11월_계_100세 이상,418,71,58,55,14,17,15,20,33,26,17,18,10,12,11,9,8,11,13
2021년11월_남_총인구수,"774,232","140,341","177,183","105,749","45,735","20,738","41,028","32,175","35,246","23,903","19,631","21,095","18,573","22,493","13,154","11,525","17,424","13,950","14,289"
2021년11월_남_연령구간인구수,"774,232","140,341","177,183","105,749","45,735","20,738","41,028","32,175","35,246","23,903","19,631","21,095","18,573","22,493","13,154","11,525","17,424","13,950","14,289"
2021년11월_남_0~9세,"51,809","10,706","13,967","6,641","3,231","1,232","2,871","1,809","1,831","1,112",834,857,839,"1,560",888,837,"1,262",676,656
2021년11월_남_10~19세,"69,694","13,772","18,253","9,731","4,455","1,892","3,740","2,598","2,511","1,838","1,500","1,439","1,250","1,886",854,991,"1,186",857,941
2021년11월_남_20~29세,"98,892","20,020","23,983","13,554","5,471","2,012","5,035","3,824","3,941","2,083","1,809","1,931","1,523","3,411","2,485","1,901","2,814","1,695","1,400"
2021년11월_남_30~39세,"85,840","17,560","23,079","11,238","4,674","1,772","4,903","2,841","3,127","1,728","1,433","1,535","1,544","2,499","1,648","1,382","2,303","1,331","1,243"
2021년11월_남_40~49세,"112,358","20,679","27,901","16,160","7,457","3,258","6,084","4,627","4,277","2,727","2,336","2,776","2,673","2,919","1,416","1,318","2,204","1,676","1,870"
2021년11월_남_50~59세,"136,593","23,522","30,712","18,567","8,157","3,792","7,458","5,959","6,460","4,513","3,957","4,197","3,742","3,702","2,043","1,817","2,728","2,596","2,671"
2021년11월_남_60~69세,"129,401","20,095","24,738","17,034","7,093","3,818","6,709","5,939","7,858","5,825","4,482","4,946","4,179","3,557","2,244","1,953","3,047","2,881","3,003"
2021년11월_남_70~79세,"59,776","8,950","9,576","8,717","3,613","2,113","2,937","3,109","3,399","2,669","2,154","2,306","1,976","2,001",991,854,"1,238","1,482","1,691"
2021년11월_남_80~89세,"27,231","4,547","4,527","3,761","1,469",789,"1,180","1,341","1,683","1,291","1,024","1,032",780,870,525,424,571,675,742
2021년11월_남_90~99세,"2,551",469,439,335,113,54,108,126,156,114,98,73,64,86,56,44,67,79,70
2021년11월_남_100세 이상,87,21,8,11,2,6,3,2,3,3,4,3,3,2,4,4,4,2,2
2021년11월_여_총인구수,"764,041","143,780","180,094","107,344","44,275","20,244","41,672","31,507","33,236","22,680","18,303","19,928","17,066","20,903","11,088","10,350","14,714","13,169","13,688"
2021년11월_여_연령구간인구수,"764,041","143,780","180,094","107,344","44,275","20,244","41,672","31,507","33,236","22,680","18,303","19,928","17,066","20,903","11,088","10,350","14,714","13,169","13,688"
2021년11월_여_0~9세,"49,521","10,163","13,499","6,254","3,052","1,088","2,790","1,745","1,743",994,737,878,794,"1,609",835,828,"1,242",654,616
2021년11월_여_10~19세,"64,484","12,693","17,102","8,797","4,094","1,779","3,457","2,460","2,470","1,679","1,273","1,300","1,172","1,730",858,996,"1,057",728,839
2021년11월_여_20~29세,"76,740","17,392","20,975","11,122","3,834","1,473","3,869","3,038","2,571","1,550","1,311","1,313","1,070","1,859","1,102",969,"1,380",962,950
2021년11월_여_30~39세,"77,058","16,722","22,274","10,029","4,016","1,557","4,195","2,426","2,629","1,541","1,202","1,294","1,237","2,001","1,118","1,114","1,672","1,013","1,018"
2021년11월_여_40~49세,"106,932","21,154","28,861","15,566","6,809","2,856","6,082","3,859","3,701","2,194","1,995","2,284","1,975","2,580","1,195","1,119","1,750","1,381","1,571"
2021년11월_여_50~59세,"128,026","23,203","30,486","18,139","7,536","3,223","7,606","4,984","5,718","4,008","3,156","3,607","2,936","3,229","1,725","1,602","2,379","2,196","2,293"
2021년11월_여_60~69세,"130,030","21,465","25,112","18,645","7,575","3,967","7,149","5,870","7,192","5,320","3,986","4,510","3,715","3,602","1,887","1,689","2,646","2,759","2,941"
2021년11월_여_70~79세,"72,943","11,469","11,853","10,752","4,370","2,690","3,824","3,891","3,733","2,784","2,543","2,595","2,393","2,482","1,227","1,105","1,357","1,937","1,938"
2021년11월_여_80~89세,"48,929","7,993","8,362","6,637","2,520","1,402","2,187","2,728","2,945","2,158","1,825","1,827","1,510","1,526",961,787,"1,032","1,283","1,246"
