카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년02월_계_총인구수,"567,716","24,660","15,630","9,051","27,916","14,801","17,774","32,200","30,008","23,977","16,858","31,780","22,122","44,254","16,871","77,319","40,172","20,957","11,738","37,189","20,017","18,907","13,515"
2020년02월_계_연령구간인구수,"567,716","24,660","15,630","9,051","27,916","14,801","17,774","32,200","30,008","23,977","16,858","31,780","22,122","44,254","16,871","77,319","40,172","20,957","11,738","37,189","20,017","18,907","13,515"
2020년02월_계_0~9세,"42,906","1,815",695,438,"2,204",713,"1,401","2,214","2,032","1,448",962,"1,539","2,187","5,485",687,"9,336","3,160","1,200",422,"2,523",924,805,716
2020년02월_계_10~19세,"58,125","2,096",794,631,"2,432","1,106","1,787","3,837","3,175","2,739","1,523","2,644","2,170","8,390","1,254","8,476","5,109","1,611",659,"3,870","1,441","1,355","1,026"
2020년02월_계_20~29세,"80,311","3,109","2,453","1,358","4,294","2,466","2,546","5,136","4,833","4,131","2,563","6,387","2,731","4,168","1,884","9,263","5,479","3,671","1,331","5,253","2,902","2,608","1,745"
2020년02월_계_30~39세,"69,421","2,992","2,057","1,025","3,804","1,840","2,358","3,483","3,480","2,606","2,157","3,650","3,056","4,922","1,415","12,012","4,311","2,904","1,222","4,119","2,358","2,040","1,610"
2020년02월_계_40~49세,"92,672","3,782","2,041","1,233","4,278","2,105","2,899","5,549","4,922","3,941","2,496","4,885","3,998","10,886","2,369","13,702","6,725","2,696","1,327","5,479","2,817","2,501","2,041"
2020년02월_계_50~59세,"105,478","4,345","2,839","1,594","5,272","3,084","3,386","6,697","6,530","5,254","3,602","6,485","3,951","5,722","3,167","11,871","7,427","4,095","2,387","7,589","3,927","3,609","2,645"
2020년02월_계_60~69세,"69,754","3,709","2,514","1,391","3,507","2,154","2,089","3,196","3,085","2,334","2,352","3,476","2,581","2,781","3,080","7,600","4,765","2,911","2,496","5,111","3,179","3,292","2,151"
2020년02월_계_70~79세,"33,286","1,978","1,573",922,"1,553",927,932,"1,462","1,313","1,007",840,"1,809","1,017","1,269","2,037","3,456","2,064","1,262","1,226","2,138","1,703","1,770","1,028"
2020년02월_계_80~89세,"14,111",745,599,410,505,375,337,577,573,474,323,814,383,561,886,"1,429","1,000",540,588,998,683,824,487
2020년02월_계_90~99세,"1,566",84,60,44,64,29,36,47,63,42,40,90,45,62,86,156,127,62,80,107,80,96,66
2020년02월_계_100세 이상,86,5,5,5,3,2,3,2,2,1,0,1,3,8,6,18,5,5,0,2,3,7,0
