,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년04월_계_총인구수,"27,710","12,109","2,943","2,374","2,550","3,064","4,670"
2020년04월_계_연령구간인구수,"27,710","12,109","2,943","2,374","2,550","3,064","4,670"
2020년04월_계_0~9세,"1,378",860,88,77,73,87,193
2020년04월_계_10~19세,"1,915","1,133",176,118,104,133,251
2020년04월_계_20~29세,"2,390","1,199",233,196,159,168,435
2020년04월_계_30~39세,"2,365","1,247",188,155,173,241,361
2020년04월_계_40~49세,"3,544","1,866",331,267,245,310,525
2020년04월_계_50~59세,"5,076","2,076",550,459,504,535,952
2020년04월_계_60~69세,"5,267","1,849",635,471,610,709,993
2020년04월_계_70~79세,"3,675","1,202",476,396,439,523,639
2020년04월_계_80~89세,"1,770",568,229,205,208,295,265
2020년04월_계_90~99세,315,107,37,25,33,59,54
2020년04월_계_100세 이상,15,2,0,5,2,4,2
2020년04월_남_총인구수,"14,107","6,102","1,520","1,210","1,321","1,571","2,383"
2020년04월_남_연령구간인구수,"14,107","6,102","1,520","1,210","1,321","1,571","2,383"
2020년04월_남_0~9세,712,445,47,40,36,49,95
2020년04월_남_10~19세,994,600,97,49,56,68,124
2020년04월_남_20~29세,"1,419",693,143,114,102,101,266
2020년04월_남_30~39세,"1,274",619,118,78,110,138,211
2020년04월_남_40~49세,"1,957",958,184,159,152,203,301
2020년04월_남_50~59세,"2,726","1,092",310,269,252,302,501
2020년04월_남_60~69세,"2,625",906,310,245,322,358,484
2020년04월_남_70~79세,"1,683",551,214,167,202,246,303
2020년04월_남_80~89세,652,210,92,82,83,100,85
2020년04월_남_90~99세,64,27,5,7,6,6,13
2020년04월_남_100세 이상,1,1,0,0,0,0,0
2020년04월_여_총인구수,"13,603","6,007","1,423","1,164","1,229","1,493","2,287"
2020년04월_여_연령구간인구수,"13,603","6,007","1,423","1,164","1,229","1,493","2,287"
2020년04월_여_0~9세,666,415,41,37,37,38,98
2020년04월_여_10~19세,921,533,79,69,48,65,127
2020년04월_여_20~29세,971,506,90,82,57,67,169
2020년04월_여_30~39세,"1,091",628,70,77,63,103,150
2020년04월_여_40~49세,"1,587",908,147,108,93,107,224
2020년04월_여_50~59세,"2,350",984,240,190,252,233,451
2020년04월_여_60~69세,"2,642",943,325,226,288,351,509
2020년04월_여_70~79세,"1,992",651,262,229,237,277,336
2020년04월_여_80~89세,"1,118",358,137,123,125,195,180
2020년04월_여_90~99세,251,80,32,18,27,53,41
2020년04월_여_100세 이상,14,1,0,5,2,4,2
