,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년04월_계_총인구수,"81,412","10,794","6,601","5,652","33,878","3,130","6,427","4,746","2,061","5,100","3,023"
2020년04월_계_연령구간인구수,"81,412","10,794","6,601","5,652","33,878","3,130","6,427","4,746","2,061","5,100","3,023"
2020년04월_계_0~9세,"7,138",762,276,202,"5,194",48,238,123,68,134,93
2020년04월_계_10~19세,"8,796","1,151",404,320,"5,520",155,459,219,97,290,181
2020년04월_계_20~29세,"8,236","1,315",556,530,"3,762",240,690,336,167,383,257
2020년04월_계_30~39세,"9,305","1,014",421,365,"6,056",155,458,266,137,253,180
2020년04월_계_40~49세,"12,724","1,566",771,624,"7,264",273,732,458,208,532,296
2020년04월_계_50~59세,"12,428","1,876","1,192","1,185","3,644",595,"1,152",914,371,902,597
2020년04월_계_60~69세,"10,344","1,528","1,240","1,126","1,526",591,"1,209",991,473,"1,032",628
2020년04월_계_70~79세,"7,745","1,045","1,060",801,625,586,891,900,360,970,507
2020년04월_계_80~89세,"4,091",483,600,421,252,432,507,468,144,531,253
2020년04월_계_90~99세,572,53,81,73,33,53,75,70,34,72,28
2020년04월_계_100세 이상,33,1,0,5,2,2,16,1,2,1,3
2020년04월_남_총인구수,"40,860","5,382","3,322","2,967","16,724","1,550","3,316","2,390","1,067","2,580","1,562"
2020년04월_남_연령구간인구수,"40,860","5,382","3,322","2,967","16,724","1,550","3,316","2,390","1,067","2,580","1,562"
2020년04월_남_0~9세,"3,646",394,153,100,"2,633",21,125,66,37,73,44
2020년04월_남_10~19세,"4,510",603,211,157,"2,835",88,230,97,50,147,92
2020년04월_남_20~29세,"4,438",749,309,300,"1,850",136,419,194,95,251,135
2020년04월_남_30~39세,"4,776",542,253,217,"2,862",109,259,173,90,148,123
2020년04월_남_40~49세,"6,787",792,476,371,"3,571",168,444,312,136,332,185
2020년04월_남_50~59세,"6,809",978,668,688,"1,930",347,635,517,196,497,353
2020년04월_남_60~69세,"5,156",735,597,613,709,296,636,490,240,517,323
2020년04월_남_70~79세,"3,400",435,466,381,261,253,400,381,164,435,224
2020년04월_남_80~89세,"1,239",146,174,127,68,122,159,146,53,171,73
2020년04월_남_90~99세,95,8,15,12,4,10,9,14,6,9,8
2020년04월_남_100세 이상,4,0,0,1,1,0,0,0,0,0,2
2020년04월_여_총인구수,"40,552","5,412","3,279","2,685","17,154","1,580","3,111","2,356",994,"2,520","1,461"
2020년04월_여_연령구간인구수,"40,552","5,412","3,279","2,685","17,154","1,580","3,111","2,356",994,"2,520","1,461"
2020년04월_여_0~9세,"3,492",368,123,102,"2,561",27,113,57,31,61,49
2020년04월_여_10~19세,"4,286",548,193,163,"2,685",67,229,122,47,143,89
2020년04월_여_20~29세,"3,798",566,247,230,"1,912",104,271,142,72,132,122
2020년04월_여_30~39세,"4,529",472,168,148,"3,194",46,199,93,47,105,57
2020년04월_여_40~49세,"5,937",774,295,253,"3,693",105,288,146,72,200,111
2020년04월_여_50~59세,"5,619",898,524,497,"1,714",248,517,397,175,405,244
2020년04월_여_60~69세,"5,188",793,643,513,817,295,573,501,233,515,305
2020년04월_여_70~79세,"4,345",610,594,420,364,333,491,519,196,535,283
2020년04월_여_80~89세,"2,852",337,426,294,184,310,348,322,91,360,180
2020년04월_여_90~99세,477,45,66,61,29,43,66,56,28,63,20
2020년04월_여_100세 이상,29,1,0,4,1,2,16,1,2,1,1
