,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년09월_계_총인구수,"39,592","8,928","11,562","1,103","1,417","1,150","1,185","1,657",892,"3,645","2,735","1,222","3,030","1,066"
2021년09월_계_연령구간인구수,"39,592","8,928","11,562","1,103","1,417","1,150","1,185","1,657",892,"3,645","2,735","1,222","3,030","1,066"
2021년09월_계_0~9세,"1,580",595,480,25,38,29,37,61,14,101,55,43,80,22
2021년09월_계_10~19세,"2,522",834,808,43,59,49,66,70,49,162,126,68,159,29
2021년09월_계_20~29세,"2,787",908,780,63,86,59,57,103,46,213,128,86,186,72
2021년09월_계_30~39세,"2,360",789,689,44,78,52,58,68,28,173,129,75,128,49
2021년09월_계_40~49세,"3,965","1,181","1,218",82,118,95,97,112,84,316,212,126,253,71
2021년09월_계_50~59세,"6,502","1,488","1,843",174,230,182,192,268,156,563,457,202,574,173
2021년09월_계_60~69세,"7,740","1,390","2,276",228,300,220,227,359,194,788,616,247,673,222
2021년09월_계_70~79세,"6,467",974,"1,973",200,252,218,215,293,167,723,500,211,540,201
2021년09월_계_80~89세,"4,881",680,"1,280",202,221,213,206,281,133,527,431,147,369,191
2021년09월_계_90~99세,764,85,208,41,34,32,29,42,20,77,78,17,66,35
2021년09월_계_100세 이상,24,4,7,1,1,1,1,0,1,2,3,0,2,1
2021년09월_남_총인구수,"19,329","4,368","5,659",530,705,558,581,793,456,"1,754","1,331",588,"1,490",516
2021년09월_남_연령구간인구수,"19,329","4,368","5,659",530,705,558,581,793,456,"1,754","1,331",588,"1,490",516
2021년09월_남_0~9세,835,322,252,13,18,13,24,24,6,59,24,29,40,11
2021년09월_남_10~19세,"1,293",408,421,26,35,27,35,43,22,87,68,28,75,18
2021년09월_남_20~29세,"1,614",493,449,39,50,32,36,62,27,128,81,59,117,41
2021년09월_남_30~39세,"1,247",393,366,25,46,25,34,33,20,87,71,41,74,32
2021년09월_남_40~49세,"2,259",595,698,55,75,55,63,69,52,202,132,72,146,45
2021년09월_남_50~59세,"3,644",788,"1,036",100,142,115,116,150,105,323,279,89,303,98
2021년09월_남_60~69세,"3,946",679,"1,131",128,166,118,124,202,103,385,310,127,360,113
2021년09월_남_70~79세,"2,790",434,849,90,99,103,82,125,77,306,211,96,235,83
2021년09월_남_80~89세,"1,544",238,418,46,70,58,61,75,40,161,138,47,126,66
2021년09월_남_90~99세,153,18,36,8,4,12,6,10,4,15,17,0,14,9
2021년09월_남_100세 이상,4,0,3,0,0,0,0,0,0,1,0,0,0,0
2021년09월_여_총인구수,"20,263","4,560","5,903",573,712,592,604,864,436,"1,891","1,404",634,"1,540",550
2021년09월_여_연령구간인구수,"20,263","4,560","5,903",573,712,592,604,864,436,"1,891","1,404",634,"1,540",550
2021년09월_여_0~9세,745,273,228,12,20,16,13,37,8,42,31,14,40,11
2021년09월_여_10~19세,"1,229",426,387,17,24,22,31,27,27,75,58,40,84,11
2021년09월_여_20~29세,"1,173",415,331,24,36,27,21,41,19,85,47,27,69,31
2021년09월_여_30~39세,"1,113",396,323,19,32,27,24,35,8,86,58,34,54,17
2021년09월_여_40~49세,"1,706",586,520,27,43,40,34,43,32,114,80,54,107,26
2021년09월_여_50~59세,"2,858",700,807,74,88,67,76,118,51,240,178,113,271,75
2021년09월_여_60~69세,"3,794",711,"1,145",100,134,102,103,157,91,403,306,120,313,109
2021년09월_여_70~79세,"3,677",540,"1,124",110,153,115,133,168,90,417,289,115,305,118
2021년09월_여_80~89세,"3,337",442,862,156,151,155,145,206,93,366,293,100,243,125
2021년09월_여_90~99세,611,67,172,33,30,20,23,32,16,62,61,17,52,26
2021년09월_여_100세 이상,20,4,4,1,1,1,1,0,1,1,3,0,2,1
