,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년06월_계_총인구수,"94,288","17,149","20,361","2,934","3,062","13,244","15,726","7,057","4,602","10,153"
2020년06월_계_연령구간인구수,"94,288","17,149","20,361","2,934","3,062","13,244","15,726","7,057","4,602","10,153"
2020년06월_계_0~9세,"6,329",952,"1,441",53,66,"1,651","1,180",278,186,522
2020년06월_계_10~19세,"7,915","1,451","2,084",123,149,"1,012","1,610",452,234,800
2020년06월_계_20~29세,"9,643","1,746","2,260",171,182,"1,463","1,789",635,362,"1,035"
2020년06월_계_30~39세,"10,165","1,585","2,172",178,170,"2,458","1,759",609,329,905
2020년06월_계_40~49세,"14,049","2,389","3,408",232,231,"2,212","2,869",900,495,"1,313"
2020년06월_계_50~59세,"17,843","3,302","3,899",540,547,"1,825","3,170","1,594",946,"2,020"
2020년06월_계_60~69세,"14,732","2,960","2,743",688,776,"1,450","1,894","1,356","1,009","1,856"
2020년06월_계_70~79세,"8,254","1,744","1,443",531,548,722,895,729,599,"1,043"
2020년06월_계_80~89세,"4,614",882,788,369,333,370,488,436,382,566
2020년06월_계_90~99세,690,131,108,47,58,65,71,64,56,90
2020년06월_계_100세 이상,54,7,15,2,2,16,1,4,4,3
2020년06월_남_총인구수,"49,951","8,758","10,859","1,506","1,599","7,080","8,573","3,902","2,508","5,166"
2020년06월_남_연령구간인구수,"49,951","8,758","10,859","1,506","1,599","7,080","8,573","3,902","2,508","5,166"
2020년06월_남_0~9세,"3,291",492,755,26,32,868,608,162,96,252
2020년06월_남_10~19세,"4,130",732,"1,151",68,97,508,839,246,114,375
2020년06월_남_20~29세,"5,627",991,"1,352",102,105,779,"1,073",392,241,592
2020년06월_남_30~39세,"5,682",873,"1,200",108,100,"1,312","1,026",373,198,492
2020년06월_남_40~49세,"7,900","1,287","1,869",153,155,"1,250","1,565",574,319,728
2020년06월_남_50~59세,"9,895","1,763","2,178",295,301,989,"1,842",915,539,"1,073"
2020년06월_남_60~69세,"7,787","1,487","1,409",367,424,834,"1,025",742,554,945
2020년06월_남_70~79세,"3,882",803,638,238,264,365,413,343,303,515
2020년06월_남_80~89세,"1,564",287,278,140,105,147,165,139,129,174
2020년06월_남_90~99세,168,40,26,9,15,14,17,14,13,20
2020년06월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년06월_여_총인구수,"44,337","8,391","9,502","1,428","1,463","6,164","7,153","3,155","2,094","4,987"
2020년06월_여_연령구간인구수,"44,337","8,391","9,502","1,428","1,463","6,164","7,153","3,155","2,094","4,987"
2020년06월_여_0~9세,"3,038",460,686,27,34,783,572,116,90,270
2020년06월_여_10~19세,"3,785",719,933,55,52,504,771,206,120,425
2020년06월_여_20~29세,"4,016",755,908,69,77,684,716,243,121,443
2020년06월_여_30~39세,"4,483",712,972,70,70,"1,146",733,236,131,413
2020년06월_여_40~49세,"6,149","1,102","1,539",79,76,962,"1,304",326,176,585
2020년06월_여_50~59세,"7,948","1,539","1,721",245,246,836,"1,328",679,407,947
2020년06월_여_60~69세,"6,945","1,473","1,334",321,352,616,869,614,455,911
2020년06월_여_70~79세,"4,372",941,805,293,284,357,482,386,296,528
2020년06월_여_80~89세,"3,050",595,510,229,228,223,323,297,253,392
2020년06월_여_90~99세,522,91,82,38,43,51,54,50,43,70
2020년06월_여_100세 이상,29,4,12,2,1,2,1,2,2,3
