카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년10월_계_총인구수,"29,265","10,653","5,456","2,483","2,108","3,322","1,935","1,551","1,757"
2020년10월_계_연령구간인구수,"29,265","10,653","5,456","2,483","2,108","3,322","1,935","1,551","1,757"
2020년10월_계_0~9세,"1,198",632,261,60,62,81,47,21,34
2020년10월_계_10~19세,"2,028",962,413,103,145,179,78,37,111
2020년10월_계_20~29세,"2,271","1,138",486,115,102,151,95,77,107
2020년10월_계_30~39세,"2,035","1,042",425,101,85,146,79,74,83
2020년10월_계_40~49세,"3,343","1,510",699,189,196,335,151,124,139
2020년10월_계_50~59세,"5,752","2,011","1,019",532,403,704,407,314,362
2020년10월_계_60~69세,"6,291","1,795","1,008",648,553,825,556,440,466
2020년10월_계_70~79세,"3,914",984,744,437,363,549,313,265,259
2020년10월_계_80~89세,"2,131",509,361,248,177,307,186,174,169
2020년10월_계_90~99세,281,68,39,44,19,44,22,25,20
2020년10월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년10월_남_총인구수,"14,833","5,338","2,822","1,235","1,142","1,601","1,046",783,866
2020년10월_남_연령구간인구수,"14,833","5,338","2,822","1,235","1,142","1,601","1,046",783,866
2020년10월_남_0~9세,622,323,138,29,40,38,24,11,19
2020년10월_남_10~19세,"1,083",489,223,58,97,102,50,14,50
2020년10월_남_20~29세,"1,317",628,297,56,65,94,68,44,65
2020년10월_남_30~39세,"1,081",543,234,51,47,79,45,40,42
2020년10월_남_40~49세,"1,841",797,402,106,116,170,90,80,80
2020년10월_남_50~59세,"3,097","1,077",557,298,217,366,217,173,192
2020년10월_남_60~69세,"3,228",873,502,342,289,391,328,248,255
2020년10월_남_70~79세,"1,749",423,321,192,195,248,147,116,107
2020년10월_남_80~89세,736,171,137,89,70,105,67,50,47
2020년10월_남_90~99세,71,12,10,12,6,7,9,7,8
2020년10월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년10월_여_총인구수,"14,432","5,315","2,634","1,248",966,"1,721",889,768,891
2020년10월_여_연령구간인구수,"14,432","5,315","2,634","1,248",966,"1,721",889,768,891
2020년10월_여_0~9세,576,309,123,31,22,43,23,10,15
2020년10월_여_10~19세,945,473,190,45,48,77,28,23,61
2020년10월_여_20~29세,954,510,189,59,37,57,27,33,42
2020년10월_여_30~39세,954,499,191,50,38,67,34,34,41
2020년10월_여_40~49세,"1,502",713,297,83,80,165,61,44,59
2020년10월_여_50~59세,"2,655",934,462,234,186,338,190,141,170
2020년10월_여_60~69세,"3,063",922,506,306,264,434,228,192,211
2020년10월_여_70~79세,"2,165",561,423,245,168,301,166,149,152
2020년10월_여_80~89세,"1,395",338,224,159,107,202,119,124,122
2020년10월_여_90~99세,210,56,29,32,13,37,13,18,12
2020년10월_여_100세 이상,13,0,0,4,3,0,0,0,6
