카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년01월_계_총인구수,"64,851","12,507","9,982",622,227,"3,217","2,989","4,453","3,954","5,050","1,914","2,668","3,393","2,363","3,166","2,335","3,155","1,330","1,526"
2020년01월_계_연령구간인구수,"64,851","12,507","9,982",622,227,"3,217","2,989","4,453","3,954","5,050","1,914","2,668","3,393","2,363","3,166","2,335","3,155","1,330","1,526"
2020년01월_계_0~9세,"2,691","1,049",543,14,4,68,71,131,94,111,57,49,86,72,114,70,81,30,47
2020년01월_계_10~19세,"4,136","1,529",812,19,15,100,143,205,180,242,95,93,149,108,133,74,106,59,74
2020년01월_계_20~29세,"4,504","1,242",854,12,8,166,143,266,222,301,95,128,237,139,221,141,160,76,93
2020년01월_계_30~39세,"3,909","1,211",771,20,13,142,150,209,161,233,76,110,152,123,176,112,125,48,77
2020년01월_계_40~49세,"6,619","1,939","1,246",28,37,241,233,391,352,453,161,191,284,168,267,155,236,100,137
2020년01월_계_50~59세,"10,656","1,928","1,723",54,46,505,513,718,683,851,307,446,629,391,515,417,462,201,267
2020년01월_계_60~69세,"12,354","1,684","1,815",104,28,718,628,911,819,"1,033",414,560,702,551,667,486,624,276,334
2020년01월_계_70~79세,"11,516","1,198","1,444",185,48,722,567,958,830,"1,075",410,598,616,451,572,484,748,312,298
2020년01월_계_80~89세,"7,259",597,661,160,27,469,467,605,527,659,253,404,451,312,432,345,518,191,181
2020년01월_계_90~99세,"1,160",125,109,26,1,86,71,57,79,85,44,89,82,46,66,49,91,36,18
2020년01월_계_100세 이상,47,5,4,0,0,0,3,2,7,7,2,0,5,2,3,2,4,1,0
2020년01월_남_총인구수,"31,428","6,134","4,871",313,117,"1,600","1,414","2,177","1,897","2,423",929,"1,256","1,608","1,119","1,541","1,129","1,473",644,783
2020년01월_남_연령구간인구수,"31,428","6,134","4,871",313,117,"1,600","1,414","2,177","1,897","2,423",929,"1,256","1,608","1,119","1,541","1,129","1,473",644,783
2020년01월_남_0~9세,"1,343",526,267,6,0,32,36,65,36,58,27,20,43,38,64,34,45,16,30
2020년01월_남_10~19세,"2,194",806,429,9,6,62,69,114,81,125,44,57,85,67,69,48,52,34,37
2020년01월_남_20~29세,"2,556",697,445,4,7,107,73,156,134,168,55,80,127,81,132,89,86,53,62
2020년01월_남_30~39세,"2,129",558,415,8,10,95,94,122,100,134,45,68,94,59,98,76,79,31,43
2020년01월_남_40~49세,"3,893",993,664,16,29,171,145,246,222,290,107,131,183,104,170,104,156,69,93
2020년01월_남_50~59세,"5,842","1,009",916,27,24,306,301,384,365,474,190,251,333,211,298,231,261,110,151
2020년01월_남_60~69세,"6,065",792,859,59,16,363,329,446,392,480,205,281,355,279,320,252,304,151,182
2020년01월_남_70~79세,"4,892",540,630,99,16,298,226,414,396,455,170,249,235,180,237,191,309,113,134
2020년01월_남_80~89세,"2,256",194,226,77,9,146,125,213,157,217,73,103,131,93,128,97,163,58,46
2020년01월_남_90~99세,251,17,19,8,0,20,16,16,14,21,12,16,22,7,25,6,18,9,5
2020년01월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년01월_여_총인구수,"33,423","6,373","5,111",309,110,"1,617","1,575","2,276","2,057","2,627",985,"1,412","1,785","1,244","1,625","1,206","1,682",686,743
2020년01월_여_연령구간인구수,"33,423","6,373","5,111",309,110,"1,617","1,575","2,276","2,057","2,627",985,"1,412","1,785","1,244","1,625","1,206","1,682",686,743
2020년01월_여_0~9세,"1,348",523,276,8,4,36,35,66,58,53,30,29,43,34,50,36,36,14,17
2020년01월_여_10~19세,"1,942",723,383,10,9,38,74,91,99,117,51,36,64,41,64,26,54,25,37
2020년01월_여_20~29세,"1,948",545,409,8,1,59,70,110,88,133,40,48,110,58,89,52,74,23,31
2020년01월_여_30~39세,"1,780",653,356,12,3,47,56,87,61,99,31,42,58,64,78,36,46,17,34
2020년01월_여_40~49세,"2,726",946,582,12,8,70,88,145,130,163,54,60,101,64,97,51,80,31,44
2020년01월_여_50~59세,"4,814",919,807,27,22,199,212,334,318,377,117,195,296,180,217,186,201,91,116
2020년01월_여_60~69세,"6,289",892,956,45,12,355,299,465,427,553,209,279,347,272,347,234,320,125,152
2020년01월_여_70~79세,"6,624",658,814,86,32,424,341,544,434,620,240,349,381,271,335,293,439,199,164
2020년01월_여_80~89세,"5,003",403,435,83,18,323,342,392,370,442,180,301,320,219,304,248,355,133,135
2020년01월_여_90~99세,909,108,90,18,1,66,55,41,65,64,32,73,60,39,41,43,73,27,13
2020년01월_여_100세 이상,40,3,3,0,0,0,3,1,7,6,1,0,5,2,3,1,4,1,0
