,세종특별자치시,세종특별자치시 세종특별자치시
2020년11월_계_총인구수,"353,430","353,430"
2020년11월_계_연령구간인구수,"353,430","353,430"
2020년11월_계_0~9세,"47,222","47,222"
2020년11월_계_10~19세,"42,306","42,306"
2020년11월_계_20~29세,"36,994","36,994"
2020년11월_계_30~39세,"61,240","61,240"
2020년11월_계_40~49세,"68,318","68,318"
2020년11월_계_50~59세,"44,970","44,970"
2020년11월_계_60~69세,"29,785","29,785"
2020년11월_계_70~79세,"14,286","14,286"
2020년11월_계_80~89세,"7,080","7,080"
2020년11월_계_90~99세,"1,177","1,177"
2020년11월_계_100세 이상,52,52
2020년11월_남_총인구수,"176,336","176,336"
2020년11월_남_연령구간인구수,"176,336","176,336"
2020년11월_남_0~9세,"24,193","24,193"
2020년11월_남_10~19세,"21,207","21,207"
2020년11월_남_20~29세,"18,805","18,805"
2020년11월_남_30~39세,"29,868","29,868"
2020년11월_남_40~49세,"34,925","34,925"
2020년11월_남_50~59세,"23,384","23,384"
2020년11월_남_60~69세,"14,738","14,738"
2020년11월_남_70~79세,"6,548","6,548"
2020년11월_남_80~89세,"2,398","2,398"
2020년11월_남_90~99세,259,259
2020년11월_남_100세 이상,11,11
2020년11월_여_총인구수,"177,094","177,094"
2020년11월_여_연령구간인구수,"177,094","177,094"
2020년11월_여_0~9세,"23,029","23,029"
2020년11월_여_10~19세,"21,099","21,099"
2020년11월_여_20~29세,"18,189","18,189"
2020년11월_여_30~39세,"31,372","31,372"
2020년11월_여_40~49세,"33,393","33,393"
2020년11월_여_50~59세,"21,586","21,586"
2020년11월_여_60~69세,"15,047","15,047"
2020년11월_여_70~79세,"7,738","7,738"
2020년11월_여_80~89세,"4,682","4,682"
2020년11월_여_90~99세,918,918
2020년11월_여_100세 이상,41,41
