카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년03월_계_총인구수,"308,482","17,366","16,366","20,597","19,229","35,723","24,004","15,576","14,003","22,867","26,772","15,634","29,704","18,330","32,311"
2021년03월_계_연령구간인구수,"308,482","17,366","16,366","20,597","19,229","35,723","24,004","15,576","14,003","22,867","26,772","15,634","29,704","18,330","32,311"
2021년03월_계_0~9세,"19,749","1,212","1,411","1,219",703,"1,622","1,515",755,781,"1,484","1,236","2,112","2,652","1,406","1,641"
2021년03월_계_10~19세,"23,426","1,440","1,084","1,369",935,"2,430","1,864","1,096","1,070","1,773","2,164","1,448","2,400","1,956","2,397"
2021년03월_계_20~29세,"49,827","2,182","2,320","3,442","7,464","7,659","3,140","2,093","1,829","2,863","4,161","1,507","4,249","2,149","4,769"
2021년03월_계_30~39세,"44,608","2,351","2,851","3,308","3,309","5,605","3,384","1,956","1,875","2,996","3,463","2,414","4,503","2,373","4,220"
2021년03월_계_40~49세,"46,700","2,781","2,665","3,028","1,953","4,876","3,712","2,145","2,019","3,436","3,925","3,047","4,871","3,245","4,997"
2021년03월_계_50~59세,"48,922","2,994","2,755","3,313","1,973","5,209","4,040","2,643","2,534","3,942","4,579","2,153","4,397","3,017","5,373"
2021년03월_계_60~69세,"38,675","2,189","1,796","2,660","1,401","4,105","3,298","2,315","2,031","3,327","3,757","1,553","3,370","2,212","4,661"
2021년03월_계_70~79세,"23,739","1,375",985,"1,421",920,"2,718","1,990","1,615","1,224","1,938","2,211",924,"2,178","1,313","2,927"
2021년03월_계_80~89세,"11,201",749,431,705,492,"1,296",940,851,559,969,"1,108",414,944,578,"1,165"
2021년03월_계_90~99세,"1,526",88,63,122,75,193,118,85,76,133,141,58,138,79,157
2021년03월_계_100세 이상,109,5,5,10,4,10,3,22,5,6,27,4,2,2,4
2021년03월_남_총인구수,"147,655","8,246","7,845","9,900","8,535","17,215","11,297","7,550","6,637","11,034","12,928","7,534","14,344","8,848","15,742"
2021년03월_남_연령구간인구수,"147,655","8,246","7,845","9,900","8,535","17,215","11,297","7,550","6,637","11,034","12,928","7,534","14,344","8,848","15,742"
2021년03월_남_0~9세,"10,026",604,727,609,376,824,756,377,418,741,619,"1,061","1,330",717,867
2021년03월_남_10~19세,"11,713",721,528,659,427,"1,218",914,591,541,877,"1,107",696,"1,183","1,031","1,220"
2021년03월_남_20~29세,"23,825","1,058","1,057","1,644","2,895","3,867","1,541","1,044",902,"1,439","2,088",731,"2,084","1,050","2,425"
2021년03월_남_30~39세,"22,066","1,144","1,392","1,628","1,643","2,822","1,636","1,025",920,"1,520","1,818","1,065","2,179","1,114","2,160"
2021년03월_남_40~49세,"23,087","1,340","1,356","1,527",940,"2,332","1,791","1,079",970,"1,683","1,931","1,607","2,464","1,614","2,453"
2021년03월_남_50~59세,"23,842","1,498","1,361","1,631",994,"2,489","1,891","1,329","1,199","1,934","2,206","1,062","2,191","1,456","2,601"
2021년03월_남_60~69세,"18,201","1,051",844,"1,280",643,"1,917","1,521","1,069",965,"1,608","1,720",727,"1,581","1,048","2,227"
2021년03월_남_70~79세,"10,150",548,414,623,404,"1,138",850,675,493,839,980,394,938,567,"1,287"
2021년03월_남_80~89세,"4,305",259,147,268,192,532,364,321,206,357,426,175,364,232,462
2021년03월_남_90~99세,408,21,18,28,21,73,33,30,20,36,27,15,29,18,39
2021년03월_남_100세 이상,32,2,1,3,0,3,0,10,3,0,6,1,1,1,1
2021년03월_여_총인구수,"160,827","9,120","8,521","10,697","10,694","18,508","12,707","8,026","7,366","11,833","13,844","8,100","15,360","9,482","16,569"
2021년03월_여_연령구간인구수,"160,827","9,120","8,521","10,697","10,694","18,508","12,707","8,026","7,366","11,833","13,844","8,100","15,360","9,482","16,569"
2021년03월_여_0~9세,"9,723",608,684,610,327,798,759,378,363,743,617,"1,051","1,322",689,774
2021년03월_여_10~19세,"11,713",719,556,710,508,"1,212",950,505,529,896,"1,057",752,"1,217",925,"1,177"
2021년03월_여_20~29세,"26,002","1,124","1,263","1,798","4,569","3,792","1,599","1,049",927,"1,424","2,073",776,"2,165","1,099","2,344"
2021년03월_여_30~39세,"22,542","1,207","1,459","1,680","1,666","2,783","1,748",931,955,"1,476","1,645","1,349","2,324","1,259","2,060"
2021년03월_여_40~49세,"23,613","1,441","1,309","1,501","1,013","2,544","1,921","1,066","1,049","1,753","1,994","1,440","2,407","1,631","2,544"
2021년03월_여_50~59세,"25,080","1,496","1,394","1,682",979,"2,720","2,149","1,314","1,335","2,008","2,373","1,091","2,206","1,561","2,772"
2021년03월_여_60~69세,"20,474","1,138",952,"1,380",758,"2,188","1,777","1,246","1,066","1,719","2,037",826,"1,789","1,164","2,434"
2021년03월_여_70~79세,"13,589",827,571,798,516,"1,580","1,140",940,731,"1,099","1,231",530,"1,240",746,"1,640"
2021년03월_여_80~89세,"6,896",490,284,437,300,764,576,530,353,612,682,239,580,346,703
2021년03월_여_90~99세,"1,118",67,45,94,54,120,85,55,56,97,114,43,109,61,118
2021년03월_여_100세 이상,77,3,4,7,4,7,3,12,2,6,21,3,1,1,3
