카테고리,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년04월_계_총인구수,"31,139","10,043","2,183","2,270","3,569","1,555","1,960","2,385","2,788","2,218","2,168"
2020년04월_계_연령구간인구수,"31,139","10,043","2,183","2,270","3,569","1,555","1,960","2,385","2,788","2,218","2,168"
2020년04월_계_0~9세,"1,343",693,51,78,153,31,54,81,87,65,50
2020년04월_계_10~19세,"2,073",963,97,91,274,84,115,125,104,113,107
2020년04월_계_20~29세,"2,718","1,274",167,158,326,105,119,129,188,120,132
2020년04월_계_30~39세,"2,151",931,109,120,280,81,109,127,149,117,128
2020년04월_계_40~49세,"3,252","1,285",193,221,416,135,189,223,231,177,182
2020년04월_계_50~59세,"5,364","1,687",376,428,611,310,316,380,494,367,395
2020년04월_계_60~69세,"5,970","1,518",441,508,639,321,426,525,580,513,499
2020년04월_계_70~79세,"4,530",958,391,347,494,248,354,459,510,399,370
2020년04월_계_80~89세,"3,290",629,326,287,331,212,236,296,397,309,267
2020년04월_계_90~99세,429,98,32,31,43,28,40,37,48,37,35
2020년04월_계_100세 이상,19,7,0,1,2,0,2,3,0,1,3
2020년04월_남_총인구수,"15,761","5,039","1,091","1,191","1,850",799,"1,005","1,194","1,392","1,122","1,078"
2020년04월_남_연령구간인구수,"15,761","5,039","1,091","1,191","1,850",799,"1,005","1,194","1,392","1,122","1,078"
2020년04월_남_0~9세,690,358,27,38,82,20,21,41,41,36,26
2020년04월_남_10~19세,"1,089",489,59,54,144,45,62,63,59,52,62
2020년04월_남_20~29세,"1,566",725,91,93,207,59,73,60,106,76,76
2020년04월_남_30~39세,"1,228",480,68,75,165,47,68,82,93,71,79
2020년04월_남_40~49세,"1,894",678,108,138,233,84,123,150,147,117,116
2020년04월_남_50~59세,"2,926",885,203,251,336,172,182,211,277,196,213
2020년04월_남_60~69세,"3,061",743,242,275,330,178,223,262,298,254,256
2020년04월_남_70~79세,"2,014",434,177,153,214,112,159,198,225,188,154
2020년04월_남_80~89세,"1,178",223,108,104,120,76,82,119,137,120,89
2020년04월_남_90~99세,112,21,8,10,19,6,12,8,9,12,7
2020년04월_남_100세 이상,3,3,0,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"15,378","5,004","1,092","1,079","1,719",756,955,"1,191","1,396","1,096","1,090"
2020년04월_여_연령구간인구수,"15,378","5,004","1,092","1,079","1,719",756,955,"1,191","1,396","1,096","1,090"
2020년04월_여_0~9세,653,335,24,40,71,11,33,40,46,29,24
2020년04월_여_10~19세,984,474,38,37,130,39,53,62,45,61,45
2020년04월_여_20~29세,"1,152",549,76,65,119,46,46,69,82,44,56
2020년04월_여_30~39세,923,451,41,45,115,34,41,45,56,46,49
2020년04월_여_40~49세,"1,358",607,85,83,183,51,66,73,84,60,66
2020년04월_여_50~59세,"2,438",802,173,177,275,138,134,169,217,171,182
2020년04월_여_60~69세,"2,909",775,199,233,309,143,203,263,282,259,243
2020년04월_여_70~79세,"2,516",524,214,194,280,136,195,261,285,211,216
2020년04월_여_80~89세,"2,112",406,218,183,211,136,154,177,260,189,178
2020년04월_여_90~99세,317,77,24,21,24,22,28,29,39,25,28
2020년04월_여_100세 이상,16,4,0,1,2,0,2,3,0,1,3
