,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년04월_계_총인구수,"438,248","4,951","23,421","4,224","19,268","20,204","9,430","11,002","9,078","8,579","18,317","7,684","29,586","6,613","36,692","37,171","22,382","24,922","36,149","16,974","26,779","28,824","12,012","23,986"
2021년04월_계_연령구간인구수,"438,248","4,951","23,421","4,224","19,268","20,204","9,430","11,002","9,078","8,579","18,317","7,684","29,586","6,613","36,692","37,171","22,382","24,922","36,149","16,974","26,779","28,824","12,012","23,986"
2021년04월_계_0~9세,"33,119",358,"2,318",169,"2,158","1,718",248,585,270,295,"1,149",174,"2,319",293,"3,482","4,483","1,322","1,599","2,616",898,"1,653","2,262",612,"2,138"
2021년04월_계_10~19세,"42,601",349,"2,029",206,"2,292","2,245",436,887,444,473,"1,159",356,"3,096",400,"3,910","3,150","1,733","2,447","4,918","1,563","2,433","4,368",621,"3,086"
2021년04월_계_20~29세,"61,826",554,"2,887",488,"2,117","2,349",987,"1,627","2,571","1,264","2,878","2,391","4,291",723,"4,237","3,882","3,898","3,679","5,329","2,410","4,276","4,123","1,362","3,503"
2021년04월_계_30~39세,"53,180",690,"3,626",464,"2,728","2,303",740,"1,140","1,136","1,040","2,115","1,026","3,752",796,"4,788","6,257","2,635","2,723","3,437","1,604","3,063","2,821","1,533","2,763"
2021년04월_계_40~49세,"71,588",694,"4,067",482,"3,696","3,468","1,116","1,457","1,027","1,021","2,625",825,"4,759",870,"6,961","6,466","3,099","3,956","6,653","2,485","3,737","5,875","1,614","4,635"
2021년04월_계_50~59세,"77,882",790,"3,262",878,"2,807","3,463","1,869","2,239","1,251","1,540","2,907","1,190","5,153","1,192","6,304","5,933","4,176","4,708","7,239","3,523","5,411","5,509","2,323","4,215"
2021년04월_계_60~69세,"55,431",780,"2,673",910,"1,928","2,436","2,035","1,743","1,249","1,598","2,759","1,013","3,808","1,301","4,164","4,315","3,170","3,409","3,469","2,702","3,689","2,073","2,253","1,954"
2021년04월_계_70~79세,"28,460",506,"1,605",424,"1,020","1,483","1,344",900,749,930,"1,740",482,"1,593",695,"2,033","1,906","1,526","1,664","1,635","1,141","1,604","1,132","1,255","1,093"
2021년04월_계_80~89세,"12,597",194,817,174,467,665,605,377,340,377,858,204,704,309,716,683,736,653,763,594,823,619,383,536
2021년04월_계_90~99세,"1,474",32,124,28,50,68,48,46,38,41,110,22,105,33,96,91,85,82,89,51,84,41,48,62
2021년04월_계_100세 이상,90,4,13,1,5,6,2,1,3,0,17,1,6,1,1,5,2,2,1,3,6,1,8,1
2021년04월_남_총인구수,"218,144","2,386","11,290","2,256","9,322","9,779","4,678","5,403","4,700","4,490","9,256","4,187","14,648","3,287","18,716","18,566","11,235","12,220","17,805","8,545","13,305","14,001","6,243","11,826"
2021년04월_남_연령구간인구수,"218,144","2,386","11,290","2,256","9,322","9,779","4,678","5,403","4,700","4,490","9,256","4,187","14,648","3,287","18,716","18,566","11,235","12,220","17,805","8,545","13,305","14,001","6,243","11,826"
2021년04월_남_0~9세,"16,979",169,"1,137",88,"1,090",897,132,290,142,159,565,94,"1,197",148,"1,826","2,315",681,830,"1,294",466,863,"1,177",303,"1,116"
2021년04월_남_10~19세,"22,122",167,"1,021",121,"1,171","1,146",232,459,230,266,595,182,"1,611",209,"2,021","1,603",926,"1,283","2,576",814,"1,316","2,264",306,"1,603"
2021년04월_남_20~29세,"33,420",286,"1,403",286,"1,089","1,263",575,908,"1,393",723,"1,742","1,419","2,348",414,"2,257","2,089","2,061","1,931","2,856","1,343","2,293","2,205",750,"1,786"
2021년04월_남_30~39세,"27,930",362,"1,815",277,"1,285","1,117",436,625,691,651,"1,181",639,"1,934",460,"2,465","3,170","1,454","1,475","1,726",900,"1,668","1,339",894,"1,366"
2021년04월_남_40~49세,"35,125",374,"2,009",272,"1,771","1,629",626,709,594,582,"1,379",468,"2,261",470,"3,550","3,353","1,533","1,907","3,041","1,228","1,711","2,554",904,"2,200"
2021년04월_남_50~59세,"38,645",411,"1,596",462,"1,383","1,686",965,"1,049",627,784,"1,447",596,"2,460",579,"3,320","2,868","2,040","2,248","3,608","1,726","2,583","2,798","1,226","2,183"
2021년04월_남_60~69세,"26,901",333,"1,278",483,887,"1,153",981,834,579,736,"1,282",494,"1,862",598,"2,057","2,111","1,565","1,579","1,764","1,351","1,872","1,030","1,111",961
2021년04월_남_70~79세,"12,294",217,690,206,441,637,508,395,313,430,732,212,714,296,948,837,676,710,675,515,696,415,585,446
2021년04월_남_80~89세,"4,407",57,309,52,187,237,215,121,120,154,304,77,248,108,258,208,279,242,246,192,282,206,148,157
2021년04월_남_90~99세,305,9,30,8,18,14,8,13,11,5,23,5,12,5,14,11,20,15,19,10,20,13,14,8
2021년04월_남_100세 이상,16,1,2,1,0,0,0,0,0,0,6,1,1,0,0,1,0,0,0,0,1,0,2,0
2021년04월_여_총인구수,"220,104","2,565","12,131","1,968","9,946","10,425","4,752","5,599","4,378","4,089","9,061","3,497","14,938","3,326","17,976","18,605","11,147","12,702","18,344","8,429","13,474","14,823","5,769","12,160"
2021년04월_여_연령구간인구수,"220,104","2,565","12,131","1,968","9,946","10,425","4,752","5,599","4,378","4,089","9,061","3,497","14,938","3,326","17,976","18,605","11,147","12,702","18,344","8,429","13,474","14,823","5,769","12,160"
2021년04월_여_0~9세,"16,140",189,"1,181",81,"1,068",821,116,295,128,136,584,80,"1,122",145,"1,656","2,168",641,769,"1,322",432,790,"1,085",309,"1,022"
2021년04월_여_10~19세,"20,479",182,"1,008",85,"1,121","1,099",204,428,214,207,564,174,"1,485",191,"1,889","1,547",807,"1,164","2,342",749,"1,117","2,104",315,"1,483"
2021년04월_여_20~29세,"28,406",268,"1,484",202,"1,028","1,086",412,719,"1,178",541,"1,136",972,"1,943",309,"1,980","1,793","1,837","1,748","2,473","1,067","1,983","1,918",612,"1,717"
