카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년05월_계_총인구수,"52,624","20,777","1,999","2,981","2,345","3,564","2,490","4,582","2,376","2,619","2,259","2,784","2,679","1,169"
2020년05월_계_연령구간인구수,"52,624","20,777","1,999","2,981","2,345","3,564","2,490","4,582","2,376","2,619","2,259","2,784","2,679","1,169"
2020년05월_계_0~9세,"2,668","1,658",45,82,104,119,51,215,84,51,75,68,85,31
2020년05월_계_10~19세,"3,836","2,370",72,122,139,164,83,301,120,98,93,125,114,35
2020년05월_계_20~29세,"4,365","2,181",119,208,181,225,143,369,156,154,167,197,200,65
2020년05월_계_30~39세,"4,029","2,040",122,177,195,247,114,371,154,118,135,152,130,74
2020년05월_계_40~49세,"6,313","3,112",167,283,258,392,200,563,227,244,194,276,285,112
2020년05월_계_50~59세,"9,046","3,440",327,513,416,549,463,889,434,428,412,463,491,221
2020년05월_계_60~69세,"9,439","2,829",449,566,426,778,553,865,569,533,450,576,565,280
2020년05월_계_70~79세,"7,649","1,957",378,564,340,715,500,626,404,522,414,537,482,210
2020년05월_계_80~89세,"4,647","1,071",275,413,243,340,339,337,197,417,284,340,272,119
2020년05월_계_90~99세,591,113,41,51,41,33,42,43,27,52,31,47,49,21
2020년05월_계_100세 이상,41,6,4,2,2,2,2,3,4,2,4,3,6,1
2020년05월_남_총인구수,"26,132","10,189",966,"1,517","1,199","1,800","1,236","2,315","1,206","1,285","1,114","1,376","1,312",617
2020년05월_남_연령구간인구수,"26,132","10,189",966,"1,517","1,199","1,800","1,236","2,315","1,206","1,285","1,114","1,376","1,312",617
2020년05월_남_0~9세,"1,395",871,21,53,42,50,25,122,48,26,40,38,45,14
2020년05월_남_10~19세,"2,037","1,249",45,62,75,83,49,155,73,46,50,64,70,16
2020년05월_남_20~29세,"2,420","1,172",66,120,97,126,84,203,91,89,89,114,129,40
2020년05월_남_30~39세,"2,188","1,001",74,107,118,156,69,209,85,80,83,89,68,49
2020년05월_남_40~49세,"3,549","1,548",107,194,169,250,133,346,130,154,113,160,170,75
2020년05월_남_50~59세,"4,904","1,716",179,296,236,326,255,477,234,255,248,276,263,143
2020년05월_남_60~69세,"4,715","1,411",221,297,230,360,287,421,283,261,243,290,264,147
2020년05월_남_70~79세,"3,307",842,157,244,152,319,213,281,191,221,167,214,217,89
2020년05월_남_80~89세,"1,485",354,89,133,69,120,114,94,63,137,76,118,78,40
2020년05월_남_90~99세,127,24,7,11,11,10,7,7,7,16,3,13,7,4
2020년05월_남_100세 이상,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020년05월_여_총인구수,"26,492","10,588","1,033","1,464","1,146","1,764","1,254","2,267","1,170","1,334","1,145","1,408","1,367",552
2020년05월_여_연령구간인구수,"26,492","10,588","1,033","1,464","1,146","1,764","1,254","2,267","1,170","1,334","1,145","1,408","1,367",552
2020년05월_여_0~9세,"1,273",787,24,29,62,69,26,93,36,25,35,30,40,17
2020년05월_여_10~19세,"1,799","1,121",27,60,64,81,34,146,47,52,43,61,44,19
2020년05월_여_20~29세,"1,945","1,009",53,88,84,99,59,166,65,65,78,83,71,25
2020년05월_여_30~39세,"1,841","1,039",48,70,77,91,45,162,69,38,52,63,62,25
2020년05월_여_40~49세,"2,764","1,564",60,89,89,142,67,217,97,90,81,116,115,37
2020년05월_여_50~59세,"4,142","1,724",148,217,180,223,208,412,200,173,164,187,228,78
2020년05월_여_60~69세,"4,724","1,418",228,269,196,418,266,444,286,272,207,286,301,133
2020년05월_여_70~79세,"4,342","1,115",221,320,188,396,287,345,213,301,247,323,265,121
2020년05월_여_80~89세,"3,162",717,186,280,174,220,225,243,134,280,208,222,194,79
2020년05월_여_90~99세,464,89,34,40,30,23,35,36,20,36,28,34,42,17
2020년05월_여_100세 이상,36,5,4,2,2,2,2,3,3,2,2,3,5,1
