,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년06월_계_총인구수,"98,993","6,097","1,666","2,165","1,636","1,118","3,477","2,602","3,899","5,155","2,434","1,697","2,195","5,206","14,224","6,875","16,450","15,745","6,352"
2021년06월_계_연령구간인구수,"98,993","6,097","1,666","2,165","1,636","1,118","3,477","2,602","3,899","5,155","2,434","1,697","2,195","5,206","14,224","6,875","16,450","15,745","6,352"
2021년06월_계_0~9세,"5,858",133,36,41,61,29,109,59,119,142,40,40,71,180,"1,004",469,"1,575","1,520",230
2021년06월_계_10~19세,"8,135",293,103,112,102,61,173,105,198,244,93,59,108,318,"1,428",649,"1,934","1,784",371
2021년06월_계_20~29세,"9,309",378,191,137,125,67,212,142,262,369,105,80,155,460,"1,647",726,"1,985","1,774",494
2021년06월_계_30~39세,"9,093",337,82,117,114,59,209,138,198,276,101,72,140,369,"1,557",740,"2,156","1,898",530
2021년06월_계_40~49세,"13,624",555,159,245,213,101,324,201,376,470,188,134,262,661,"2,216","1,087","2,986","2,707",739
2021년06월_계_50~59세,"16,633","1,076",270,382,313,215,573,411,663,913,355,250,390,911,"2,377","1,153","2,556","2,603","1,222"
2021년06월_계_60~69세,"17,698","1,550",405,515,379,256,828,602,912,"1,229",583,441,522,"1,107","2,120","1,014","1,865","1,923","1,447"
2021년06월_계_70~79세,"11,259","1,046",267,353,184,186,580,510,671,851,513,354,361,710,"1,263",648,911,"1,007",844
2021년06월_계_80~89세,"6,393",615,129,224,126,126,416,376,436,546,382,225,170,425,544,354,431,455,413
2021년06월_계_90~99세,949,114,24,38,18,18,52,58,58,104,72,42,15,64,67,34,48,65,58
2021년06월_계_100세 이상,42,0,0,1,1,0,1,0,6,11,2,0,1,1,1,1,3,9,4
2021년06월_남_총인구수,"50,235","3,097",879,"1,141",881,604,"1,800","1,306","1,971","2,603","1,200",872,"1,085","2,747","7,197","3,450","8,252","7,838","3,312"
2021년06월_남_연령구간인구수,"50,235","3,097",879,"1,141",881,604,"1,800","1,306","1,971","2,603","1,200",872,"1,085","2,747","7,197","3,450","8,252","7,838","3,312"
2021년06월_남_0~9세,"2,962",72,16,14,30,14,54,36,62,79,29,20,42,92,524,235,787,753,103
2021년06월_남_10~19세,"4,219",145,56,60,57,34,96,64,106,119,47,36,62,166,727,320,"1,000",930,194
2021년06월_남_20~29세,"5,496",253,142,76,81,43,125,85,156,222,66,53,83,300,955,408,"1,122","1,012",314
2021년06월_남_30~39세,"4,943",196,40,78,65,38,135,89,116,166,57,36,76,223,850,404,"1,085",963,326
2021년06월_남_40~49세,"7,474",329,95,160,131,68,201,122,228,270,119,99,162,405,"1,132",574,"1,551","1,354",474
2021년06월_남_50~59세,"8,892",593,156,229,189,139,320,240,363,503,197,141,218,504,"1,223",605,"1,280","1,328",664
2021년06월_남_60~69세,"8,688",785,218,252,191,135,422,300,468,631,293,239,232,550,"1,006",477,883,903,703
2021년06월_남_70~79세,"5,073",478,115,177,90,86,294,233,305,395,224,157,153,340,560,278,395,437,356
2021년06월_남_80~89세,"2,270",217,37,87,43,43,146,122,158,195,148,81,54,150,203,142,140,140,164
2021년06월_남_90~99세,211,29,4,8,4,4,7,15,9,21,19,10,3,17,17,7,8,15,14
2021년06월_남_100세 이상,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0
2021년06월_여_총인구수,"48,758","3,000",787,"1,024",755,514,"1,677","1,296","1,928","2,552","1,234",825,"1,110","2,459","7,027","3,425","8,198","7,907","3,040"
2021년06월_여_연령구간인구수,"48,758","3,000",787,"1,024",755,514,"1,677","1,296","1,928","2,552","1,234",825,"1,110","2,459","7,027","3,425","8,198","7,907","3,040"
2021년06월_여_0~9세,"2,896",61,20,27,31,15,55,23,57,63,11,20,29,88,480,234,788,767,127
2021년06월_여_10~19세,"3,916",148,47,52,45,27,77,41,92,125,46,23,46,152,701,329,934,854,177
2021년06월_여_20~29세,"3,813",125,49,61,44,24,87,57,106,147,39,27,72,160,692,318,863,762,180
2021년06월_여_30~39세,"4,150",141,42,39,49,21,74,49,82,110,44,36,64,146,707,336,"1,071",935,204
2021년06월_여_40~49세,"6,150",226,64,85,82,33,123,79,148,200,69,35,100,256,"1,084",513,"1,435","1,353",265
2021년06월_여_50~59세,"7,741",483,114,153,124,76,253,171,300,410,158,109,172,407,"1,154",548,"1,276","1,275",558
2021년06월_여_60~69세,"9,010",765,187,263,188,121,406,302,444,598,290,202,290,557,"1,114",537,982,"1,020",744
2021년06월_여_70~79세,"6,186",568,152,176,94,100,286,277,366,456,289,197,208,370,703,370,516,570,488
2021년06월_여_80~89세,"4,123",398,92,137,83,83,270,254,278,351,234,144,116,275,341,212,291,315,249
2021년06월_여_90~99세,738,85,20,30,14,14,45,43,49,83,53,32,12,47,50,27,40,50,44
2021년06월_여_100세 이상,35,0,0,1,1,0,1,0,6,9,1,0,1,1,1,1,2,6,4
