,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년08월_계_총인구수,"93,414","6,961","11,955","4,965","2,917","27,097","25,381","8,834","5,304"
2021년08월_계_연령구간인구수,"93,414","6,961","11,955","4,965","2,917","27,097","25,381","8,834","5,304"
2021년08월_계_0~9세,"5,958",472,734,153,132,"1,799","2,011",401,256
2021년08월_계_10~19세,"8,453",600,"1,228",199,196,"2,563","2,876",518,273
2021년08월_계_20~29세,"11,104",758,"1,308",475,322,"3,430","3,331",890,590
2021년08월_계_30~39세,"9,977",761,"1,206",428,281,"2,918","2,986",784,613
2021년08월_계_40~49세,"13,876",908,"1,872",547,347,"4,013","4,404","1,163",622
2021년08월_계_50~59세,"16,379","1,253","1,999",985,558,"4,857","4,172","1,594",961
2021년08월_계_60~69세,"13,831","1,151","1,741","1,086",523,"3,892","2,732","1,721",985
2021년08월_계_70~79세,"8,600",650,"1,137",649,352,"2,292","1,809","1,100",611
2021년08월_계_80~89세,"4,619",376,661,359,189,"1,181",932,589,332
2021년08월_계_90~99세,592,31,68,77,17,149,125,67,58
2021년08월_계_100세 이상,25,1,1,7,0,3,3,7,3
2021년08월_남_총인구수,"46,627","3,488","5,854","2,613","1,420","13,341","12,495","4,587","2,829"
2021년08월_남_연령구간인구수,"46,627","3,488","5,854","2,613","1,420","13,341","12,495","4,587","2,829"
2021년08월_남_0~9세,"3,061",254,381,87,59,909,"1,021",208,142
2021년08월_남_10~19세,"4,255",293,628,100,90,"1,281","1,459",267,137
2021년08월_남_20~29세,"6,024",410,716,262,190,"1,839","1,770",508,329
2021년08월_남_30~39세,"5,202",391,598,246,150,"1,481","1,534",434,368
2021년08월_남_40~49세,"7,153",478,944,336,186,"1,989","2,192",667,361
2021년08월_남_50~59세,"8,636",658,"1,049",579,275,"2,484","2,160",880,551
2021년08월_남_60~69세,"6,821",580,809,589,268,"1,938","1,237",875,525
2021년08월_남_70~79세,"3,625",278,457,273,139,944,728,525,281
2021년08월_남_80~89세,"1,688",135,253,114,61,434,364,206,121
2021년08월_남_90~99세,158,11,19,26,2,41,29,17,13
2021년08월_남_100세 이상,4,0,0,1,0,1,1,0,1
2021년08월_여_총인구수,"46,787","3,473","6,101","2,352","1,497","13,756","12,886","4,247","2,475"
2021년08월_여_연령구간인구수,"46,787","3,473","6,101","2,352","1,497","13,756","12,886","4,247","2,475"
2021년08월_여_0~9세,"2,897",218,353,66,73,890,990,193,114
2021년08월_여_10~19세,"4,198",307,600,99,106,"1,282","1,417",251,136
2021년08월_여_20~29세,"5,080",348,592,213,132,"1,591","1,561",382,261
2021년08월_여_30~39세,"4,775",370,608,182,131,"1,437","1,452",350,245
2021년08월_여_40~49세,"6,723",430,928,211,161,"2,024","2,212",496,261
2021년08월_여_50~59세,"7,743",595,950,406,283,"2,373","2,012",714,410
2021년08월_여_60~69세,"7,010",571,932,497,255,"1,954","1,495",846,460
2021년08월_여_70~79세,"4,975",372,680,376,213,"1,348","1,081",575,330
2021년08월_여_80~89세,"2,931",241,408,245,128,747,568,383,211
2021년08월_여_90~99세,434,20,49,51,15,108,96,50,45
2021년08월_여_100세 이상,21,1,1,6,0,2,2,7,2
