,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2021년04월_계_총인구수,"31,236","9,904","3,115","2,093","2,013","4,387","2,199","1,509","2,242","1,730","2,044"
2021년04월_계_연령구간인구수,"31,236","9,904","3,115","2,093","2,013","4,387","2,199","1,509","2,242","1,730","2,044"
2021년04월_계_0~9세,"1,330",592,93,54,65,170,53,32,62,29,180
2021년04월_계_10~19세,"1,857",907,131,87,85,224,85,68,104,38,128
2021년04월_계_20~29세,"1,911",843,129,126,100,242,90,63,103,89,126
2021년04월_계_30~39세,"1,874",760,154,108,96,229,98,57,90,58,224
2021년04월_계_40~49세,"3,163","1,277",230,176,137,391,180,124,201,127,320
2021년04월_계_50~59세,"5,657","1,731",582,352,353,850,432,327,426,272,332
2021년04월_계_60~69세,"6,959","1,715",822,537,485,"1,009",600,399,564,444,384
2021년04월_계_70~79세,"4,667","1,145",542,348,342,691,369,243,394,380,213
2021년04월_계_80~89세,"3,268",792,368,267,304,484,254,174,255,254,116
2021년04월_계_90~99세,519,136,59,36,43,91,34,21,41,38,20
2021년04월_계_100세 이상,31,6,5,2,3,6,4,1,2,1,1
2021년04월_남_총인구수,"15,746","4,872","1,567","1,014","1,028","2,184","1,110",765,"1,174",889,"1,143"
2021년04월_남_연령구간인구수,"15,746","4,872","1,567","1,014","1,028","2,184","1,110",765,"1,174",889,"1,143"
2021년04월_남_0~9세,679,303,46,29,35,94,28,14,32,10,88
2021년04월_남_10~19세,979,445,82,42,44,121,48,44,61,25,67
2021년04월_남_20~29세,"1,151",486,83,76,67,139,55,38,71,56,80
2021년04월_남_30~39세,"1,027",384,86,62,54,123,50,31,53,38,146
2021년04월_남_40~49세,"1,841",670,136,112,87,229,111,69,125,84,218
2021년04월_남_50~59세,"3,064",912,300,184,201,449,237,174,243,157,207
2021년04월_남_60~69세,"3,612",858,434,269,268,513,324,216,301,224,205
2021년04월_남_70~79세,"2,115",504,249,154,145,312,167,114,188,189,93
2021년04월_남_80~89세,"1,148",288,134,79,114,176,79,58,94,95,31
2021년04월_남_90~99세,126,21,17,6,13,26,11,7,6,11,8
2021년04월_남_100세 이상,4,1,0,1,0,2,0,0,0,0,0
2021년04월_여_총인구수,"15,490","5,032","1,548","1,079",985,"2,203","1,089",744,"1,068",841,901
2021년04월_여_연령구간인구수,"15,490","5,032","1,548","1,079",985,"2,203","1,089",744,"1,068",841,901
2021년04월_여_0~9세,651,289,47,25,30,76,25,18,30,19,92
2021년04월_여_10~19세,878,462,49,45,41,103,37,24,43,13,61
2021년04월_여_20~29세,760,357,46,50,33,103,35,25,32,33,46
2021년04월_여_30~39세,847,376,68,46,42,106,48,26,37,20,78
2021년04월_여_40~49세,"1,322",607,94,64,50,162,69,55,76,43,102
2021년04월_여_50~59세,"2,593",819,282,168,152,401,195,153,183,115,125
2021년04월_여_60~69세,"3,347",857,388,268,217,496,276,183,263,220,179
2021년04월_여_70~79세,"2,552",641,293,194,197,379,202,129,206,191,120
2021년04월_여_80~89세,"2,120",504,234,188,190,308,175,116,161,159,85
2021년04월_여_90~99세,393,115,42,30,30,65,23,14,35,27,12
2021년04월_여_100세 이상,27,5,5,1,3,4,4,1,2,1,1
