,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년03월_계_총인구수,"475,685","22,716","15,179","17,455","16,446","16,180","12,427","27,440","19,241","12,155","23,936","21,596","25,072","11,209","14,991","21,605","41,537","15,798","50,533","3,781","17,118","36,320","12,912","20,038"
2021년03월_계_연령구간인구수,"475,685","22,716","15,179","17,455","16,446","16,180","12,427","27,440","19,241","12,155","23,936","21,596","25,072","11,209","14,991","21,605","41,537","15,798","50,533","3,781","17,118","36,320","12,912","20,038"
2021년03월_계_0~9세,"37,336","2,122",707,841,"1,094",975,617,"1,690","1,192",834,"1,892","1,127","1,442",373,774,"1,789","5,334","1,288","6,209",98,"1,639","3,159",956,"1,184"
2021년03월_계_10~19세,"49,026","3,026","1,010","1,400","1,452","1,211",612,"2,411","1,276","1,116","2,665","1,656","2,040",559,"1,299","2,703","4,750","1,614","6,134",163,"3,389","4,300","1,319","2,921"
2021년03월_계_20~29세,"73,642","2,827","2,478","2,467","2,035","2,168","2,470","5,453","4,549","1,644","3,171","4,205","5,645","2,838","1,879","2,757","5,028","2,772","6,804",299,"1,637","5,502","2,372","2,642"
2021년03월_계_30~39세,"65,406","2,641","1,594","1,827","1,761","2,004","2,162","4,620","3,565","1,473","2,718","3,437","4,156","1,868","1,533","2,634","6,600","2,066","8,071",267,"1,407","5,357","1,945","1,700"
2021년03월_계_40~49세,"77,632","4,287","1,796","2,390","2,301","2,271","1,720","4,478","2,811","1,864","4,023","3,104","3,784","1,524","1,937","3,395","7,789","2,375","9,481",402,"4,015","6,352","2,120","3,413"
2021년03월_계_50~59세,"77,080","3,545","2,631","2,982","3,111","2,909","1,757","4,345","2,516","1,964","3,929","3,402","4,049","1,910","2,846","3,929","5,705","2,788","7,534",704,"2,437","6,285","2,235","3,567"
2021년03월_계_60~69세,"56,130","2,491","2,724","3,070","2,753","2,606","1,687","2,715","1,963","1,801","3,135","2,977","2,573","1,312","2,563","2,945","3,991","1,631","3,749",767,"1,343","3,541","1,260","2,533"
2021년03월_계_70~79세,"26,142","1,225","1,544","1,665","1,284","1,401",930,"1,108",948,"1,000","1,669","1,166",896,560,"1,292",935,"1,575",807,"1,685",590,819,"1,190",468,"1,385"
2021년03월_계_80~89세,"11,529",483,614,725,568,553,415,543,361,397,652,456,440,229,731,445,649,401,755,395,364,556,198,599
2021년03월_계_90~99세,"1,701",66,75,87,85,80,53,74,55,61,81,65,46,34,135,72,112,54,108,91,66,74,39,88
2021년03월_계_100세 이상,61,3,6,1,2,2,4,3,5,1,1,1,1,2,2,1,4,2,3,5,2,4,0,6
2021년03월_남_총인구수,"233,968","11,176","7,702","8,816","8,041","8,245","5,917","13,215","9,369","5,896","11,499","11,001","12,528","6,012","7,144","10,604","20,452","7,549","24,714","1,952","8,437","17,563","6,470","9,666"
2021년03월_남_연령구간인구수,"233,968","11,176","7,702","8,816","8,041","8,245","5,917","13,215","9,369","5,896","11,499","11,001","12,528","6,012","7,144","10,604","20,452","7,549","24,714","1,952","8,437","17,563","6,470","9,666"
2021년03월_남_0~9세,"19,270","1,089",382,461,575,526,329,899,600,422,956,606,731,198,376,909,"2,744",660,"3,185",57,837,"1,636",481,611
2021년03월_남_10~19세,"25,277","1,533",526,730,776,636,313,"1,271",659,560,"1,268",874,968,299,671,"1,463","2,421",846,"3,133",87,"1,774","2,239",687,"1,543"
2021년03월_남_20~29세,"37,531","1,437","1,364","1,365","1,093","1,164","1,118","2,508","2,088",833,"1,667","2,209","2,889","1,520","1,014","1,518","2,533","1,308","3,448",167,871,"2,706","1,305","1,406"
2021년03월_남_30~39세,"33,455","1,301",901,995,897,"1,112","1,128","2,350","1,895",756,"1,363","1,967","2,233","1,138",793,"1,252","3,184","1,051","3,964",159,592,"2,554","1,035",835
2021년03월_남_40~49세,"37,592","2,042",993,"1,287","1,128","1,184",901,"2,116","1,459",912,"1,915","1,560","1,922",856,908,"1,547","3,910","1,074","4,489",243,"1,806","2,859",997,"1,484"
2021년03월_남_50~59세,"37,316","1,771","1,283","1,472","1,418","1,475",815,"2,084","1,156",947,"1,852","1,611","1,962",986,"1,331","1,801","2,740","1,294","3,740",385,"1,321","3,024","1,061","1,787"
2021년03월_남_60~69세,"26,966","1,189","1,280","1,420","1,352","1,259",744,"1,299",935,825,"1,431","1,401","1,234",655,"1,276","1,504","1,914",831,"1,752",432,667,"1,780",624,"1,162"
2021년03월_남_70~79세,"11,986",605,720,775,585,637,403,481,421,466,776,589,430,270,543,441,740,330,758,266,388,552,200,610
2021년03월_남_80~89세,"4,167",192,232,289,196,231,149,191,143,162,251,173,150,83,201,154,237,140,231,136,155,195,70,206
2021년03월_남_90~99세,397,16,20,22,20,20,16,16,13,13,20,10,9,6,30,15,28,15,14,20,24,18,10,22
2021년03월_남_100세 이상,11,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0
2021년03월_여_총인구수,"241,717","11,540","7,477","8,639","8,405","7,935","6,510","14,225","9,872","6,259","12,437","10,595","12,544","5,197","7,847","11,001","21,085","8,249","25,819","1,829","8,681","18,757","6,442","10,372"
2021년03월_여_연령구간인구수,"241,717","11,540","7,477","8,639","8,405","7,935","6,510","14,225","9,872","6,259","12,437","10,595","12,544","5,197","7,847","11,001","21,085","8,249","25,819","1,829","8,681","18,757","6,442","10,372"
2021년03월_여_0~9세,"18,066","1,033",325,380,519,449,288,791,592,412,936,521,711,175,398,880,"2,590",628,"3,024",41,802,"1,523",475,573
2021년03월_여_10~19세,"23,749","1,493",484,670,676,575,299,"1,140",617,556,"1,397",782,"1,072",260,628,"1,240","2,329",768,"3,001",76,"1,615","2,061",632,"1,378"
2021년03월_여_20~29세,"36,111","1,390","1,114","1,102",942,"1,004","1,352","2,945","2,461",811,"1,504","1,996","2,756","1,318",865,"1,239","2,495","1,464","3,356",132,766,"2,796","1,067","1,236"
2021년03월_여_30~39세,"31,951","1,340",693,832,864,892,"1,034","2,270","1,670",717,"1,355","1,470","1,923",730,740,"1,382","3,416","1,015","4,107",108,815,"2,803",910,865
2021년03월_여_40~49세,"40,040","2,245",803,"1,103","1,173","1,087",819,"2,362","1,352",952,"2,108","1,544","1,862",668,"1,029","1,848","3,879","1,301","4,992",159,"2,209","3,493","1,123","1,929"
2021년03월_여_50~59세,"39,764","1,774","1,348","1,510","1,693","1,434",942,"2,261","1,360","1,017","2,077","1,791","2,087",924,"1,515","2,128","2,965","1,494","3,794",319,"1,116","3,261","1,174","1,780"
2021년03월_여_60~69세,"29,164","1,302","1,444","1,650","1,401","1,347",943,"1,416","1,028",976,"1,704","1,576","1,339",657,"1,287","1,441","2,077",800,"1,997",335,676,"1,761",636,"1,371"
2021년03월_여_70~79세,"14,156",620,824,890,699,764,527,627,527,534,893,577,466,290,749,494,835,477,927,324,431,638,268,775
2021년03월_여_80~89세,"7,362",291,382,436,372,322,266,352,218,235,401,283,290,146,530,291,412,261,524,259,209,361,128,393
2021년03월_여_90~99세,"1,304",50,55,65,65,60,37,58,42,48,61,55,37,28,105,57,84,39,94,71,42,56,29,66
2021년03월_여_100세 이상,50,2,5,1,1,1,3,3,5,1,1,0,1,1,1,1,3,2,3,5,0,4,0,6
