,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년03월_계_총인구수,"265,759","15,940","32,953","12,543","16,884","15,575","44,764","17,067","12,468","8,653","8,235","13,555","6,913","13,098","13,878","8,655","15,918","8,660"
2021년03월_계_연령구간인구수,"265,759","15,940","32,953","12,543","16,884","15,575","44,764","17,067","12,468","8,653","8,235","13,555","6,913","13,098","13,878","8,655","15,918","8,660"
2021년03월_계_0~9세,"17,679",520,"2,767","1,036","1,065","1,781","3,398","1,399",496,521,505,668,278,633,760,358,"1,157",337
2021년03월_계_10~19세,"22,864",936,"3,185",883,"1,408","1,538","5,120","1,770",907,637,771,949,490,895,"1,194",375,"1,282",524
2021년03월_계_20~29세,"34,949","3,636","6,344","1,243","2,707","1,742","4,918","1,641","1,419",915,"1,028","1,519",655,"1,277","1,680","1,271","1,940","1,014"
2021년03월_계_30~39세,"29,642","1,846","4,181","1,737","1,949","2,176","4,125","1,822","1,140","1,011",811,"1,357",629,"1,249","1,292","1,316","2,167",834
2021년03월_계_40~49세,"41,455","2,043","5,661","1,877","2,609","2,772","7,705","2,836","1,644","1,340","1,259","1,946","1,028","1,833","2,143","1,179","2,426","1,154"
2021년03월_계_50~59세,"42,483","2,230","4,621","1,849","2,464","2,249","7,888","2,667","2,140","1,352","1,467","2,291","1,140","2,134","2,496","1,284","2,673","1,538"
2021년03월_계_60~69세,"41,023","2,334","3,449","1,997","2,437","1,834","6,435","2,789","2,532","1,625","1,342","2,595","1,352","2,697","2,284","1,383","2,302","1,636"
2021년03월_계_70~79세,"24,832","1,678","1,884","1,332","1,557","1,048","3,571","1,524","1,583",891,752,"1,569",941,"1,668","1,416",964,"1,356","1,098"
2021년03월_계_80~89세,"9,638",644,743,536,624,380,"1,405",537,546,313,260,591,367,625,558,474,562,473
2021년03월_계_90~99세,"1,129",63,114,51,62,54,198,76,58,40,40,55,31,84,55,48,53,47
2021년03월_계_100세 이상,65,10,4,2,2,1,1,6,3,8,0,15,2,3,0,3,0,5
2021년03월_남_총인구수,"130,080","8,016","16,072","6,124","8,164","7,501","21,562","8,392","6,037","4,178","4,186","6,910","3,414","6,490","6,769","4,291","7,725","4,249"
2021년03월_남_연령구간인구수,"130,080","8,016","16,072","6,124","8,164","7,501","21,562","8,392","6,037","4,178","4,186","6,910","3,414","6,490","6,769","4,291","7,725","4,249"
2021년03월_남_0~9세,"9,012",243,"1,423",532,561,867,"1,699",717,242,287,267,350,145,356,397,187,573,166
2021년03월_남_10~19세,"11,806",475,"1,636",468,717,812,"2,612",929,458,309,393,511,266,458,611,202,658,291
2021년03월_남_20~29세,"18,506","1,997","3,235",638,"1,333",873,"2,655",908,769,477,601,871,373,725,890,583,"1,016",562
2021년03월_남_30~39세,"15,205","1,071","2,045",890,988,"1,049","1,938",903,632,535,435,738,346,660,667,719,"1,128",461
2021년03월_남_40~49세,"20,818","1,077","2,773","1,006","1,296","1,348","3,592","1,412",842,680,632,"1,067",556,983,"1,078",652,"1,201",623
2021년03월_남_50~59세,"20,781","1,093","2,210",872,"1,207","1,074","3,803","1,293","1,026",638,758,"1,177",593,"1,078","1,235",683,"1,297",744
2021년03월_남_60~69세,"18,861","1,021","1,591",914,"1,096",821,"3,063","1,280","1,135",709,659,"1,247",576,"1,218","1,071",678,"1,027",755
2021년03월_남_70~79세,"11,136",747,855,580,684,491,"1,599",748,727,407,326,710,405,775,608,418,604,452
2021년03월_남_80~89세,"3,704",275,285,213,266,152,545,189,196,118,110,225,149,226,203,160,209,183
2021년03월_남_90~99세,238,15,18,11,15,14,56,12,10,15,5,11,5,10,9,9,12,11
2021년03월_남_100세 이상,13,2,1,0,1,0,0,1,0,3,0,3,0,1,0,0,0,1
2021년03월_여_총인구수,"135,679","7,924","16,881","6,419","8,720","8,074","23,202","8,675","6,431","4,475","4,049","6,645","3,499","6,608","7,109","4,364","8,193","4,411"
2021년03월_여_연령구간인구수,"135,679","7,924","16,881","6,419","8,720","8,074","23,202","8,675","6,431","4,475","4,049","6,645","3,499","6,608","7,109","4,364","8,193","4,411"
2021년03월_여_0~9세,"8,667",277,"1,344",504,504,914,"1,699",682,254,234,238,318,133,277,363,171,584,171
2021년03월_여_10~19세,"11,058",461,"1,549",415,691,726,"2,508",841,449,328,378,438,224,437,583,173,624,233
