카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년11월_계_총인구수,"286,599","16,462","26,456","22,421","11,992","13,924","23,344","15,441","15,261","22,752","14,338","26,041","16,573","12,696","15,858","10,827","10,510","11,703"
2021년11월_계_연령구간인구수,"286,599","16,462","26,456","22,421","11,992","13,924","23,344","15,441","15,261","22,752","14,338","26,041","16,573","12,696","15,858","10,827","10,510","11,703"
2021년11월_계_0~9세,"19,307","1,184","2,220","1,146",399,946,"1,723","1,137","1,228","1,704","1,320","2,476",993,681,762,560,477,351
2021년11월_계_10~19세,"18,960","1,102","1,588","1,557",702,988,"2,002","1,601","1,070","1,381",917,"1,652","1,082",839,829,503,557,590
2021년11월_계_20~29세,"43,701","2,410","4,167","4,238","4,814","2,233","2,845","1,725","1,707","2,744","1,438","2,749","2,534","2,029","2,193","1,919","1,679","2,277"
2021년11월_계_30~39세,"46,926","2,859","4,532","3,218","1,579","2,250","3,522","2,163","2,565","4,036","2,563","4,829","2,864","2,289","2,499","1,879","1,578","1,701"
2021년11월_계_40~49세,"43,412","2,502","3,991","2,913","1,117","2,107","3,829","2,835","2,519","3,665","2,544","4,465","2,348","1,935","2,144","1,409","1,502","1,587"
2021년11월_계_50~59세,"46,281","2,658","4,356","3,642","1,305","2,253","3,938","2,476","2,315","3,636","2,101","3,849","3,060","1,993","2,937","1,752","1,916","2,094"
2021년11월_계_60~69세,"37,744","2,113","3,124","3,108",981,"1,722","2,893","1,751","2,166","3,044","1,864","3,393","2,298","1,674","2,712","1,557","1,694","1,650"
2021년11월_계_70~79세,"20,106","1,115","1,585","1,715",725,958,"1,742","1,134","1,096","1,668","1,069","1,712",941,865,"1,224",827,755,975
2021년11월_계_80~89세,"8,963",458,786,771,335,400,752,557,534,763,464,789,397,350,497,370,307,433
2021년11월_계_90~99세,"1,146",59,106,109,33,63,95,62,59,104,54,119,52,41,55,48,44,43
2021년11월_계_100세 이상,53,2,1,4,2,4,3,0,2,7,4,8,4,0,6,3,1,2
2021년11월_남_총인구수,"139,709","7,970","12,555","11,060","6,198","6,708","10,935","7,362","7,276","10,829","6,823","12,107","8,284","6,228","8,290","5,449","5,554","6,081"
2021년11월_남_연령구간인구수,"139,709","7,970","12,555","11,060","6,198","6,708","10,935","7,362","7,276","10,829","6,823","12,107","8,284","6,228","8,290","5,449","5,554","6,081"
2021년11월_남_0~9세,"9,864",598,"1,157",578,211,477,850,583,618,876,669,"1,233",548,354,385,287,254,186
2021년11월_남_10~19세,"9,462",578,806,770,320,468,907,795,553,677,475,851,555,420,434,261,300,292
2021년11월_남_20~29세,"21,509","1,128","1,905","2,151","2,622","1,077","1,356",847,845,"1,395",718,"1,261","1,306",982,"1,147",895,862,"1,012"
2021년11월_남_30~39세,"23,087","1,438","2,093","1,660",895,"1,116","1,664","1,063","1,193","1,952","1,188","2,165","1,422","1,136","1,365",966,869,902
2021년11월_남_40~49세,"21,764","1,240","1,980","1,479",599,"1,026","1,843","1,350","1,281","1,802","1,276","2,183","1,155",937,"1,144",722,830,917
2021년11월_남_50~59세,"22,929","1,283","2,074","1,778",631,"1,077","1,921","1,212","1,111","1,718","1,035","1,767","1,537","1,007","1,581",927,"1,037","1,233"
2021년11월_남_60~69세,"18,441","1,018","1,532","1,540",467,862,"1,341",807,988,"1,406",839,"1,549","1,162",832,"1,442",830,918,908
2021년11월_남_70~79세,"8,944",480,708,771,305,428,752,480,484,713,455,751,435,418,570,392,351,451
2021년11월_남_80~89세,"3,399",189,279,306,137,157,280,206,186,259,152,314,149,132,210,148,121,174
2021년11월_남_90~99세,292,17,21,27,11,19,20,19,17,28,14,30,13,10,10,19,11,6
2021년11월_남_100세 이상,18,1,0,0,0,1,1,0,0,3,2,3,2,0,2,2,1,0
2021년11월_여_총인구수,"146,890","8,492","13,901","11,361","5,794","7,216","12,409","8,079","7,985","11,923","7,515","13,934","8,289","6,468","7,568","5,378","4,956","5,622"
2021년11월_여_연령구간인구수,"146,890","8,492","13,901","11,361","5,794","7,216","12,409","8,079","7,985","11,923","7,515","13,934","8,289","6,468","7,568","5,378","4,956","5,622"
2021년11월_여_0~9세,"9,443",586,"1,063",568,188,469,873,554,610,828,651,"1,243",445,327,377,273,223,165
2021년11월_여_10~19세,"9,498",524,782,787,382,520,"1,095",806,517,704,442,801,527,419,395,242,257,298
2021년11월_여_20~29세,"22,192","1,282","2,262","2,087","2,192","1,156","1,489",878,862,"1,349",720,"1,488","1,228","1,047","1,046","1,024",817,"1,265"
2021년11월_여_30~39세,"23,839","1,421","2,439","1,558",684,"1,134","1,858","1,100","1,372","2,084","1,375","2,664","1,442","1,153","1,134",913,709,799
2021년11월_여_40~49세,"21,648","1,262","2,011","1,434",518,"1,081","1,986","1,485","1,238","1,863","1,268","2,282","1,193",998,"1,000",687,672,670
2021년11월_여_50~59세,"23,352","1,375","2,282","1,864",674,"1,176","2,017","1,264","1,204","1,918","1,066","2,082","1,523",986,"1,356",825,879,861
2021년11월_여_60~69세,"19,303","1,095","1,592","1,568",514,860,"1,552",944,"1,178","1,638","1,025","1,844","1,136",842,"1,270",727,776,742
2021년11월_여_70~79세,"11,162",635,877,944,420,530,990,654,612,955,614,961,506,447,654,435,404,524
2021년11월_여_80~89세,"5,564",269,507,465,198,243,472,351,348,504,312,475,248,218,287,222,186,259
2021년11월_여_90~99세,854,42,85,82,22,44,75,43,42,76,40,89,39,31,45,29,33,37
2021년11월_여_100세 이상,35,1,1,4,2,3,2,0,2,4,2,5,2,0,4,1,0,2
