카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년01월_계_총인구수,"37,424","35,463","1,961"
2020년01월_계_연령구간인구수,"37,424","35,463","1,961"
2020년01월_계_0~9세,"3,589","3,545",44
2020년01월_계_10~19세,"3,462","3,367",95
2020년01월_계_20~29세,"4,586","4,444",142
2020년01월_계_30~39세,"4,981","4,887",94
2020년01월_계_40~49세,"5,767","5,538",229
2020년01월_계_50~59세,"6,087","5,734",353
2020년01월_계_60~69세,"4,678","4,215",463
2020년01월_계_70~79세,"2,681","2,371",310
2020년01월_계_80~89세,"1,424","1,222",202
2020년01월_계_90~99세,158,131,27
2020년01월_계_100세 이상,11,9,2
2020년01월_남_총인구수,"19,376","18,338","1,038"
2020년01월_남_연령구간인구수,"19,376","18,338","1,038"
2020년01월_남_0~9세,"1,831","1,804",27
2020년01월_남_10~19세,"1,804","1,754",50
2020년01월_남_20~29세,"2,638","2,559",79
2020년01월_남_30~39세,"2,733","2,674",59
2020년01월_남_40~49세,"3,116","2,968",148
2020년01월_남_50~59세,"3,190","2,991",199
2020년01월_남_60~69세,"2,364","2,110",254
2020년01월_남_70~79세,"1,190","1,043",147
2020년01월_남_80~89세,463,398,65
2020년01월_남_90~99세,44,34,10
2020년01월_남_100세 이상,3,3,0
2020년01월_여_총인구수,"18,048","17,125",923
2020년01월_여_연령구간인구수,"18,048","17,125",923
2020년01월_여_0~9세,"1,758","1,741",17
2020년01월_여_10~19세,"1,658","1,613",45
2020년01월_여_20~29세,"1,948","1,885",63
2020년01월_여_30~39세,"2,248","2,213",35
2020년01월_여_40~49세,"2,651","2,570",81
2020년01월_여_50~59세,"2,897","2,743",154
2020년01월_여_60~69세,"2,314","2,105",209
2020년01월_여_70~79세,"1,491","1,328",163
2020년01월_여_80~89세,961,824,137
2020년01월_여_90~99세,114,97,17
2020년01월_여_100세 이상,8,6,2
