카테고리,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년07월_계_총인구수,"455,671","31,411","31,542","36,364","35,531","20,869","44,738","44,166","35,181","34,099","46,351","27,540","26,270","19,281","22,328"
2020년07월_계_연령구간인구수,"455,671","31,411","31,542","36,364","35,531","20,869","44,738","44,166","35,181","34,099","46,351","27,540","26,270","19,281","22,328"
2020년07월_계_0~9세,"34,555","1,174","1,857","2,427","2,587","1,596","2,941","3,030","2,751","2,936","6,870","2,046","1,554","1,140","1,646"
2020년07월_계_10~19세,"42,816","1,641","2,222","2,852","3,504","2,112","4,261","5,013","3,229","4,407","5,092","2,610","2,045","1,651","2,177"
2020년07월_계_20~29세,"63,429","6,048","5,213","4,713","4,584","2,414","6,325","6,481","4,902","4,596","5,135","3,809","3,627","2,514","3,068"
2020년07월_계_30~39세,"59,604","4,705","4,715","4,754","4,210","2,409","5,382","4,611","4,698","3,907","8,619","3,242","3,348","2,259","2,745"
2020년07월_계_40~49세,"74,531","4,454","4,948","5,875","5,749","3,493","7,089","7,206","5,651","6,523","8,802","4,363","3,879","2,895","3,604"
2020년07월_계_50~59세,"79,484","5,552","5,584","5,826","5,994","3,464","8,657","8,354","6,302","5,868","5,945","5,162","5,169","3,633","3,974"
2020년07월_계_60~69세,"54,857","4,354","3,867","5,107","4,431","2,785","5,685","5,301","4,310","2,917","3,507","3,403","3,619","2,819","2,752"
2020년07월_계_70~79세,"30,807","2,260","2,144","3,414","3,022","1,712","2,954","2,709","2,071","1,901","1,641","1,858","2,073","1,523","1,525"
2020년07월_계_80~89세,"13,574","1,022",870,"1,242","1,298",757,"1,281","1,262","1,103",908,649,912,838,714,718
2020년07월_계_90~99세,"1,800",141,111,136,142,117,152,191,153,132,90,116,105,97,117
2020년07월_계_100세 이상,214,60,11,18,10,10,11,8,11,4,1,19,13,36,2
2020년07월_남_총인구수,"224,479","16,018","15,632","17,780","17,242","9,968","22,069","21,383","17,473","16,842","22,570","13,500","13,110","9,769","11,123"
