,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년05월_계_총인구수,"63,267","18,363","19,239","2,394","6,100","2,854","3,432","5,318","1,939","2,738",890
2021년05월_계_연령구간인구수,"63,267","18,363","19,239","2,394","6,100","2,854","3,432","5,318","1,939","2,738",890
2021년05월_계_0~9세,"3,841","1,209","1,796",56,285,66,61,278,18,58,14
2021년05월_계_10~19세,"5,866","1,979","2,643",105,296,78,134,431,59,118,23
2021년05월_계_20~29세,"5,292","1,973","1,564",152,446,165,216,418,113,200,45
2021년05월_계_30~39세,"5,288","1,759","1,892",149,510,141,150,387,87,170,43
2021년05월_계_40~49세,"9,113","2,796","3,740",211,577,262,292,758,156,260,61
2021년05월_계_50~59세,"11,086","3,343","3,137",399,978,550,577,"1,062",341,541,158
2021년05월_계_60~69세,"11,362","2,831","2,551",591,"1,349",736,810,966,526,723,279
2021년05월_계_70~79세,"6,644","1,473","1,224",401,879,482,663,616,369,383,154
2021년05월_계_80~89세,"4,191",880,591,297,687,333,459,353,244,251,96
2021년05월_계_90~99세,575,117,97,33,91,41,70,49,26,34,17
2021년05월_계_100세 이상,9,3,4,0,2,0,0,0,0,0,0
2021년05월_남_총인구수,"32,137","9,243","9,774","1,208","3,154","1,460","1,712","2,759",993,"1,378",456
2021년05월_남_연령구간인구수,"32,137","9,243","9,774","1,208","3,154","1,460","1,712","2,759",993,"1,378",456
2021년05월_남_0~9세,"1,928",618,886,24,141,32,33,151,8,27,8
2021년05월_남_10~19세,"3,105","1,083","1,374",58,156,45,72,210,28,65,14
2021년05월_남_20~29세,"3,102","1,167",876,90,284,100,129,237,69,126,24
2021년05월_남_30~39세,"2,705",870,897,80,293,93,87,216,53,91,25
2021년05월_남_40~49세,"4,922","1,459","1,893",127,365,176,186,421,101,152,42
2021년05월_남_50~59세,"6,125","1,743","1,751",226,574,325,335,610,205,270,86
2021년05월_남_60~69세,"5,904","1,390","1,306",316,731,388,422,530,278,389,154
2021년05월_남_70~79세,"2,980",632,591,184,385,200,286,277,162,191,72
2021년05월_남_80~89세,"1,257",255,175,98,205,92,151,103,84,64,30
2021년05월_남_90~99세,106,26,24,5,18,9,11,4,5,3,1
2021년05월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2021년05월_여_총인구수,"31,130","9,120","9,465","1,186","2,946","1,394","1,720","2,559",946,"1,360",434
2021년05월_여_연령구간인구수,"31,130","9,120","9,465","1,186","2,946","1,394","1,720","2,559",946,"1,360",434
2021년05월_여_0~9세,"1,913",591,910,32,144,34,28,127,10,31,6
2021년05월_여_10~19세,"2,761",896,"1,269",47,140,33,62,221,31,53,9
2021년05월_여_20~29세,"2,190",806,688,62,162,65,87,181,44,74,21
2021년05월_여_30~39세,"2,583",889,995,69,217,48,63,171,34,79,18
2021년05월_여_40~49세,"4,191","1,337","1,847",84,212,86,106,337,55,108,19
2021년05월_여_50~59세,"4,961","1,600","1,386",173,404,225,242,452,136,271,72
2021년05월_여_60~69세,"5,458","1,441","1,245",275,618,348,388,436,248,334,125
2021년05월_여_70~79세,"3,664",841,633,217,494,282,377,339,207,192,82
2021년05월_여_80~89세,"2,934",625,416,199,482,241,308,250,160,187,66
2021년05월_여_90~99세,469,91,73,28,73,32,59,45,21,31,16
2021년05월_여_100세 이상,6,3,3,0,0,0,0,0,0,0,0
