카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년07월_계_총인구수,"81,865","30,080","25,892",0,"3,241","3,593","2,083","6,227","10,749"
2020년07월_계_연령구간인구수,"81,865","30,080","25,892",0,"3,241","3,593","2,083","6,227","10,749"
2020년07월_계_0~9세,"7,613","2,370","3,976",0,82,129,52,230,774
2020년07월_계_10~19세,"8,024","3,286","2,676",0,191,139,77,415,"1,240"
2020년07월_계_20~29세,"8,976","3,838","2,748",0,213,306,107,534,"1,230"
2020년07월_계_30~39세,"11,200","3,297","5,512",0,183,266,115,496,"1,331"
2020년07월_계_40~49세,"13,184","5,047","4,648",0,319,379,177,752,"1,862"
2020년07월_계_50~59세,"13,552","5,304","3,147",0,639,762,393,"1,246","2,061"
2020년07월_계_60~69세,"9,915","3,573","1,790",0,730,778,534,"1,261","1,249"
2020년07월_계_70~79세,"5,511","2,071",816,0,471,460,348,732,613
2020년07월_계_80~89세,"3,419","1,139",511,0,371,328,244,485,341
2020년07월_계_90~99세,452,151,63,0,41,45,34,70,48
2020년07월_계_100세 이상,19,4,5,0,1,1,2,6,0
2020년07월_남_총인구수,"42,880","15,452","13,673",0,"1,660","1,895","1,058","3,279","5,863"
2020년07월_남_연령구간인구수,"42,880","15,452","13,673",0,"1,660","1,895","1,058","3,279","5,863"
2020년07월_남_0~9세,"3,930","1,236","2,037",0,42,65,27,121,402
2020년07월_남_10~19세,"4,197","1,725","1,354",0,98,70,43,213,694
2020년07월_남_20~29세,"5,182","2,190","1,552",0,124,185,67,332,732
2020년07월_남_30~39세,"6,120","1,741","2,970",0,118,155,66,296,774
2020년07월_남_40~49세,"7,230","2,648","2,583",0,189,242,104,435,"1,029"
2020년07월_남_50~59세,"7,421","2,841","1,708",0,375,426,229,694,"1,148"
2020년07월_남_60~69세,"5,051","1,725",898,0,381,418,268,684,677
2020년07월_남_70~79세,"2,499",926,368,0,213,220,155,341,276
2020년07월_남_80~89세,"1,161",388,186,0,113,104,93,154,123
2020년07월_남_90~99세,85,30,17,0,7,10,6,7,8
2020년07월_남_100세 이상,4,2,0,0,0,0,0,2,0
2020년07월_여_총인구수,"38,985","14,628","12,219",0,"1,581","1,698","1,025","2,948","4,886"
2020년07월_여_연령구간인구수,"38,985","14,628","12,219",0,"1,581","1,698","1,025","2,948","4,886"
2020년07월_여_0~9세,"3,683","1,134","1,939",0,40,64,25,109,372
2020년07월_여_10~19세,"3,827","1,561","1,322",0,93,69,34,202,546
2020년07월_여_20~29세,"3,794","1,648","1,196",0,89,121,40,202,498
2020년07월_여_30~39세,"5,080","1,556","2,542",0,65,111,49,200,557
2020년07월_여_40~49세,"5,954","2,399","2,065",0,130,137,73,317,833
2020년07월_여_50~59세,"6,131","2,463","1,439",0,264,336,164,552,913
2020년07월_여_60~69세,"4,864","1,848",892,0,349,360,266,577,572
2020년07월_여_70~79세,"3,012","1,145",448,0,258,240,193,391,337
2020년07월_여_80~89세,"2,258",751,325,0,258,224,151,331,218
2020년07월_여_90~99세,367,121,46,0,34,35,28,63,40
2020년07월_여_100세 이상,15,2,5,0,1,1,2,4,0
