카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년02월_계_총인구수,"347,750","8,156","4,130","8,208","2,226","1,908","2,613","1,604","1,508","1,474","3,248","21,004","4,734","1,605","4,027","1,057","2,226","27,490","10,766","11,221","14,116","19,684","24,716","11,679","26,866","27,561","11,708","12,094","21,164","26,996","31,961"
2021년02월_계_연령구간인구수,"347,750","8,156","4,130","8,208","2,226","1,908","2,613","1,604","1,508","1,474","3,248","21,004","4,734","1,605","4,027","1,057","2,226","27,490","10,766","11,221","14,116","19,684","24,716","11,679","26,866","27,561","11,708","12,094","21,164","26,996","31,961"
2021년02월_계_0~9세,"27,993",612,366,917,42,45,96,27,32,39,54,"2,140",232,21,134,24,58,"1,538",450,324,589,999,"1,367",722,"3,336","2,084",652,656,"2,383","2,388","5,666"
2021년02월_계_10~19세,"35,142",661,454,501,109,57,183,46,49,70,139,"2,760",418,50,200,43,97,"2,457",724,666,"1,063","1,586","2,479","1,048","4,030","3,464","1,108","1,279","3,012","2,599","3,790"
2021년02월_계_20~29세,"44,893",780,421,"1,034",151,128,217,71,63,106,207,"2,266",434,79,337,96,141,"4,252","1,457","1,087","1,794","2,917","3,764","1,514","3,327","4,085","1,605","1,565","2,332","5,259","3,404"
2021년02월_계_30~39세,"41,402",918,423,"1,565",124,121,177,71,79,66,162,"2,430",377,57,221,51,101,"2,652","1,189",855,"1,303","2,070","2,541","1,348","3,694","3,002","1,126","1,090","2,470","4,136","6,983"
2021년02월_계_40~49세,"54,093","1,033",659,"1,134",185,145,286,98,153,143,266,"3,720",653,113,429,94,216,"3,890","1,578","1,392","1,874","2,799","3,674","1,733","5,274","4,623","1,615","1,779","4,107","4,104","6,324"
2021년02월_계_50~59세,"57,648","1,401",692,"1,257",383,335,504,283,217,257,598,"3,359",878,288,757,191,410,"4,521","1,802","1,934","2,623","3,611","5,003","2,089","4,056","5,160","2,083","2,341","3,247","3,991","3,377"
2021년02월_계_60~69세,"46,473","1,394",576,"1,032",468,485,507,424,363,309,707,"2,463",817,380,970,249,516,"4,054","1,862","2,425","2,521","3,191","3,599","1,886","1,888","2,916","1,933","1,943","2,180","2,712","1,703"
2021년02월_계_70~79세,"25,628",810,323,467,411,286,357,312,303,253,579,"1,186",542,321,576,157,344,"2,726","1,128","1,717","1,573","1,778","1,565",960,851,"1,372","1,032",993,971,"1,238",497
2021년02월_계_80~89세,"12,587",461,184,248,294,262,257,240,222,191,459,599,332,262,352,128,308,"1,213",490,713,685,659,636,336,362,739,486,384,410,496,179
2021년02월_계_90~99세,"1,794",85,29,49,58,42,28,32,26,39,74,79,49,33,48,22,34,169,80,89,90,73,84,41,42,115,66,59,51,72,36
