,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2021년02월_계_총인구수,"270,678","33,043","10,065","25,036","19,556","15,145","39,135","10,793","28,061","17,669","14,915","27,761","14,465","15,034"
2021년02월_계_연령구간인구수,"270,678","33,043","10,065","25,036","19,556","15,145","39,135","10,793","28,061","17,669","14,915","27,761","14,465","15,034"
2021년02월_계_0~9세,"19,536","2,600",343,"2,662","1,016",873,"2,601",820,"2,599","1,529",800,"1,873",986,834
2021년02월_계_10~19세,"24,898","2,795",637,"3,216","1,138","1,441","2,884","1,010","4,097","1,790",968,"2,828","1,056","1,038"
2021년02월_계_20~29세,"32,420","3,941","1,109","2,518","2,973","1,747","5,548","1,289","3,124","1,800","1,739","3,191","1,617","1,824"
2021년02월_계_30~39세,"32,818","4,358",878,"3,092","3,134","1,440","5,399","1,396","2,745","1,983","1,690","3,090","1,770","1,843"
2021년02월_계_40~49세,"43,288","5,065","1,237","5,073","3,062","2,141","5,680","1,779","5,694","3,256","2,056","4,361","1,955","1,929"
2021년02월_계_50~59세,"44,251","5,381","1,779","3,632","3,034","2,485","6,632","1,672","4,560","2,552","2,562","4,833","2,447","2,682"
2021년02월_계_60~69세,"41,372","4,993","2,059","2,646","2,716","2,564","6,032","1,478","3,254","2,588","2,857","4,519","2,688","2,978"
2021년02월_계_70~79세,"22,415","2,731","1,320","1,513","1,661","1,603","3,098",912,"1,446","1,563","1,606","2,182","1,381","1,399"
2021년02월_계_80~89세,"8,430","1,023",594,590,697,734,"1,116",390,468,536,558,773,506,445
2021년02월_계_90~99세,"1,109",137,87,87,97,110,129,45,69,67,73,99,52,57
2021년02월_계_100세 이상,141,19,22,7,28,7,16,2,5,5,6,12,7,5
2021년02월_남_총인구수,"131,712","16,108","4,891","12,256","9,225","7,326","19,169","5,162","13,558","8,763","7,346","13,532","7,032","7,344"
2021년02월_남_연령구간인구수,"131,712","16,108","4,891","12,256","9,225","7,326","19,169","5,162","13,558","8,763","7,346","13,532","7,032","7,344"
2021년02월_남_0~9세,"10,101","1,322",174,"1,394",499,428,"1,337",425,"1,319",878,435,955,502,433
2021년02월_남_10~19세,"12,991","1,507",344,"1,769",565,763,"1,506",466,"2,006","1,005",518,"1,475",503,564
2021년02월_남_20~29세,"16,938","2,096",603,"1,287","1,326",959,"2,809",678,"1,701",940,915,"1,749",866,"1,009"
2021년02월_남_30~39세,"16,479","2,200",496,"1,428","1,584",751,"2,791",689,"1,270",953,896,"1,551",898,972
2021년02월_남_40~49세,"21,153","2,512",651,"2,454","1,478","1,027","2,807",861,"2,624","1,646","1,063","2,076","1,003",951
2021년02월_남_50~59세,"21,033","2,482",865,"1,760","1,478","1,169","3,123",823,"2,249","1,262","1,227","2,274","1,128","1,193"
2021년02월_남_60~69세,"19,218","2,312",970,"1,229","1,281","1,191","2,851",646,"1,552","1,163","1,309","2,097","1,265","1,352"
2021년02월_남_70~79세,"10,311","1,248",554,684,719,728,"1,438",404,682,703,743,"1,042",666,700
2021년02월_남_80~89세,"3,202",381,214,233,267,283,467,161,144,205,220,286,186,155
2021년02월_남_90~99세,264,40,20,18,25,24,39,8,10,8,18,27,13,14
2021년02월_남_100세 이상,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2021년02월_여_총인구수,"138,966","16,935","5,174","12,780","10,331","7,819","19,966","5,631","14,503","8,906","7,569","14,229","7,433","7,690"
2021년02월_여_연령구간인구수,"138,966","16,935","5,174","12,780","10,331","7,819","19,966","5,631","14,503","8,906","7,569","14,229","7,433","7,690"
2021년02월_여_0~9세,"9,435","1,278",169,"1,268",517,445,"1,264",395,"1,280",651,365,918,484,401
2021년02월_여_10~19세,"11,907","1,288",293,"1,447",573,678,"1,378",544,"2,091",785,450,"1,353",553,474
2021년02월_여_20~29세,"15,482","1,845",506,"1,231","1,647",788,"2,739",611,"1,423",860,824,"1,442",751,815
2021년02월_여_30~39세,"16,339","2,158",382,"1,664","1,550",689,"2,608",707,"1,475","1,030",794,"1,539",872,871
2021년02월_여_40~49세,"22,135","2,553",586,"2,619","1,584","1,114","2,873",918,"3,070","1,610",993,"2,285",952,978
2021년02월_여_50~59세,"23,218","2,899",914,"1,872","1,556","1,316","3,509",849,"2,311","1,290","1,335","2,559","1,319","1,489"
2021년02월_여_60~69세,"22,154","2,681","1,089","1,417","1,435","1,373","3,181",832,"1,702","1,425","1,548","2,422","1,423","1,626"
2021년02월_여_70~79세,"12,104","1,483",766,829,942,875,"1,660",508,764,860,863,"1,140",715,699
2021년02월_여_80~89세,"5,228",642,380,357,430,451,649,229,324,331,338,487,320,290
2021년02월_여_90~99세,845,97,67,69,72,86,90,37,59,59,55,72,39,43
2021년02월_여_100세 이상,119,11,22,7,25,4,15,1,4,5,4,12,5,4
