카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2021년03월_계_총인구수,"61,771","29,321","8,516","2,372","4,276","5,348","5,338","4,332","2,268"
2021년03월_계_연령구간인구수,"61,771","29,321","8,516","2,372","4,276","5,348","5,338","4,332","2,268"
2021년03월_계_0~9세,"2,991","2,142",306,66,114,110,96,112,45
2021년03월_계_10~19세,"4,349","2,894",533,132,159,200,179,158,94
2021년03월_계_20~29세,"4,829","2,873",526,92,406,267,252,291,122
2021년03월_계_30~39세,"4,927","3,152",543,114,236,307,231,240,104
2021년03월_계_40~49세,"7,600","4,434",983,252,395,459,515,375,187
2021년03월_계_50~59세,"10,724","4,940","1,521",426,737,984,965,779,372
2021년03월_계_60~69세,"12,272","4,409","1,941",559,"1,020","1,411","1,379","1,011",542
2021년03월_계_70~79세,"8,863","2,923","1,443",439,730,"1,017","1,052",800,459
2021년03월_계_80~89세,"4,553","1,377",603,267,418,510,593,483,302
2021년03월_계_90~99세,643,174,109,24,59,80,76,81,40
2021년03월_계_100세 이상,20,3,8,1,2,3,0,2,1
2021년03월_남_총인구수,"31,102","14,785","4,225","1,140","2,203","2,743","2,645","2,212","1,149"
2021년03월_남_연령구간인구수,"31,102","14,785","4,225","1,140","2,203","2,743","2,645","2,212","1,149"
2021년03월_남_0~9세,"1,482","1,072",155,23,50,51,48,58,25
2021년03월_남_10~19세,"2,240","1,483",288,55,85,109,94,80,46
2021년03월_남_20~29세,"2,839","1,653",309,57,268,165,136,182,69
2021년03월_남_30~39세,"2,730","1,697",286,61,140,199,134,150,63
2021년03월_남_40~49세,"4,276","2,344",557,152,254,292,327,223,127
2021년03월_남_50~59세,"5,647","2,530",805,233,386,533,521,426,213
2021년03월_남_60~69세,"5,927","2,112",907,265,505,690,680,502,266
2021년03월_남_70~79세,"4,212","1,384",682,200,348,487,484,400,227
2021년03월_남_80~89세,"1,614",466,215,90,151,201,209,174,108
2021년03월_남_90~99세,130,44,19,4,14,16,12,16,5
2021년03월_남_100세 이상,5,0,2,0,2,0,0,1,0
2021년03월_여_총인구수,"30,669","14,536","4,291","1,232","2,073","2,605","2,693","2,120","1,119"
2021년03월_여_연령구간인구수,"30,669","14,536","4,291","1,232","2,073","2,605","2,693","2,120","1,119"
2021년03월_여_0~9세,"1,509","1,070",151,43,64,59,48,54,20
2021년03월_여_10~19세,"2,109","1,411",245,77,74,91,85,78,48
2021년03월_여_20~29세,"1,990","1,220",217,35,138,102,116,109,53
2021년03월_여_30~39세,"2,197","1,455",257,53,96,108,97,90,41
2021년03월_여_40~49세,"3,324","2,090",426,100,141,167,188,152,60
2021년03월_여_50~59세,"5,077","2,410",716,193,351,451,444,353,159
2021년03월_여_60~69세,"6,345","2,297","1,034",294,515,721,699,509,276
2021년03월_여_70~79세,"4,651","1,539",761,239,382,530,568,400,232
2021년03월_여_80~89세,"2,939",911,388,177,267,309,384,309,194
2021년03월_여_90~99세,513,130,90,20,45,64,64,65,35
2021년03월_여_100세 이상,15,3,6,1,0,3,0,1,1
