카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년07월_계_총인구수,"78,609","33,659","9,837","2,540","3,109","3,210","1,774","2,540","6,716","2,539","4,573","3,601","4,511"
2020년07월_계_연령구간인구수,"78,609","33,659","9,837","2,540","3,109","3,210","1,774","2,540","6,716","2,539","4,573","3,601","4,511"
2020년07월_계_0~9세,"3,747","2,178",544,60,71,85,33,60,274,85,131,103,123
2020년07월_계_10~19세,"5,779","3,374",653,96,163,140,63,142,411,143,252,131,211
2020년07월_계_20~29세,"6,923","3,576","1,100",137,158,178,88,196,488,143,279,263,317
2020년07월_계_30~39세,"6,313","3,106","1,111",158,187,144,89,145,478,157,252,219,267
2020년07월_계_40~49세,"9,697","5,056","1,151",235,285,292,153,248,771,242,439,346,479
2020년07월_계_50~59세,"13,885","6,027","1,596",445,488,552,286,468,"1,335",434,807,614,833
2020년07월_계_60~69세,"14,451","5,246","1,587",592,712,685,464,554,"1,372",525,933,794,987
2020년07월_계_70~79세,"10,458","3,246","1,170",467,584,582,343,399,930,450,878,645,764
2020년07월_계_80~89세,"6,510","1,635",823,310,413,497,219,288,570,308,545,441,461
2020년07월_계_90~99세,808,204,95,37,45,54,35,39,82,49,55,45,68
2020년07월_계_100세 이상,38,11,7,3,3,1,1,1,5,3,2,0,1
2020년07월_남_총인구수,"39,465","16,726","4,937","1,312","1,585","1,582",886,"1,318","3,335","1,285","2,326","1,826","2,347"
2020년07월_남_연령구간인구수,"39,465","16,726","4,937","1,312","1,585","1,582",886,"1,318","3,335","1,285","2,326","1,826","2,347"
2020년07월_남_0~9세,"1,933","1,134",270,29,38,45,18,32,141,43,65,54,64
2020년07월_남_10~19세,"2,973","1,708",337,50,97,69,31,79,215,67,127,78,115
2020년07월_남_20~29세,"3,928","1,970",612,78,101,96,50,117,282,94,171,155,202
2020년07월_남_30~39세,"3,518","1,643",618,93,114,82,53,94,262,99,157,132,171
2020년07월_남_40~49세,"5,347","2,579",644,165,171,176,98,164,426,145,272,208,299
2020년07월_남_50~59세,"7,354","3,074",835,253,266,318,148,241,693,245,458,349,474
2020년07월_남_60~69세,"7,144","2,515",774,306,360,360,245,285,675,259,462,406,497
2020년07월_남_70~79세,"4,746","1,471",534,214,266,250,168,183,418,205,410,284,343
2020년07월_남_80~89세,"2,338",582,295,118,165,170,73,112,202,112,195,149,165
2020년07월_남_90~99세,179,48,18,5,7,16,2,10,21,15,9,11,17
2020년07월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년07월_여_총인구수,"39,144","16,933","4,900","1,228","1,524","1,628",888,"1,222","3,381","1,254","2,247","1,775","2,164"
2020년07월_여_연령구간인구수,"39,144","16,933","4,900","1,228","1,524","1,628",888,"1,222","3,381","1,254","2,247","1,775","2,164"
2020년07월_여_0~9세,"1,814","1,044",274,31,33,40,15,28,133,42,66,49,59
2020년07월_여_10~19세,"2,806","1,666",316,46,66,71,32,63,196,76,125,53,96
2020년07월_여_20~29세,"2,995","1,606",488,59,57,82,38,79,206,49,108,108,115
2020년07월_여_30~39세,"2,795","1,463",493,65,73,62,36,51,216,58,95,87,96
2020년07월_여_40~49세,"4,350","2,477",507,70,114,116,55,84,345,97,167,138,180
2020년07월_여_50~59세,"6,531","2,953",761,192,222,234,138,227,642,189,349,265,359
2020년07월_여_60~69세,"7,307","2,731",813,286,352,325,219,269,697,266,471,388,490
2020년07월_여_70~79세,"5,712","1,775",636,253,318,332,175,216,512,245,468,361,421
2020년07월_여_80~89세,"4,172","1,053",528,192,248,327,146,176,368,196,350,292,296
2020년07월_여_90~99세,629,156,77,32,38,38,33,29,61,34,46,34,51
2020년07월_여_100세 이상,33,9,7,2,3,1,1,0,5,2,2,0,1
