,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년04월_계_총인구수,"236,904","6,420","10,255","11,623","8,671","8,874","17,060","17,109","13,428","17,999","27,895","2,402","10,188","30,172","19,458","34,240","1,110"
2020년04월_계_연령구간인구수,"236,904","6,420","10,255","11,623","8,671","8,874","17,060","17,109","13,428","17,999","27,895","2,402","10,188","30,172","19,458","34,240","1,110"
2020년04월_계_0~9세,"13,763",122,383,375,318,336,920,"1,246",596,"1,004","2,762",73,549,"1,348","1,341","2,305",85
2020년04월_계_10~19세,"18,639",329,538,625,402,505,"1,488","1,446",848,"1,309","2,505",117,728,"2,290","1,919","3,473",117
2020년04월_계_20~29세,"33,891",629,"1,202","1,264",902,928,"2,596","2,422","1,638","5,519","3,548",211,"1,137","4,657","2,549","4,607",82
2020년04월_계_30~39세,"26,397",530,"1,022","1,160",907,891,"1,857","2,188","1,549","2,014","3,928",194,"1,007","3,181","2,245","3,636",88
2020년04월_계_40~49세,"33,097",852,"1,283","1,414","1,066","1,174","2,435","2,445","1,874","2,184","4,756",252,"1,318","3,882","2,939","5,041",182
2020년04월_계_50~59세,"41,908","1,279","2,105","2,396","1,726","1,536","3,073","3,005","2,334","2,337","3,901",504,"1,826","5,808","3,610","6,290",178
2020년04월_계_60~69세,"37,923","1,416","2,156","2,398","1,918","1,807","2,549","2,481","2,594","1,964","3,312",530,"1,888","4,890","2,782","5,024",214
2020년04월_계_70~79세,"21,474",864,"1,111","1,425","1,065","1,211","1,444","1,222","1,447","1,137","2,072",344,"1,160","2,865","1,426","2,576",105
2020년04월_계_80~89세,"8,489",355,394,506,321,441,618,560,481,472,848,154,504,"1,104",569,"1,115",47
2020년04월_계_90~99세,"1,125",33,46,49,43,42,73,89,65,48,165,20,67,140,71,164,10
2020년04월_계_100세 이상,198,11,15,11,3,3,7,5,2,11,98,3,4,7,7,9,2
