카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년05월_계_총인구수,"78,618","33,795","9,638","2,551","3,118","3,224","1,756","2,537","6,726","2,554","4,592","3,608","4,519"
2020년05월_계_연령구간인구수,"78,618","33,795","9,638","2,551","3,118","3,224","1,756","2,537","6,726","2,554","4,592","3,608","4,519"
2020년05월_계_0~9세,"3,787","2,219",535,59,74,87,32,59,273,87,136,106,120
2020년05월_계_10~19세,"5,806","3,394",651,97,163,145,63,141,412,145,251,130,214
2020년05월_계_20~29세,"6,975","3,625","1,046",146,159,192,84,204,502,145,285,260,327
2020년05월_계_30~39세,"6,328","3,146","1,063",160,192,144,88,141,482,161,252,233,266
2020년05월_계_40~49세,"9,743","5,098","1,120",242,290,297,154,248,775,240,452,344,483
2020년05월_계_50~59세,"13,936","6,052","1,582",449,487,554,287,471,"1,348",436,811,616,843
2020년05월_계_60~69세,"14,298","5,180","1,567",589,713,676,459,543,"1,357",523,933,786,972
2020년05월_계_70~79세,"10,383","3,220","1,150",466,580,580,338,400,919,452,869,644,765
2020년05월_계_80~89세,"6,516","1,648",821,304,412,494,218,289,573,308,547,440,462
2020년05월_계_90~99세,809,201,96,36,46,54,33,40,80,54,54,49,66
2020년05월_계_100세 이상,37,12,7,3,2,1,0,1,5,3,2,0,1
2020년05월_남_총인구수,"39,497","16,806","4,847","1,323","1,593","1,583",879,"1,319","3,335","1,292","2,329","1,830","2,361"
2020년05월_남_연령구간인구수,"39,497","16,806","4,847","1,323","1,593","1,583",879,"1,319","3,335","1,292","2,329","1,830","2,361"
2020년05월_남_0~9세,"1,955","1,156",264,28,40,45,18,32,141,44,67,57,63
2020년05월_남_10~19세,"2,986","1,716",335,51,96,73,31,79,215,67,127,75,121
2020년05월_남_20~29세,"3,967","2,001",591,85,103,103,47,119,287,95,176,155,205
2020년05월_남_30~39세,"3,553","1,672",602,96,118,82,52,93,264,104,157,142,171
2020년05월_남_40~49세,"5,355","2,593",624,172,172,174,100,164,422,142,279,209,304
2020년05월_남_50~59세,"7,367","3,090",830,252,264,319,147,243,696,246,453,345,482
2020년05월_남_60~69세,"7,064","2,476",763,306,361,354,244,283,668,256,461,405,487
2020년05월_남_70~79세,"4,719","1,464",523,210,269,248,165,180,417,210,405,282,346
2020년05월_남_80~89세,"2,344",587,297,117,164,168,73,114,205,111,195,149,164
2020년05월_남_90~99세,182,49,18,5,6,17,2,11,20,16,9,11,18
2020년05월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년05월_여_총인구수,"39,121","16,989","4,791","1,228","1,525","1,641",877,"1,218","3,391","1,262","2,263","1,778","2,158"
2020년05월_여_연령구간인구수,"39,121","16,989","4,791","1,228","1,525","1,641",877,"1,218","3,391","1,262","2,263","1,778","2,158"
2020년05월_여_0~9세,"1,832","1,063",271,31,34,42,14,27,132,43,69,49,57
2020년05월_여_10~19세,"2,820","1,678",316,46,67,72,32,62,197,78,124,55,93
2020년05월_여_20~29세,"3,008","1,624",455,61,56,89,37,85,215,50,109,105,122
2020년05월_여_30~39세,"2,775","1,474",461,64,74,62,36,48,218,57,95,91,95
2020년05월_여_40~49세,"4,388","2,505",496,70,118,123,54,84,353,98,173,135,179
2020년05월_여_50~59세,"6,569","2,962",752,197,223,235,140,228,652,190,358,271,361
2020년05월_여_60~69세,"7,234","2,704",804,283,352,322,215,260,689,267,472,381,485
2020년05월_여_70~79세,"5,664","1,756",627,256,311,332,173,220,502,242,464,362,419
2020년05월_여_80~89세,"4,172","1,061",524,187,248,326,145,175,368,197,352,291,298
2020년05월_여_90~99세,627,152,78,31,40,37,31,29,60,38,45,38,48
2020년05월_여_100세 이상,32,10,7,2,2,1,0,0,5,2,2,0,1
