,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년07월_계_총인구수,"46,652","20,988","4,463","3,159","5,870","2,415","2,389","3,506","2,113","1,749"
2021년07월_계_연령구간인구수,"46,652","20,988","4,463","3,159","5,870","2,415","2,389","3,506","2,113","1,749"
2021년07월_계_0~9세,"2,118","1,447",120,68,240,36,32,75,65,35
2021년07월_계_10~19세,"3,561","1,990",200,590,392,75,68,111,64,71
2021년07월_계_20~29세,"3,778","2,300",365,133,366,137,103,190,112,72
2021년07월_계_30~39세,"3,331","2,014",237,116,407,102,89,165,130,71
2021년07월_계_40~49세,"5,006","2,937",407,183,616,165,160,263,149,126
2021년07월_계_50~59세,"8,558","3,681",848,534,"1,155",461,476,690,374,339
2021년07월_계_60~69세,"10,825","3,497","1,192",830,"1,490",746,781,"1,053",669,567
2021년07월_계_70~79세,"5,501","1,788",648,419,696,388,402,529,311,320
2021년07월_계_80~89세,"3,410","1,118",385,242,452,263,237,364,209,140
2021년07월_계_90~99세,535,205,59,41,51,39,40,66,27,7
2021년07월_계_100세 이상,29,11,2,3,5,3,1,0,3,1
2021년07월_남_총인구수,"23,936","10,583","2,339","1,614","3,058","1,253","1,208","1,831","1,129",921
2021년07월_남_연령구간인구수,"23,936","10,583","2,339","1,614","3,058","1,253","1,208","1,831","1,129",921
2021년07월_남_0~9세,"1,117",757,63,40,124,21,12,40,40,20
2021년07월_남_10~19세,"1,864","1,020",105,312,216,37,37,56,34,47
2021년07월_남_20~29세,"2,159","1,266",239,81,210,71,62,114,69,47
2021년07월_남_30~39세,"1,754","1,017",125,58,232,54,49,103,78,38
2021년07월_남_40~49세,"2,791","1,585",233,97,352,97,94,168,92,73
2021년07월_남_50~59세,"4,524","1,931",457,280,618,250,247,362,200,179
2021년07월_남_60~69세,"5,662","1,766",627,437,781,399,427,563,365,297
2021년07월_남_70~79세,"2,685",787,338,209,341,205,202,275,168,160
2021년07월_남_80~89세,"1,260",404,136,94,175,111,71,137,74,58
2021년07월_남_90~99세,116,49,16,6,9,6,7,13,8,2
2021년07월_남_100세 이상,4,1,0,0,0,2,0,0,1,0
2021년07월_여_총인구수,"22,716","10,405","2,124","1,545","2,812","1,162","1,181","1,675",984,828
2021년07월_여_연령구간인구수,"22,716","10,405","2,124","1,545","2,812","1,162","1,181","1,675",984,828
2021년07월_여_0~9세,"1,001",690,57,28,116,15,20,35,25,15
2021년07월_여_10~19세,"1,697",970,95,278,176,38,31,55,30,24
2021년07월_여_20~29세,"1,619","1,034",126,52,156,66,41,76,43,25
2021년07월_여_30~39세,"1,577",997,112,58,175,48,40,62,52,33
2021년07월_여_40~49세,"2,215","1,352",174,86,264,68,66,95,57,53
2021년07월_여_50~59세,"4,034","1,750",391,254,537,211,229,328,174,160
2021년07월_여_60~69세,"5,163","1,731",565,393,709,347,354,490,304,270
2021년07월_여_70~79세,"2,816","1,001",310,210,355,183,200,254,143,160
2021년07월_여_80~89세,"2,150",714,249,148,277,152,166,227,135,82
2021년07월_여_90~99세,419,156,43,35,42,33,33,53,19,5
2021년07월_여_100세 이상,25,10,2,3,5,1,1,0,2,1
