,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년11월_계_총인구수,"657,930","336,540","7,414","4,027","12,042","5,433","6,293","8,642","14,362","19,624","41,058","12,861","45,952","11,523","13,470","21,988","10,787","10,049","14,707","39,505","36,803","321,390","14,079","18,259","11,118","31,970","20,844","7,842","9,810","7,545","12,299","14,503","19,925","63,488","26,195","12,580","30,679","20,254",0
2021년11월_계_연령구간인구수,"657,930","336,540","7,414","4,027","12,042","5,433","6,293","8,642","14,362","19,624","41,058","12,861","45,952","11,523","13,470","21,988","10,787","10,049","14,707","39,505","36,803","321,390","14,079","18,259","11,118","31,970","20,844","7,842","9,810","7,545","12,299","14,503","19,925","63,488","26,195","12,580","30,679","20,254",0
2021년11월_계_0~9세,"51,584","23,162",315,99,561,280,260,287,848,"1,289","3,209",531,"3,757",645,660,"1,440",556,492,931,"4,219","2,783","28,422",572,"1,379",517,"2,408","1,970",205,389,280,919,811,"1,361","8,075","1,938",860,"3,720","3,018",0
2021년11월_계_10~19세,"70,173","34,759",454,144,765,355,429,611,"1,274","2,585","4,818",816,"5,227","1,049","1,186","2,378",886,857,"1,459","5,017","4,449","35,414","1,027","2,276",691,"3,976","1,635",317,625,459,973,"1,198","2,439","8,950","3,056",953,"3,098","3,741",0
2021년11월_계_20~29세,"92,980","48,922",834,372,"1,367",601,667,"1,025","2,224","3,269","6,293","1,383","5,810","1,650","1,959","3,034","1,374","1,433","2,004","6,139","7,484","44,058","1,696","2,293","1,538","4,693","3,585","2,497","1,496",879,"1,677","2,031","2,622","7,985","3,849","1,563","3,708","1,946",0
2021년11월_계_30~39세,"81,222","39,223",772,354,"1,242",543,533,725,"1,589","2,368","5,219","1,259","5,032","1,191","1,342","2,120","1,050","1,066","1,609","5,186","6,023","41,999","1,276","1,823","1,268","3,906","3,548",949,"1,017",728,"1,819","1,899","1,896","9,544","2,869","1,701","5,067","2,689",0
2021년11월_계_40~49세,"104,973","51,530",876,487,"1,624",705,760,"1,126","1,904","3,319","6,781","1,687","7,391","1,570","1,698","3,249","1,443","1,327","2,041","6,898","6,644","53,443","1,750","3,020","1,407","5,940","3,072",812,"1,202","1,055","1,802","2,393","3,029","12,172","3,989","1,789","5,212","4,799",0
2021년11월_계_50~59세,"107,359","57,284","1,209",652,"1,905",864,"1,043","1,511","2,419","3,357","7,131","2,217","7,773","2,186","2,555","4,370","1,805","1,757","2,492","6,210","5,828","50,075","2,261","2,844","1,795","5,254","2,787","1,077","1,562","1,385","2,007","2,663","3,512","9,016","4,629","2,210","4,614","2,459",0
2021년11월_계_60~69세,"80,861","44,372","1,430",865,"2,136",924,"1,282","1,693","2,252","2,026","4,217","2,406","6,313","1,834","2,361","3,007","1,835","1,695","2,252","3,686","2,158","36,489","2,383","2,307","1,887","3,033","2,217",990,"1,635","1,400","1,754","1,952","2,895","4,780","3,280","1,863","3,080","1,033",0
2021년11월_계_70~79세,"44,976","24,366",968,677,"1,548",730,825,"1,113","1,196",917,"2,198","1,641","3,074",943,"1,190","1,471","1,232","1,007","1,246","1,453",937,"20,610","1,921","1,579","1,349","1,807","1,338",630,"1,280",926,896,985,"1,398","1,974","1,718","1,004","1,434",371,0
2021년11월_계_80~89세,"20,704","11,165",483,324,771,378,425,491,575,418,"1,064",798,"1,363",394,448,770,533,357,572,577,424,"9,539","1,061",658,597,841,602,322,545,386,395,500,671,839,748,560,648,166,0
2021년11월_계_90~99세,"3,023","1,712",72,53,119,53,68,55,80,73,127,121,204,59,71,146,71,57,97,118,68,"1,311",129,78,68,109,89,43,56,46,57,68,100,152,116,77,92,31,0
2021년11월_계_100세 이상,75,45,1,0,4,0,1,5,1,3,1,2,8,2,0,3,2,1,4,2,5,30,3,2,1,3,1,0,3,1,0,3,2,1,3,0,6,1,0
2021년11월_남_총인구수,"323,724","163,886","3,720","2,005","5,904","2,667","3,114","4,239","6,913","9,782","19,913","6,194","22,183","5,613","6,486","10,641","5,174","4,789","6,903","19,207","18,439","159,838","6,877","8,767","5,537","15,687","10,558","4,232","4,831","4,121","6,138","7,565","9,552","31,477","12,757","6,476","15,427","9,836",0
2021년11월_남_연령구간인구수,"323,724","163,886","3,720","2,005","5,904","2,667","3,114","4,239","6,913","9,782","19,913","6,194","22,183","5,613","6,486","10,641","5,174","4,789","6,903","19,207","18,439","159,838","6,877","8,767","5,537","15,687","10,558","4,232","4,831","4,121","6,138","7,565","9,552","31,477","12,757","6,476","15,427","9,836",0
2021년11월_남_0~9세,"26,428","11,920",172,53,300,150,132,161,444,655,"1,647",286,"1,899",339,338,706,301,244,512,"2,167","1,414","14,508",306,684,269,"1,202","1,008",97,197,147,436,413,683,"4,154",971,462,"1,935","1,544",0
2021년11월_남_10~19세,"36,252","18,091",230,78,408,186,233,313,691,"1,350","2,461",442,"2,714",540,605,"1,270",467,434,730,"2,629","2,310","18,161",567,"1,143",365,"2,028",855,160,339,245,492,593,"1,221","4,613","1,565",488,"1,600","1,887",0
2021년11월_남_20~29세,"48,831","25,364",449,204,732,300,355,562,"1,123","1,677","3,208",736,"3,042",879,"1,030","1,658",737,749,"1,056","3,106","3,761","23,467",895,"1,225",785,"2,440","1,920","1,424",800,535,856,"1,089","1,427","4,240","2,007",874,"1,979",971,0
2021년11월_남_30~39세,"41,089","19,859",411,203,633,291,292,390,805,"1,232","2,602",696,"2,489",639,695,"1,038",535,537,788,"2,464","3,119","21,230",704,873,692,"1,987","1,848",570,556,448,975,"1,072",930,"4,548","1,453",917,"2,530","1,127",0
2021년11월_남_40~49세,"51,421","24,723",476,299,875,384,400,610,889,"1,563","3,112",914,"3,482",726,812,"1,505",729,650,949,"3,257","3,091","26,698",919,"1,429",769,"2,875","1,650",493,650,672,926,"1,269","1,385","5,847","1,878",975,"2,672","2,289",0
2021년11월_남_50~59세,"52,932","27,761",631,346,955,465,550,770,"1,098","1,693","3,449","1,101","3,703","1,032","1,146","2,080",840,822,"1,065","2,942","3,073","25,171","1,104","1,378",913,"2,622","1,404",580,778,796,992,"1,444","1,684","4,529","2,200","1,166","2,290","1,291",0
2021년11월_남_60~69세,"38,378","20,845",679,392,975,442,603,757,"1,042",998,"2,027","1,115","2,957",874,"1,111","1,442",822,755,"1,008","1,770","1,076","17,533","1,129","1,034",848,"1,441","1,034",480,705,710,865,"1,019","1,363","2,331","1,590",960,"1,519",505,0
2021년11월_남_70~79세,"20,089","10,890",450,288,685,312,385,491,559,446,966,637,"1,405",441,576,640,521,448,546,676,418,"9,199",779,712,609,774,585,280,566,421,425,460,604,902,804,447,661,170,0
2021년11월_남_80~89세,"7,605","4,046",202,132,309,124,151,171,234,152,407,247,444,132,159,267,207,134,227,179,168,"3,559",432,272,271,295,235,138,220,139,155,189,231,282,261,172,219,48,0
2021년11월_남_90~99세,690,382,20,10,31,13,13,13,28,16,34,19,47,11,14,35,15,16,22,17,8,308,42,17,16,23,19,10,20,8,16,15,24,30,28,15,21,4,0
2021년11월_남_100세 이상,9,5,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0
2021년11월_여_총인구수,"334,206","172,654","3,694","2,022","6,138","2,766","3,179","4,403","7,449","9,842","21,145","6,667","23,769","5,910","6,984","11,347","5,613","5,260","7,804","20,298","18,364","161,552","7,202","9,492","5,581","16,283","10,286","3,610","4,979","3,424","6,161","6,938","10,373","32,011","13,438","6,104","15,252","10,418",0
