카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년12월_계_총인구수,"167,092","8,700","30,469","5,295","9,624","2,386","3,593","3,514","5,040","5,298","15,391","11,787","24,803","23,277","17,915"
2021년12월_계_연령구간인구수,"167,092","8,700","30,469","5,295","9,624","2,386","3,593","3,514","5,040","5,298","15,391","11,787","24,803","23,277","17,915"
2021년12월_계_0~9세,"14,564",281,"3,718",138,381,60,95,85,161,196,"1,293","1,022","2,379","2,931","1,824"
2021년12월_계_10~19세,"15,832",525,"2,737",271,453,85,169,176,297,321,"1,820","1,020","2,595","2,684","2,679"
2021년12월_계_20~29세,"15,765",615,"2,235",360,888,124,274,214,334,403,"1,341",980,"3,408","2,440","2,149"
2021년12월_계_30~39세,"21,689",627,"5,103",279,"1,049",124,210,216,259,320,"1,456","1,808","4,372","3,609","2,257"
2021년12월_계_40~49세,"27,006","1,060","5,569",500,"1,319",183,288,345,488,604,"2,545","2,058","4,405","4,146","3,496"
2021년12월_계_50~59세,"26,634","1,493","4,640",915,"1,971",344,591,634,924,878,"2,517","1,904","3,573","3,355","2,895"
2021년12월_계_60~69세,"22,688","1,842","3,547","1,259","1,837",624,873,853,"1,117","1,132","2,179","1,512","2,265","2,241","1,407"
2021년12월_계_70~79세,"13,380","1,292","1,740",868,990,485,607,571,781,823,"1,337",840,"1,174","1,146",726
2021년12월_계_80~89세,"8,285",827,"1,033",607,644,307,416,349,586,552,788,556,555,645,420
2021년12월_계_90~99세,"1,214",131,146,93,89,48,69,71,89,69,112,83,75,79,60
2021년12월_계_100세 이상,35,7,1,5,3,2,1,0,4,0,3,4,2,1,2
2021년12월_남_총인구수,"88,952","4,580","16,914","2,716","5,689","1,204","1,842","1,806","2,540","2,661","7,852","6,772","13,240","11,880","9,256"
2021년12월_남_연령구간인구수,"88,952","4,580","16,914","2,716","5,689","1,204","1,842","1,806","2,540","2,661","7,852","6,772","13,240","11,880","9,256"
2021년12월_남_0~9세,"7,407",151,"1,913",74,200,36,39,40,71,90,661,495,"1,196","1,515",926
2021년12월_남_10~19세,"8,302",296,"1,443",140,242,47,83,98,161,177,926,531,"1,339","1,401","1,418"
2021년12월_남_20~29세,"9,252",362,"1,326",204,613,78,166,129,190,240,772,625,"1,990","1,314","1,243"
2021년12월_남_30~39세,"12,455",396,"2,861",160,719,73,127,124,154,186,749,"1,201","2,591","1,904","1,210"
2021년12월_남_40~49세,"15,165",641,"3,383",286,908,117,167,203,281,345,"1,343","1,293","2,362","2,129","1,707"
2021년12월_남_50~59세,"15,068",863,"2,798",531,"1,252",183,326,348,507,479,"1,410","1,183","1,882","1,761","1,545"
2021년12월_남_60~69세,"11,715",914,"1,941",644,"1,036",312,458,435,565,575,"1,079",825,"1,140","1,096",695
2021년12월_남_70~79세,"6,322",609,845,421,471,231,299,297,385,366,607,385,524,528,354
2021년12월_남_80~89세,"2,959",310,365,231,229,114,166,115,201,182,282,210,193,222,139
2021년12월_남_90~99세,305,38,39,25,19,13,11,17,25,21,22,24,23,10,18
2021년12월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021년12월_여_총인구수,"78,140","4,120","13,555","2,579","3,935","1,182","1,751","1,708","2,500","2,637","7,539","5,015","11,563","11,397","8,659"
2021년12월_여_연령구간인구수,"78,140","4,120","13,555","2,579","3,935","1,182","1,751","1,708","2,500","2,637","7,539","5,015","11,563","11,397","8,659"
2021년12월_여_0~9세,"7,157",130,"1,805",64,181,24,56,45,90,106,632,527,"1,183","1,416",898
2021년12월_여_10~19세,"7,530",229,"1,294",131,211,38,86,78,136,144,894,489,"1,256","1,283","1,261"
2021년12월_여_20~29세,"6,513",253,909,156,275,46,108,85,144,163,569,355,"1,418","1,126",906
2021년12월_여_30~39세,"9,234",231,"2,242",119,330,51,83,92,105,134,707,607,"1,781","1,705","1,047"
2021년12월_여_40~49세,"11,841",419,"2,186",214,411,66,121,142,207,259,"1,202",765,"2,043","2,017","1,789"
2021년12월_여_50~59세,"11,566",630,"1,842",384,719,161,265,286,417,399,"1,107",721,"1,691","1,594","1,350"
2021년12월_여_60~69세,"10,973",928,"1,606",615,801,312,415,418,552,557,"1,100",687,"1,125","1,145",712
2021년12월_여_70~79세,"7,058",683,895,447,519,254,308,274,396,457,730,455,650,618,372
2021년12월_여_80~89세,"5,326",517,668,376,415,193,250,234,385,370,506,346,362,423,281
2021년12월_여_90~99세,909,93,107,68,70,35,58,54,64,48,90,59,52,69,42
2021년12월_여_100세 이상,33,7,1,5,3,2,1,0,4,0,2,4,2,1,1
