,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년10월_계_총인구수,"26,370","9,470","1,682","1,155","1,022","1,507","1,510","1,434","1,804",743,"2,791",981,"1,122","1,149"
2021년10월_계_연령구간인구수,"26,370","9,470","1,682","1,155","1,022","1,507","1,510","1,434","1,804",743,"2,791",981,"1,122","1,149"
2021년10월_계_0~9세,"1,011",662,27,13,32,27,32,39,34,17,76,28,10,14
2021년10월_계_10~19세,"1,466",890,47,28,28,55,53,34,51,30,155,41,28,26
2021년10월_계_20~29세,"1,840",950,90,69,59,95,81,79,100,26,190,34,33,34
2021년10월_계_30~39세,"1,640",903,87,55,43,62,86,51,61,31,132,53,35,41
2021년10월_계_40~49세,"2,700","1,455",115,79,61,122,122,109,135,45,259,65,52,81
2021년10월_계_50~59세,"4,478","1,623",308,206,175,276,273,237,304,104,495,131,170,176
2021년10월_계_60~69세,"5,791","1,522",448,314,253,372,380,363,494,218,599,230,293,305
2021년10월_계_70~79세,"3,828",857,276,205,179,247,231,253,330,135,488,202,214,211
2021년10월_계_80~89세,"3,118",536,239,155,165,221,213,225,263,120,342,169,249,221
2021년10월_계_90~99세,492,71,43,31,27,30,39,44,32,16,55,28,38,38
2021년10월_계_100세 이상,6,1,2,0,0,0,0,0,0,1,0,0,0,2
2021년10월_남_총인구수,"12,992","4,692",838,570,491,747,751,692,920,351,"1,342",519,522,557
2021년10월_남_연령구간인구수,"12,992","4,692",838,570,491,747,751,692,920,351,"1,342",519,522,557
2021년10월_남_0~9세,529,351,13,9,13,15,16,19,19,9,35,19,5,6
2021년10월_남_10~19세,776,467,24,15,17,27,24,13,30,20,80,28,18,13
2021년10월_남_20~29세,"1,063",513,50,47,38,67,42,46,61,15,116,23,24,21
2021년10월_남_30~39세,873,435,52,38,24,30,54,29,30,22,80,36,16,27
2021년10월_남_40~49세,"1,543",760,77,47,40,69,76,68,82,29,161,51,30,53
2021년10월_남_50~59세,"2,509",891,179,108,103,158,154,142,165,57,277,73,98,104
2021년10월_남_60~69세,"3,087",742,258,163,134,210,215,196,288,109,294,148,160,170
2021년10월_남_70~79세,"1,611",366,113,86,76,94,101,104,156,55,204,82,84,90
2021년10월_남_80~89세,899,151,61,50,41,72,62,59,83,33,90,54,82,61
2021년10월_남_90~99세,101,16,11,7,5,5,7,16,6,2,5,5,5,11
2021년10월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년10월_여_총인구수,"13,378","4,778",844,585,531,760,759,742,884,392,"1,449",462,600,592
2021년10월_여_연령구간인구수,"13,378","4,778",844,585,531,760,759,742,884,392,"1,449",462,600,592
2021년10월_여_0~9세,482,311,14,4,19,12,16,20,15,8,41,9,5,8
2021년10월_여_10~19세,690,423,23,13,11,28,29,21,21,10,75,13,10,13
2021년10월_여_20~29세,777,437,40,22,21,28,39,33,39,11,74,11,9,13
2021년10월_여_30~39세,767,468,35,17,19,32,32,22,31,9,52,17,19,14
2021년10월_여_40~49세,"1,157",695,38,32,21,53,46,41,53,16,98,14,22,28
2021년10월_여_50~59세,"1,969",732,129,98,72,118,119,95,139,47,218,58,72,72
2021년10월_여_60~69세,"2,704",780,190,151,119,162,165,167,206,109,305,82,133,135
2021년10월_여_70~79세,"2,217",491,163,119,103,153,130,149,174,80,284,120,130,121
2021년10월_여_80~89세,"2,219",385,178,105,124,149,151,166,180,87,252,115,167,160
2021년10월_여_90~99세,391,55,32,24,22,25,32,28,26,14,50,23,33,27
2021년10월_여_100세 이상,5,1,2,0,0,0,0,0,0,1,0,0,0,1
