,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년06월_계_총인구수,"357,242","15,595","10,145","20,431","22,213","20,466","13,164","18,157","21,483","22,492","18,253","24,376","10,363","11,972","20,257","16,847","17,323","11,635","29,985","11,961","20,124"
2020년06월_계_연령구간인구수,"357,242","15,595","10,145","20,431","22,213","20,466","13,164","18,157","21,483","22,492","18,253","24,376","10,363","11,972","20,257","16,847","17,323","11,635","29,985","11,961","20,124"
2020년06월_계_0~9세,"21,696",641,654,"1,493","1,283","1,251",588,912,"1,074","1,977","1,184","1,295",779,756,981,"1,039","1,278",702,"1,972",529,"1,308"
2020년06월_계_10~19세,"25,444",597,501,"1,848","1,575","1,609",648,"1,013","1,244","1,801","2,000","2,090",733,"1,010","1,287","1,361","1,032",928,"2,636",497,"1,034"
2020년06월_계_20~29세,"51,770","3,194","2,001","2,062","2,321","2,868","2,925","4,046","3,444","2,416","2,094","3,008","1,239","1,321","3,269","2,099","3,338","1,613","3,764","2,372","2,376"
2020년06월_계_30~39세,"47,574","2,458","1,794","2,304","2,435","2,467","2,322","3,149","3,133","3,004","1,843","2,480","1,686","1,406","2,349","1,879","2,834","1,230","3,563","2,170","3,068"
2020년06월_계_40~49세,"51,551","1,814","1,505","3,301","3,119","3,059","1,819","2,415","3,039","3,701","2,962","3,647","1,494","1,831","2,783","2,335","2,460","1,641","4,349","1,575","2,702"
2020년06월_계_50~59세,"58,878","2,542","1,572","3,237","3,684","3,652","1,715","2,308","3,156","3,696","3,461","4,575","1,558","2,301","3,514","2,874","2,596","2,005","5,554","1,720","3,158"
2020년06월_계_60~69세,"54,471","2,381","1,275","3,263","4,015","2,962","1,637","2,151","3,285","3,144","2,666","4,005","1,563","1,849","3,340","2,911","2,107","1,884","4,848","1,675","3,510"
2020년06월_계_70~79세,"31,597","1,358",569,"2,023","2,634","1,713","1,038","1,435","2,141","1,967","1,445","2,166",914,"1,043","1,975","1,679","1,188","1,141","2,181",945,"2,042"
2020년06월_계_80~89세,"12,526",522,220,799,"1,022",787,408,621,862,670,522,964,356,402,675,580,440,449,995,418,814
2020년06월_계_90~99세,"1,506",74,47,95,112,85,56,90,92,85,64,134,34,45,75,79,48,39,114,52,86
