,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년04월_계_총인구수,"30,511","10,559","3,068","3,681","3,516","3,464","3,236","2,352",279,356
2020년04월_계_연령구간인구수,"30,511","10,559","3,068","3,681","3,516","3,464","3,236","2,352",279,356
2020년04월_계_0~9세,"1,780",889,131,220,130,132,114,114,18,32
2020년04월_계_10~19세,"2,260","1,156",174,247,175,200,130,132,12,34
2020년04월_계_20~29세,"2,444","1,139",206,272,227,223,212,131,19,15
2020년04월_계_30~39세,"2,313","1,090",192,288,214,178,173,135,19,24
2020년04월_계_40~49세,"3,589","1,533",327,404,371,338,255,288,31,42
2020년04월_계_50~59세,"5,083","1,737",525,586,641,604,522,365,45,58
2020년04월_계_60~69세,"5,136","1,400",582,703,675,646,625,409,41,55
2020년04월_계_70~79세,"4,762","1,042",550,551,639,677,727,460,52,64
2020년04월_계_80~89세,"2,779",509,341,358,391,393,426,294,39,28
2020년04월_계_90~99세,349,62,39,47,52,72,50,20,3,4
2020년04월_계_100세 이상,16,2,1,5,1,1,2,4,0,0
2020년04월_남_총인구수,"14,998","5,196","1,540","1,790","1,772","1,644","1,540","1,198",144,174
2020년04월_남_연령구간인구수,"14,998","5,196","1,540","1,790","1,772","1,644","1,540","1,198",144,174
2020년04월_남_0~9세,861,426,63,113,72,57,55,48,10,17
2020년04월_남_10~19세,"1,168",605,85,122,95,104,60,72,9,16
2020년04월_남_20~29세,"1,404",655,126,143,124,121,137,77,10,11
2020년04월_남_30~39세,"1,272",559,119,163,134,98,95,79,11,14
2020년04월_남_40~49세,"2,074",787,190,244,233,213,170,189,20,28
2020년04월_남_50~59세,"2,770",866,312,314,356,323,296,234,31,38
2020년04월_남_60~69세,"2,591",684,301,346,352,326,302,236,22,22
2020년04월_남_70~79세,"1,994",453,234,230,268,289,301,178,21,20
2020년04월_남_80~89세,798,150,102,105,128,101,113,83,9,7
2020년04월_남_90~99세,66,11,8,10,10,12,11,2,1,1
2020년04월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"15,513","5,363","1,528","1,891","1,744","1,820","1,696","1,154",135,182
2020년04월_여_연령구간인구수,"15,513","5,363","1,528","1,891","1,744","1,820","1,696","1,154",135,182
2020년04월_여_0~9세,919,463,68,107,58,75,59,66,8,15
2020년04월_여_10~19세,"1,092",551,89,125,80,96,70,60,3,18
2020년04월_여_20~29세,"1,040",484,80,129,103,102,75,54,9,4
2020년04월_여_30~39세,"1,041",531,73,125,80,80,78,56,8,10
2020년04월_여_40~49세,"1,515",746,137,160,138,125,85,99,11,14
2020년04월_여_50~59세,"2,313",871,213,272,285,281,226,131,14,20
2020년04월_여_60~69세,"2,545",716,281,357,323,320,323,173,19,33
2020년04월_여_70~79세,"2,768",589,316,321,371,388,426,282,31,44
2020년04월_여_80~89세,"1,981",359,239,253,263,292,313,211,30,21
2020년04월_여_90~99세,283,51,31,37,42,60,39,18,2,3
2020년04월_여_100세 이상,16,2,1,5,1,1,2,4,0,0
