,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년12월_계_총인구수,"494,962","37,397","16,277","13,143","36,696","33,278","14,668","13,348","31,993","22,460","18,096","6,967","35,013","16,594","19,381","34,432","29,409","16,627","17,796","32,025","12,877","12,867","23,618"
2020년12월_계_연령구간인구수,"494,962","37,397","16,277","13,143","36,696","33,278","14,668","13,348","31,993","22,460","18,096","6,967","35,013","16,594","19,381","34,432","29,409","16,627","17,796","32,025","12,877","12,867","23,618"
2020년12월_계_0~9세,"32,905","2,384",893,632,"2,543","2,519","1,020",631,"2,751","1,235","1,208",321,"2,781",886,"1,233","2,438","2,487",867,"1,186","1,932","1,084",682,"1,192"
2020년12월_계_10~19세,"43,210","2,950","1,259",872,"2,410","2,367",861,"1,018","3,779","2,045","1,779",523,"2,990","1,293","1,480","3,596","4,222","1,112","1,615","3,382","1,051","1,029","1,577"
2020년12월_계_20~29세,"70,185","6,090","2,200","1,681","5,884","5,191","2,138","1,739","4,149","2,946","2,681",898,"4,925","2,592","2,573","4,796","3,769","2,159","2,494","4,889","1,651","1,648","3,092"
2020년12월_계_30~39세,"67,436","6,033","2,325","1,700","6,545","6,093","2,318","1,548","3,806","2,400","2,154",798,"5,154","2,197","2,756","3,995","2,994","2,062","2,323","4,025","1,824","1,428","2,958"
2020년12월_계_40~49세,"77,416","5,739","2,496","1,915","5,651","5,373","2,155","1,841","5,537","3,181","2,813","1,101","5,292","2,406","2,575","5,715","5,883","2,389","2,792","5,297","1,851","1,940","3,474"
2020년12월_계_50~59세,"90,154","6,161","2,886","2,389","6,132","5,409","2,508","2,605","5,769","4,065","3,414","1,455","6,446","3,319","3,592","6,617","5,318","3,015","3,258","6,300","2,191","2,515","4,790"
2020년12월_계_60~69세,"66,008","4,617","2,330","2,138","4,356","3,692","2,106","2,243","3,762","3,526","2,374","1,140","4,535","2,357","3,070","4,172","2,841","2,829","2,382","3,691","1,994","2,042","3,811"
2020년12월_계_70~79세,"31,387","2,186","1,324","1,198","2,149","1,743",997,"1,123","1,643","1,905","1,032",498,"1,922","1,045","1,355","1,908","1,217","1,543","1,196","1,622",841,"1,072","1,868"
2020년12월_계_80~89세,"13,940","1,047",476,516,894,755,490,500,683,974,557,180,859,427,627,"1,019",572,584,487,766,339,434,754
2020년12월_계_90~99세,"2,118",177,77,91,118,123,65,83,106,167,82,41,102,67,117,166,103,62,55,118,45,65,88
2020년12월_계_100세 이상,203,13,11,11,14,13,10,17,8,16,2,12,7,5,3,10,3,5,8,3,6,12,14
2020년12월_남_총인구수,"244,713","17,988","8,116","6,526","18,145","16,461","7,235","6,756","15,758","10,919","8,632","3,728","17,552","8,378","9,437","16,871","14,287","8,367","8,713","15,453","6,613","6,587","12,191"
2020년12월_남_연령구간인구수,"244,713","17,988","8,116","6,526","18,145","16,461","7,235","6,756","15,758","10,919","8,632","3,728","17,552","8,378","9,437","16,871","14,287","8,367","8,713","15,453","6,613","6,587","12,191"
2020년12월_남_0~9세,"16,846","1,199",444,334,"1,295","1,270",543,336,"1,393",652,630,153,"1,461",438,610,"1,259","1,261",438,588,993,585,376,588
2020년12월_남_10~19세,"22,391","1,458",646,465,"1,272","1,190",444,528,"1,989","1,093",893,262,"1,592",721,783,"1,845","2,161",578,807,"1,701",563,547,853
2020년12월_남_20~29세,"36,146","2,932","1,161",885,"2,920","2,590","1,043",963,"2,190","1,556","1,353",503,"2,560","1,379","1,335","2,511","1,940","1,147","1,295","2,469",928,870,"1,616"
2020년12월_남_30~39세,"34,803","3,104","1,255",909,"3,383","3,254","1,173",847,"1,809","1,232","1,054",442,"2,658","1,183","1,410","2,041","1,419","1,100","1,175","1,970",978,771,"1,636"
2020년12월_남_40~49세,"38,950","2,811","1,310","1,005","2,896","2,834","1,159",974,"2,685","1,580","1,314",616,"2,713","1,258","1,300","2,758","2,691","1,310","1,389","2,482",973,"1,005","1,887"
2020년12월_남_50~59세,"44,153","2,923","1,430","1,175","2,982","2,591","1,203","1,332","2,781","1,917","1,582",817,"3,176","1,627","1,647","3,304","2,706","1,511","1,561","3,006","1,034","1,343","2,505"
2020년12월_남_60~69세,"32,108","2,137","1,072","1,046","2,076","1,714","1,026","1,081","1,870","1,663","1,163",627,"2,208","1,148","1,529","2,044","1,392","1,338","1,148","1,850","1,021","1,011","1,944"
2020년12월_남_70~79세,"14,136",987,611,509,969,747,457,514,785,865,442,245,865,470,627,799,520,715,557,715,397,479,861
2020년12월_남_80~89세,"4,716",396,164,171,320,245,176,163,235,328,184,50,302,146,171,275,184,212,177,243,124,166,284
2020년12월_남_90~99세,419,40,20,21,26,25,10,15,19,30,16,9,16,8,23,34,13,17,13,24,8,17,15
2020년12월_남_100세 이상,45,1,3,6,6,1,1,3,2,3,1,4,1,0,2,1,0,1,3,0,2,2,2
2020년12월_여_총인구수,"250,249","19,409","8,161","6,617","18,551","16,817","7,433","6,592","16,235","11,541","9,464","3,239","17,461","8,216","9,944","17,561","15,122","8,260","9,083","16,572","6,264","6,280","11,427"
2020년12월_여_연령구간인구수,"250,249","19,409","8,161","6,617","18,551","16,817","7,433","6,592","16,235","11,541","9,464","3,239","17,461","8,216","9,944","17,561","15,122","8,260","9,083","16,572","6,264","6,280","11,427"
2020년12월_여_0~9세,"16,059","1,185",449,298,"1,248","1,249",477,295,"1,358",583,578,168,"1,320",448,623,"1,179","1,226",429,598,939,499,306,604
2020년12월_여_10~19세,"20,819","1,492",613,407,"1,138","1,177",417,490,"1,790",952,886,261,"1,398",572,697,"1,751","2,061",534,808,"1,681",488,482,724
2020년12월_여_20~29세,"34,039","3,158","1,039",796,"2,964","2,601","1,095",776,"1,959","1,390","1,328",395,"2,365","1,213","1,238","2,285","1,829","1,012","1,199","2,420",723,778,"1,476"
2020년12월_여_30~39세,"32,633","2,929","1,070",791,"3,162","2,839","1,145",701,"1,997","1,168","1,100",356,"2,496","1,014","1,346","1,954","1,575",962,"1,148","2,055",846,657,"1,322"
2020년12월_여_40~49세,"38,466","2,928","1,186",910,"2,755","2,539",996,867,"2,852","1,601","1,499",485,"2,579","1,148","1,275","2,957","3,192","1,079","1,403","2,815",878,935,"1,587"
2020년12월_여_50~59세,"46,001","3,238","1,456","1,214","3,150","2,818","1,305","1,273","2,988","2,148","1,832",638,"3,270","1,692","1,945","3,313","2,612","1,504","1,697","3,294","1,157","1,172","2,285"
2020년12월_여_60~69세,"33,900","2,480","1,258","1,092","2,280","1,978","1,080","1,162","1,892","1,863","1,211",513,"2,327","1,209","1,541","2,128","1,449","1,491","1,234","1,841",973,"1,031","1,867"
2020년12월_여_70~79세,"17,251","1,199",713,689,"1,180",996,540,609,858,"1,040",590,253,"1,057",575,728,"1,109",697,828,639,907,444,593,"1,007"
2020년12월_여_80~89세,"9,224",651,312,345,574,510,314,337,448,646,373,130,557,281,456,744,388,372,310,523,215,268,470
2020년12월_여_90~99세,"1,699",137,57,70,92,98,55,68,87,137,66,32,86,59,94,132,90,45,42,94,37,48,73
2020년12월_여_100세 이상,158,12,8,5,8,12,9,14,6,13,1,8,6,5,1,9,3,4,5,3,4,10,12
