카테고리,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년10월_계_총인구수,"41,547","2,424","2,921","6,576","10,658","4,671","1,067","1,044","4,774","7,412"
2020년10월_계_연령구간인구수,"41,547","2,424","2,921","6,576","10,658","4,671","1,067","1,044","4,774","7,412"
2020년10월_계_0~9세,"1,348",39,80,219,388,114,17,17,182,292
2020년10월_계_10~19세,"2,046",84,99,389,564,197,38,28,212,435
2020년10월_계_20~29세,"5,651",578,325,943,"1,498",529,112,71,793,802
2020년10월_계_30~39세,"4,475",404,248,696,"1,123",479,110,96,661,658
2020년10월_계_40~49세,"5,472",289,364,928,"1,470",547,116,112,669,977
2020년10월_계_50~59세,"7,084",359,540,"1,101","1,799",823,204,212,714,"1,332"
2020년10월_계_60~69세,"7,849",375,581,"1,153","1,963","1,006",250,293,765,"1,463"
2020년10월_계_70~79세,"5,088",187,460,777,"1,236",627,134,156,508,"1,003"
2020년10월_계_80~89세,"2,079",82,178,289,532,276,65,45,225,387
2020년10월_계_90~99세,370,24,41,72,72,48,16,13,36,48
2020년10월_계_100세 이상,85,3,5,9,13,25,5,1,9,15
2020년10월_남_총인구수,"20,320","1,196","1,468","3,112","5,187","2,199",543,585,"2,422","3,608"
2020년10월_남_연령구간인구수,"20,320","1,196","1,468","3,112","5,187","2,199",543,585,"2,422","3,608"
2020년10월_남_0~9세,715,20,35,119,201,69,9,10,99,153
2020년10월_남_10~19세,"1,036",42,44,183,291,107,21,13,106,229
2020년10월_남_20~29세,"2,805",235,173,465,748,250,64,39,405,426
2020년10월_남_30~39세,"2,431",215,136,366,593,254,58,55,383,371
2020년10월_남_40~49세,"2,962",151,213,484,787,296,62,70,388,511
2020년10월_남_50~59세,"3,564",197,281,517,905,399,104,137,365,659
2020년10월_남_60~69세,"3,700",196,280,543,908,440,133,167,363,670
2020년10월_남_70~79세,"2,215",101,217,318,516,274,60,76,224,429
2020년10월_남_80~89세,770,33,76,100,213,92,24,11,77,144
2020년10월_남_90~99세,102,6,12,12,22,12,6,7,10,15
2020년10월_남_100세 이상,20,0,1,5,3,6,2,0,2,1
2020년10월_여_총인구수,"21,227","1,228","1,453","3,464","5,471","2,472",524,459,"2,352","3,804"
2020년10월_여_연령구간인구수,"21,227","1,228","1,453","3,464","5,471","2,472",524,459,"2,352","3,804"
2020년10월_여_0~9세,633,19,45,100,187,45,8,7,83,139
2020년10월_여_10~19세,"1,010",42,55,206,273,90,17,15,106,206
2020년10월_여_20~29세,"2,846",343,152,478,750,279,48,32,388,376
2020년10월_여_30~39세,"2,044",189,112,330,530,225,52,41,278,287
2020년10월_여_40~49세,"2,510",138,151,444,683,251,54,42,281,466
2020년10월_여_50~59세,"3,520",162,259,584,894,424,100,75,349,673
2020년10월_여_60~69세,"4,149",179,301,610,"1,055",566,117,126,402,793
2020년10월_여_70~79세,"2,873",86,243,459,720,353,74,80,284,574
2020년10월_여_80~89세,"1,309",49,102,189,319,184,41,34,148,243
2020년10월_여_90~99세,268,18,29,60,50,36,10,6,26,33
2020년10월_여_100세 이상,65,3,4,4,10,19,3,1,7,14
