카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년03월_계_총인구수,"20,371","1,167","1,003","5,228","1,240",238,"1,915","6,220",920,380,"2,060"
2020년03월_계_연령구간인구수,"20,371","1,167","1,003","5,228","1,240",238,"1,915","6,220",920,380,"2,060"
2020년03월_계_0~9세,987,38,35,366,58,2,45,312,22,15,94
2020년03월_계_10~19세,"1,144",52,30,302,65,9,93,402,40,16,135
2020년03월_계_20~29세,"2,691",87,59,"1,047",198,44,133,566,79,25,453
2020년03월_계_30~39세,"1,968",85,64,641,118,19,95,633,47,23,243
2020년03월_계_40~49세,"2,451",113,127,662,119,15,198,808,99,36,274
2020년03월_계_50~59세,"3,675",225,205,739,238,35,364,"1,264",182,81,342
2020년03월_계_60~69세,"3,811",309,261,728,207,49,455,"1,224",211,82,285
2020년03월_계_70~79세,"2,289",158,147,426,162,48,321,697,142,59,129
2020년03월_계_80~89세,"1,115",85,56,248,67,15,170,265,86,36,87
2020년03월_계_90~99세,230,14,17,66,8,2,40,46,12,7,18
2020년03월_계_100세 이상,10,1,2,3,0,0,1,3,0,0,0
2020년03월_남_총인구수,"11,592",617,535,"3,099",714,151,"1,041","3,462",481,192,"1,300"
2020년03월_남_연령구간인구수,"11,592",617,535,"3,099",714,151,"1,041","3,462",481,192,"1,300"
2020년03월_남_0~9세,504,18,17,188,29,0,21,172,12,8,39
2020년03월_남_10~19세,627,27,19,149,37,8,48,229,23,8,79
2020년03월_남_20~29세,"1,955",48,33,833,142,38,80,368,41,10,362
2020년03월_남_30~39세,"1,237",48,38,391,78,16,59,393,28,15,171
2020년03월_남_40~49세,"1,567",64,78,439,80,11,129,489,67,20,190
2020년03월_남_50~59세,"2,109",136,121,422,129,24,230,682,104,47,214
2020년03월_남_60~69세,"2,031",161,132,380,119,27,257,662,108,41,144
2020년03월_남_70~79세,"1,119",80,80,201,66,21,148,364,63,34,62
2020년03월_남_80~89세,391,31,16,80,31,6,59,93,33,8,34
2020년03월_남_90~99세,48,3,0,15,3,0,10,9,2,1,5
2020년03월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년03월_여_총인구수,"8,779",550,468,"2,129",526,87,874,"2,758",439,188,760
2020년03월_여_연령구간인구수,"8,779",550,468,"2,129",526,87,874,"2,758",439,188,760
2020년03월_여_0~9세,483,20,18,178,29,2,24,140,10,7,55
2020년03월_여_10~19세,517,25,11,153,28,1,45,173,17,8,56
2020년03월_여_20~29세,736,39,26,214,56,6,53,198,38,15,91
2020년03월_여_30~39세,731,37,26,250,40,3,36,240,19,8,72
2020년03월_여_40~49세,884,49,49,223,39,4,69,319,32,16,84
2020년03월_여_50~59세,"1,566",89,84,317,109,11,134,582,78,34,128
2020년03월_여_60~69세,"1,780",148,129,348,88,22,198,562,103,41,141
2020년03월_여_70~79세,"1,170",78,67,225,96,27,173,333,79,25,67
2020년03월_여_80~89세,724,54,40,168,36,9,111,172,53,28,53
2020년03월_여_90~99세,182,11,17,51,5,2,30,37,10,6,13
2020년03월_여_100세 이상,6,0,1,2,0,0,1,2,0,0,0
