,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년05월_계_총인구수,"34,977","13,830","4,267","2,375","1,161","2,569","1,836","2,855","1,892","1,686",670,"1,836"
2020년05월_계_연령구간인구수,"34,977","13,830","4,267","2,375","1,161","2,569","1,836","2,855","1,892","1,686",670,"1,836"
2020년05월_계_0~9세,"1,873","1,057",229,78,26,69,89,118,51,53,22,81
2020년05월_계_10~19세,"2,582","1,394",332,131,49,133,100,137,79,91,48,88
2020년05월_계_20~29세,"2,877","1,529",339,156,62,131,79,188,119,97,34,143
2020년05월_계_30~39세,"2,609","1,393",313,115,58,131,93,171,101,81,27,126
2020년05월_계_40~49세,"3,846","1,872",476,207,115,204,173,264,130,159,58,188
2020년05월_계_50~59세,"5,815","2,306",712,401,179,396,304,456,340,269,110,342
2020년05월_계_60~69세,"6,058","1,976",708,465,257,547,390,579,343,327,113,353
2020년05월_계_70~79세,"5,253","1,410",601,462,258,520,323,521,392,317,131,318
2020년05월_계_80~89세,"3,547",777,485,321,134,380,257,366,294,246,107,180
2020년05월_계_90~99세,487,105,70,37,22,52,27,52,41,44,20,17
2020년05월_계_100세 이상,30,11,2,2,1,6,1,3,2,2,0,0
2020년05월_남_총인구수,"16,854","6,645","2,069","1,150",543,"1,233",871,"1,399",915,790,330,909
2020년05월_남_연령구간인구수,"16,854","6,645","2,069","1,150",543,"1,233",871,"1,399",915,790,330,909
2020년05월_남_0~9세,943,550,113,42,7,33,31,60,30,22,13,42
2020년05월_남_10~19세,"1,317",681,184,60,28,69,55,68,41,56,28,47
2020년05월_남_20~29세,"1,604",821,209,87,35,79,43,115,69,51,20,75
2020년05월_남_30~39세,"1,327",681,164,64,32,74,40,90,59,45,9,69
2020년05월_남_40~49세,"2,151",944,258,123,73,124,113,157,91,104,42,122
2020년05월_남_50~59세,"3,110","1,166",377,228,95,226,169,255,197,142,70,185
2020년05월_남_60~69세,"3,006",948,380,239,118,279,183,299,164,166,57,173
2020년05월_남_70~79세,"2,230",608,231,199,119,220,151,219,164,117,62,140
2020년05월_남_80~89세,"1,068",225,138,103,34,114,83,123,92,78,23,55
2020년05월_남_90~99세,94,20,15,5,2,14,3,12,7,9,6,1
2020년05월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년05월_여_총인구수,"18,123","7,185","2,198","1,225",618,"1,336",965,"1,456",977,896,340,927
2020년05월_여_연령구간인구수,"18,123","7,185","2,198","1,225",618,"1,336",965,"1,456",977,896,340,927
2020년05월_여_0~9세,930,507,116,36,19,36,58,58,21,31,9,39
2020년05월_여_10~19세,"1,265",713,148,71,21,64,45,69,38,35,20,41
2020년05월_여_20~29세,"1,273",708,130,69,27,52,36,73,50,46,14,68
2020년05월_여_30~39세,"1,282",712,149,51,26,57,53,81,42,36,18,57
2020년05월_여_40~49세,"1,695",928,218,84,42,80,60,107,39,55,16,66
2020년05월_여_50~59세,"2,705","1,140",335,173,84,170,135,201,143,127,40,157
2020년05월_여_60~69세,"3,052","1,028",328,226,139,268,207,280,179,161,56,180
2020년05월_여_70~79세,"3,023",802,370,263,139,300,172,302,228,200,69,178
2020년05월_여_80~89세,"2,479",552,347,218,100,266,174,243,202,168,84,125
2020년05월_여_90~99세,393,85,55,32,20,38,24,40,34,35,14,16
2020년05월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
