,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년04월_계_총인구수,"210,086","30,302","12,789","10,535","10,962","16,821","18,153","7,739","17,145","16,449","17,560","14,825","36,806"
2020년04월_계_연령구간인구수,"210,086","30,302","12,789","10,535","10,962","16,821","18,153","7,739","17,145","16,449","17,560","14,825","36,806"
2020년04월_계_0~9세,"15,253","2,798","1,156",540,788,"1,347","1,598",245,800,815,"1,104","1,335","2,727"
2020년04월_계_10~19세,"16,837","3,644","1,602",754,"1,012","1,286","1,131",436,931,690,"1,068","1,172","3,111"
2020년04월_계_20~29세,"26,415","3,303","1,342","1,210","1,285","1,912","2,268",848,"2,469","3,388","2,030","1,709","4,651"
2020년04월_계_30~39세,"28,037","3,465","1,339","1,136","1,278","2,301","3,110",794,"2,136","3,241","2,470","1,971","4,796"
2020년04월_계_40~49세,"32,059","5,616","2,440","1,437","1,642","2,530","2,602","1,050","2,318","2,291","2,348","2,290","5,495"
2020년04월_계_50~59세,"34,619","4,786","1,978","1,732","1,928","2,767","2,803","1,377","2,979","2,344","2,818","2,547","6,560"
2020년04월_계_60~69세,"31,622","3,571","1,618","1,788","1,727","2,690","2,489","1,615","3,092","2,073","3,030","2,255","5,674"
2020년04월_계_70~79세,"17,750","2,186",919,"1,272",898,"1,419","1,510",991,"1,742","1,153","1,897","1,128","2,635"
2020년04월_계_80~89세,"6,586",824,353,574,352,512,555,341,606,412,706,364,987
2020년04월_계_90~99세,828,106,33,85,51,49,79,38,68,34,78,47,160
2020년04월_계_100세 이상,80,3,9,7,1,8,8,4,4,8,11,7,10
2020년04월_남_총인구수,"101,425","14,668","6,134","4,977","5,393","8,220","8,720","3,698","8,250","7,827","8,536","7,280","17,722"
2020년04월_남_연령구간인구수,"101,425","14,668","6,134","4,977","5,393","8,220","8,720","3,698","8,250","7,827","8,536","7,280","17,722"
2020년04월_남_0~9세,"7,761","1,459",544,287,396,678,821,129,388,411,563,697,"1,388"
2020년04월_남_10~19세,"8,698","1,941",761,395,563,684,552,217,472,350,578,594,"1,591"
2020년04월_남_20~29세,"13,460","1,705",719,593,705,"1,031","1,121",452,"1,193","1,430","1,082",922,"2,507"
2020년04월_남_30~39세,"14,066","1,629",626,587,659,"1,161","1,558",419,"1,124","1,625","1,303",950,"2,425"
2020년04월_남_40~49세,"15,725","2,605","1,188",711,783,"1,253","1,313",519,"1,174","1,203","1,227","1,159","2,590"
2020년04월_남_50~59세,"16,304","2,357",965,811,908,"1,272","1,321",641,"1,427","1,104","1,335","1,226","2,937"
2020년04월_남_60~69세,"14,628","1,636",767,804,832,"1,252","1,114",750,"1,406",976,"1,356","1,067","2,668"
2020년04월_남_70~79세,"8,083",954,420,555,410,672,691,440,819,546,803,526,"1,247"
2020년04월_남_80~89세,"2,489",354,135,206,130,201,211,122,227,170,269,128,336
2020년04월_남_90~99세,191,27,7,26,7,14,15,8,19,10,18,8,32
2020년04월_남_100세 이상,20,1,2,2,0,2,3,1,1,2,2,3,1
2020년04월_여_총인구수,"108,661","15,634","6,655","5,558","5,569","8,601","9,433","4,041","8,895","8,622","9,024","7,545","19,084"
2020년04월_여_연령구간인구수,"108,661","15,634","6,655","5,558","5,569","8,601","9,433","4,041","8,895","8,622","9,024","7,545","19,084"
2020년04월_여_0~9세,"7,492","1,339",612,253,392,669,777,116,412,404,541,638,"1,339"
2020년04월_여_10~19세,"8,139","1,703",841,359,449,602,579,219,459,340,490,578,"1,520"
2020년04월_여_20~29세,"12,955","1,598",623,617,580,881,"1,147",396,"1,276","1,958",948,787,"2,144"
2020년04월_여_30~39세,"13,971","1,836",713,549,619,"1,140","1,552",375,"1,012","1,616","1,167","1,021","2,371"
2020년04월_여_40~49세,"16,334","3,011","1,252",726,859,"1,277","1,289",531,"1,144","1,088","1,121","1,131","2,905"
2020년04월_여_50~59세,"18,315","2,429","1,013",921,"1,020","1,495","1,482",736,"1,552","1,240","1,483","1,321","3,623"
2020년04월_여_60~69세,"16,994","1,935",851,984,895,"1,438","1,375",865,"1,686","1,097","1,674","1,188","3,006"
2020년04월_여_70~79세,"9,667","1,232",499,717,488,747,819,551,923,607,"1,094",602,"1,388"
2020년04월_여_80~89세,"4,097",470,218,368,222,311,344,219,379,242,437,236,651
2020년04월_여_90~99세,637,79,26,59,44,35,64,30,49,24,60,39,128
2020년04월_여_100세 이상,60,2,7,5,1,6,5,3,3,6,9,4,9
