카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2021년10월_계_총인구수,"87,705","4,953","5,730","12,979","5,999","4,160","9,903","3,929","5,350","10,815","11,809","7,698","4,380"
2021년10월_계_연령구간인구수,"87,705","4,953","5,730","12,979","5,999","4,160","9,903","3,929","5,350","10,815","11,809","7,698","4,380"
2021년10월_계_0~9세,"4,016",150,137,"1,215",154,189,407,94,150,428,326,407,359
2021년10월_계_10~19세,"4,837",278,248,809,375,295,527,197,338,567,595,367,241
2021년10월_계_20~29세,"10,260",705,636,"1,915",597,486,"1,137",354,538,"1,272","1,295",898,427
2021년10월_계_30~39세,"10,361",548,558,"2,666",474,391,"1,136",294,401,"1,090","1,156","1,026",621
2021년10월_계_40~49세,"11,577",713,688,"2,022",765,571,"1,204",431,643,"1,368","1,383","1,088",701
2021년10월_계_50~59세,"14,302",818,992,"1,777","1,001",677,"1,654",672,915,"1,793","2,035","1,376",592
2021년10월_계_60~69세,"16,141",869,"1,207","1,475","1,198",759,"1,901",812,"1,097","2,064","2,573","1,442",744
2021년10월_계_70~79세,"10,670",600,832,722,904,541,"1,288",697,845,"1,484","1,576",734,447
2021년10월_계_80~89세,"4,879",250,361,324,455,228,567,335,373,671,790,314,211
2021년10월_계_90~99세,593,22,61,52,66,20,64,43,49,65,77,39,35
2021년10월_계_100세 이상,69,0,10,2,10,3,18,0,1,13,3,7,2
2021년10월_남_총인구수,"42,908","2,494","2,836","6,324","2,930","2,022","4,710","1,932","2,545","5,255","5,823","3,883","2,154"
2021년10월_남_연령구간인구수,"42,908","2,494","2,836","6,324","2,930","2,022","4,710","1,932","2,545","5,255","5,823","3,883","2,154"
2021년10월_남_0~9세,"2,132",66,81,654,74,105,204,54,82,234,166,213,199
2021년10월_남_10~19세,"2,498",156,125,419,207,151,263,109,166,286,297,198,121
2021년10월_남_20~29세,"5,173",359,317,835,336,256,552,198,297,688,686,454,195
2021년10월_남_30~39세,"5,458",297,325,"1,307",274,209,607,165,221,571,655,523,304
2021년10월_남_40~49세,"6,244",403,392,"1,047",392,293,636,241,339,741,778,587,395
2021년10월_남_50~59세,"7,355",457,543,891,533,354,804,380,458,871,"1,049",712,303
2021년10월_남_60~69세,"7,595",392,552,711,562,336,876,399,482,971,"1,210",726,378
2021년10월_남_70~79세,"4,612",275,353,341,384,225,553,269,366,635,698,330,183
2021년10월_남_80~89세,"1,684",86,122,104,154,91,197,105,123,244,263,127,68
2021년10월_남_90~99세,138,3,21,14,11,2,15,12,11,11,20,11,7
2021년10월_남_100세 이상,19,0,5,1,3,0,3,0,0,3,1,2,1
2021년10월_여_총인구수,"44,797","2,459","2,894","6,655","3,069","2,138","5,193","1,997","2,805","5,560","5,986","3,815","2,226"
2021년10월_여_연령구간인구수,"44,797","2,459","2,894","6,655","3,069","2,138","5,193","1,997","2,805","5,560","5,986","3,815","2,226"
2021년10월_여_0~9세,"1,884",84,56,561,80,84,203,40,68,194,160,194,160
2021년10월_여_10~19세,"2,339",122,123,390,168,144,264,88,172,281,298,169,120
2021년10월_여_20~29세,"5,087",346,319,"1,080",261,230,585,156,241,584,609,444,232
2021년10월_여_30~39세,"4,903",251,233,"1,359",200,182,529,129,180,519,501,503,317
2021년10월_여_40~49세,"5,333",310,296,975,373,278,568,190,304,627,605,501,306
2021년10월_여_50~59세,"6,947",361,449,886,468,323,850,292,457,922,986,664,289
2021년10월_여_60~69세,"8,546",477,655,764,636,423,"1,025",413,615,"1,093","1,363",716,366
2021년10월_여_70~79세,"6,058",325,479,381,520,316,735,428,479,849,878,404,264
2021년10월_여_80~89세,"3,195",164,239,220,301,137,370,230,250,427,527,187,143
2021년10월_여_90~99세,455,19,40,38,55,18,49,31,38,54,57,28,28
2021년10월_여_100세 이상,50,0,5,1,7,3,15,0,1,10,2,5,1
