카테고리,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020년02월_계_총인구수,"88,439","4,927","5,944","8,836","6,605","4,367","10,169","4,342","5,803","11,419","12,381","9,005","4,641"
2020년02월_계_연령구간인구수,"88,439","4,927","5,944","8,836","6,605","4,367","10,169","4,342","5,803","11,419","12,381","9,005","4,641"
2020년02월_계_0~9세,"4,133",202,186,718,239,206,427,137,216,493,420,511,378
2020년02월_계_10~19세,"5,321",278,281,529,456,347,644,274,388,691,685,477,271
2020년02월_계_20~29세,"10,456",680,685,"1,289",674,508,"1,256",386,614,"1,376","1,383","1,175",430
2020년02월_계_30~39세,"10,262",557,562,"1,746",559,422,"1,173",331,491,"1,255","1,213","1,215",738
2020년02월_계_40~49세,"12,133",717,805,"1,325",888,652,"1,352",543,766,"1,507","1,550","1,317",711
2020년02월_계_50~59세,"14,966",803,"1,036","1,280","1,113",715,"1,734",750,"1,018","1,947","2,263","1,651",656
2020년02월_계_60~69세,"15,620",858,"1,227","1,063","1,210",748,"1,795",833,"1,088","2,017","2,515","1,524",742
2020년02월_계_70~79세,"10,544",579,788,571,957,544,"1,235",745,836,"1,466","1,562",793,468
2020년02월_계_80~89세,"4,354",219,316,252,440,196,489,306,332,593,705,300,206
2020년02월_계_90~99세,552,28,49,55,56,24,49,35,52,62,72,34,36
2020년02월_계_100세 이상,98,6,9,8,13,5,15,2,2,12,13,8,5
2020년02월_남_총인구수,"43,453","2,472","2,920","4,380","3,225","2,124","4,897","2,170","2,790","5,546","6,114","4,527","2,288"
2020년02월_남_연령구간인구수,"43,453","2,472","2,920","4,380","3,225","2,124","4,897","2,170","2,790","5,546","6,114","4,527","2,288"
2020년02월_남_0~9세,"2,174",93,104,378,125,103,213,77,126,271,227,271,186
2020년02월_남_10~19세,"2,758",159,146,286,254,172,315,158,196,346,331,247,148
2020년02월_남_20~29세,"5,340",342,341,567,375,269,632,217,342,724,740,589,202
2020년02월_남_30~39세,"5,520",306,318,909,320,230,655,194,264,643,663,627,391
2020년02월_남_40~49세,"6,542",412,452,686,462,343,707,306,409,808,862,708,387
2020년02월_남_50~59세,"7,569",420,541,671,558,355,841,417,489,954,"1,143",851,329
2020년02월_남_60~69세,"7,422",408,558,524,563,339,833,397,493,955,"1,224",744,384
2020년02월_남_70~79세,"4,436",252,331,252,393,226,517,285,353,614,670,358,185
2020년02월_남_80~89세,"1,513",68,111,87,158,78,162,109,106,214,235,117,68
2020년02월_남_90~99세,150,9,14,15,12,9,19,10,12,14,16,13,7
2020년02월_남_100세 이상,29,3,4,5,5,0,3,0,0,3,3,2,1
2020년02월_여_총인구수,"44,986","2,455","3,024","4,456","3,380","2,243","5,272","2,172","3,013","5,873","6,267","4,478","2,353"
2020년02월_여_연령구간인구수,"44,986","2,455","3,024","4,456","3,380","2,243","5,272","2,172","3,013","5,873","6,267","4,478","2,353"
2020년02월_여_0~9세,"1,959",109,82,340,114,103,214,60,90,222,193,240,192
2020년02월_여_10~19세,"2,563",119,135,243,202,175,329,116,192,345,354,230,123
2020년02월_여_20~29세,"5,116",338,344,722,299,239,624,169,272,652,643,586,228
2020년02월_여_30~39세,"4,742",251,244,837,239,192,518,137,227,612,550,588,347
2020년02월_여_40~49세,"5,591",305,353,639,426,309,645,237,357,699,688,609,324
2020년02월_여_50~59세,"7,397",383,495,609,555,360,893,333,529,993,"1,120",800,327
2020년02월_여_60~69세,"8,198",450,669,539,647,409,962,436,595,"1,062","1,291",780,358
2020년02월_여_70~79세,"6,108",327,457,319,564,318,718,460,483,852,892,435,283
2020년02월_여_80~89세,"2,841",151,205,165,282,118,327,197,226,379,470,183,138
2020년02월_여_90~99세,402,19,35,40,44,15,30,25,40,48,56,21,29
2020년02월_여_100세 이상,69,3,5,3,8,5,12,2,2,9,10,6,4
