,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년05월_계_총인구수,"140,384","7,176","3,002","3,162","2,486","3,358","4,134","3,208","3,498","1,959","2,270","2,861","1,605","1,286","2,159","1,065","6,886","7,829","4,014","24,809","20,507","10,947","22,163"
2020년05월_계_연령구간인구수,"140,384","7,176","3,002","3,162","2,486","3,358","4,134","3,208","3,498","1,959","2,270","2,861","1,605","1,286","2,159","1,065","6,886","7,829","4,014","24,809","20,507","10,947","22,163"
2020년05월_계_0~9세,"10,713",397,103,78,66,80,157,101,95,57,67,50,35,27,58,13,240,246,153,"2,190","1,458",919,"4,123"
2020년05월_계_10~19세,"11,967",437,135,149,105,113,204,146,192,86,101,96,59,47,126,39,395,452,246,"3,008","2,203","1,133","2,495"
2020년05월_계_20~29세,"14,824",580,250,257,211,200,323,274,323,147,145,190,97,69,128,48,653,839,337,"3,573","2,446","1,361","2,373"
2020년05월_계_30~39세,"15,573",607,216,198,139,190,230,209,219,125,127,128,78,53,120,35,583,736,276,"2,882","2,166","1,310","4,946"
2020년05월_계_40~49세,"19,465",859,308,309,214,260,432,289,328,186,212,213,117,115,169,92,861,893,420,"4,084","3,037","1,866","4,201"
2020년05월_계_50~59세,"24,029","1,454",554,621,487,601,763,650,745,385,438,546,277,229,397,238,"1,174","1,404",699,"4,205","3,769","1,923","2,470"
2020년05월_계_60~69세,"21,239","1,385",640,680,583,780,876,720,765,410,519,661,357,304,458,268,"1,493","1,592",830,"2,628","2,907","1,388",995
2020년05월_계_70~79세,"13,416",830,443,478,401,593,675,505,469,292,349,526,312,242,379,155,"1,003","1,058",679,"1,369","1,592",702,364
2020년05월_계_80~89세,"7,989",538,312,329,245,472,400,277,305,237,272,384,235,175,292,156,429,536,336,771,822,298,168
2020년05월_계_90~99세,"1,117",88,41,58,35,68,70,35,53,33,39,66,34,23,30,19,55,68,35,92,104,45,26
2020년05월_계_100세 이상,52,1,0,5,0,1,4,2,4,1,1,1,4,2,2,2,0,5,3,7,3,2,2
2020년05월_남_총인구수,"70,371","3,617","1,559","1,618","1,257","1,671","2,091","1,635","1,780","1,009","1,128","1,418",801,642,"1,069",518,"3,492","3,855","1,943","12,288","10,195","5,570","11,215"
2020년05월_남_연령구간인구수,"70,371","3,617","1,559","1,618","1,257","1,671","2,091","1,635","1,780","1,009","1,128","1,418",801,642,"1,069",518,"3,492","3,855","1,943","12,288","10,195","5,570","11,215"
2020년05월_남_0~9세,"5,534",213,51,44,38,48,86,57,52,38,31,25,19,15,39,8,128,130,85,"1,127",729,463,"2,108"
2020년05월_남_10~19세,"6,407",226,68,81,56,62,123,85,102,51,55,61,33,25,62,22,189,255,134,"1,542","1,262",625,"1,288"
2020년05월_남_20~29세,"8,334",330,147,158,138,121,203,151,199,74,85,97,64,44,74,31,395,493,177,"1,963","1,435",764,"1,191"
2020년05월_남_30~39세,"8,240",317,132,108,81,118,130,121,124,87,71,79,49,33,76,18,351,443,148,"1,474","1,118",716,"2,446"
2020년05월_남_40~49세,"10,286",490,194,189,135,165,237,173,184,120,132,136,71,72,96,55,524,496,238,"1,981","1,485",962,"2,151"
2020년05월_남_50~59세,"12,520",762,324,362,265,335,417,351,413,209,237,321,159,132,211,129,610,698,361,"2,111","1,785",984,"1,344"
2020년05월_남_60~69세,"10,392",714,321,370,295,412,446,361,386,209,266,337,197,174,238,140,683,677,381,"1,271","1,369",654,491
2020년05월_남_70~79세,"5,783",369,189,195,175,253,300,233,209,134,163,238,120,88,172,60,451,432,276,555,718,305,148
2020년05월_남_80~89세,"2,636",178,122,107,69,145,134,89,104,81,78,106,73,54,96,50,149,217,130,243,278,91,42
2020년05월_남_90~99세,229,17,11,4,5,12,14,13,6,6,10,17,14,5,5,5,12,14,11,21,15,6,6
2020년05월_남_100세 이상,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020년05월_여_총인구수,"70,013","3,559","1,443","1,544","1,229","1,687","2,043","1,573","1,718",950,"1,142","1,443",804,644,"1,090",547,"3,394","3,974","2,071","12,521","10,312","5,377","10,948"
