카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년12월_계_총인구수,"64,182","18,666","19,486","2,401","6,228","2,888","3,478","5,404","1,948","2,771",912
2020년12월_계_연령구간인구수,"64,182","18,666","19,486","2,401","6,228","2,888","3,478","5,404","1,948","2,771",912
2020년12월_계_0~9세,"4,098","1,282","1,932",57,318,63,60,291,18,63,14
2020년12월_계_10~19세,"5,939","1,985","2,633",109,305,85,139,454,59,143,27
2020년12월_계_20~29세,"5,523","2,050","1,589",165,480,178,234,441,121,215,50
2020년12월_계_30~39세,"5,615","1,875","2,021",157,552,144,145,406,92,172,51
2020년12월_계_40~49세,"9,386","2,875","3,823",209,603,274,304,798,163,271,66
2020년12월_계_50~59세,"11,269","3,381","3,133",413,"1,030",568,608,"1,059",351,555,171
2020년12월_계_60~69세,"11,026","2,757","2,477",563,"1,280",719,805,944,510,701,270
2020년12월_계_70~79세,"6,693","1,475","1,235",417,898,492,665,617,368,371,155
2020년12월_계_80~89세,"4,073",864,550,277,675,324,451,346,244,248,94
2020년12월_계_90~99세,546,117,86,34,85,41,67,48,22,32,14
2020년12월_계_100세 이상,14,5,7,0,2,0,0,0,0,0,0
2020년12월_남_총인구수,"32,561","9,400","9,873","1,204","3,224","1,463","1,733","2,799","1,001","1,397",467
2020년12월_남_연령구간인구수,"32,561","9,400","9,873","1,204","3,224","1,463","1,733","2,799","1,001","1,397",467
2020년12월_남_0~9세,"2,047",652,950,26,153,28,33,162,6,28,9
2020년12월_남_10~19세,"3,160","1,088","1,382",60,172,48,73,212,29,80,16
2020년12월_남_20~29세,"3,221","1,203",874,98,301,105,144,251,80,138,27
2020년12월_남_30~39세,"2,864",937,949,85,314,92,86,226,55,89,31
2020년12월_남_40~49세,"5,083","1,491","1,948",123,384,180,192,450,111,161,43
2020년12월_남_50~59세,"6,185","1,767","1,721",229,600,334,353,606,210,272,93
2020년12월_남_60~69세,"5,721","1,364","1,271",303,690,375,415,507,265,384,147
2020년12월_남_70~79세,"2,951",613,598,186,387,198,285,276,156,180,72
2020년12월_남_80~89세,"1,216",257,157,87,201,93,141,104,86,62,28
2020년12월_남_90~99세,109,28,21,7,20,10,11,5,3,3,1
2020년12월_남_100세 이상,4,0,2,0,2,0,0,0,0,0,0
2020년12월_여_총인구수,"31,621","9,266","9,613","1,197","3,004","1,425","1,745","2,605",947,"1,374",445
2020년12월_여_연령구간인구수,"31,621","9,266","9,613","1,197","3,004","1,425","1,745","2,605",947,"1,374",445
2020년12월_여_0~9세,"2,051",630,982,31,165,35,27,129,12,35,5
2020년12월_여_10~19세,"2,779",897,"1,251",49,133,37,66,242,30,63,11
2020년12월_여_20~29세,"2,302",847,715,67,179,73,90,190,41,77,23
2020년12월_여_30~39세,"2,751",938,"1,072",72,238,52,59,180,37,83,20
2020년12월_여_40~49세,"4,303","1,384","1,875",86,219,94,112,348,52,110,23
2020년12월_여_50~59세,"5,084","1,614","1,412",184,430,234,255,453,141,283,78
2020년12월_여_60~69세,"5,305","1,393","1,206",260,590,344,390,437,245,317,123
2020년12월_여_70~79세,"3,742",862,637,231,511,294,380,341,212,191,83
2020년12월_여_80~89세,"2,857",607,393,190,474,231,310,242,158,186,66
2020년12월_여_90~99세,437,89,65,27,65,31,56,43,19,29,13
2020년12월_여_100세 이상,10,5,5,0,0,0,0,0,0,0,0
