카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020년04월_계_총인구수,"41,135","9,259","12,177","1,118","1,430","1,188","1,212","1,706",897,"3,823","2,844","1,293","3,087","1,101"
2020년04월_계_연령구간인구수,"41,135","9,259","12,177","1,118","1,430","1,188","1,212","1,706",897,"3,823","2,844","1,293","3,087","1,101"
2020년04월_계_0~9세,"1,880",699,569,33,42,29,42,69,20,130,68,55,100,24
2020년04월_계_10~19세,"2,688",852,869,50,61,54,69,84,52,180,134,79,167,37
2020년04월_계_20~29세,"3,115",993,868,59,91,68,69,110,47,269,143,100,209,89
2020년04월_계_30~39세,"2,671",851,808,58,77,60,57,77,32,211,167,94,132,47
2020년04월_계_40~49세,"4,360","1,268","1,335",90,118,101,118,140,87,360,254,132,279,78
2020년04월_계_50~59세,"6,854","1,537","1,998",171,250,180,195,265,165,581,490,226,604,192
2020년04월_계_60~69세,"7,471","1,326","2,262",222,279,210,201,332,173,776,585,252,648,205
2020년04월_계_70~79세,"6,686","1,012","2,009",202,260,233,236,325,186,736,529,204,531,223
2020년04월_계_80~89세,"4,684",635,"1,256",200,222,221,200,269,117,501,401,137,358,167
2020년04월_계_90~99세,687,81,187,33,29,31,24,34,17,78,69,14,53,37
2020년04월_계_100세 이상,39,5,16,0,1,1,1,1,1,1,4,0,6,2
2020년04월_남_총인구수,"19,944","4,533","5,915",533,704,562,578,806,462,"1,824","1,365",621,"1,510",531
2020년04월_남_연령구간인구수,"19,944","4,533","5,915",533,704,562,578,806,462,"1,824","1,365",621,"1,510",531
2020년04월_남_0~9세,978,367,303,18,22,11,23,28,10,73,32,30,49,12
2020년04월_남_10~19세,"1,369",405,454,30,36,30,39,47,27,96,68,36,81,20
2020년04월_남_20~29세,"1,749",554,485,33,45,37,38,63,27,157,84,60,122,44
2020년04월_남_30~39세,"1,436",429,446,32,51,24,33,42,21,110,88,54,73,33
2020년04월_남_40~49세,"2,467",636,752,59,71,60,78,81,57,226,155,75,166,51
2020년04월_남_50~59세,"3,818",820,"1,106",99,148,113,113,142,109,335,303,107,318,105
2020년04월_남_60~69세,"3,715",652,"1,089",122,154,105,102,186,88,367,280,131,334,105
2020년04월_남_70~79세,"2,805",436,848,84,102,105,89,134,82,294,215,85,234,97
2020년04월_남_80~89세,"1,460",217,393,49,72,65,59,72,38,152,123,43,121,56
2020년04월_남_90~99세,142,17,34,7,3,12,4,11,3,14,17,0,12,8
2020년04월_남_100세 이상,5,0,5,0,0,0,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"21,191","4,726","6,262",585,726,626,634,900,435,"1,999","1,479",672,"1,577",570
2020년04월_여_연령구간인구수,"21,191","4,726","6,262",585,726,626,634,900,435,"1,999","1,479",672,"1,577",570
2020년04월_여_0~9세,902,332,266,15,20,18,19,41,10,57,36,25,51,12
2020년04월_여_10~19세,"1,319",447,415,20,25,24,30,37,25,84,66,43,86,17
2020년04월_여_20~29세,"1,366",439,383,26,46,31,31,47,20,112,59,40,87,45
2020년04월_여_30~39세,"1,235",422,362,26,26,36,24,35,11,101,79,40,59,14
2020년04월_여_40~49세,"1,893",632,583,31,47,41,40,59,30,134,99,57,113,27
2020년04월_여_50~59세,"3,036",717,892,72,102,67,82,123,56,246,187,119,286,87
2020년04월_여_60~69세,"3,756",674,"1,173",100,125,105,99,146,85,409,305,121,314,100
2020년04월_여_70~79세,"3,881",576,"1,161",118,158,128,147,191,104,442,314,119,297,126
2020년04월_여_80~89세,"3,224",418,863,151,150,156,141,197,79,349,278,94,237,111
2020년04월_여_90~99세,545,64,153,26,26,19,20,23,14,64,52,14,41,29
2020년04월_여_100세 이상,34,5,11,0,1,1,1,1,1,1,4,0,6,2
