카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2021년12월_계_총인구수,"43,331","7,879","18,266","8,613","8,573"
2021년12월_계_연령구간인구수,"43,331","7,879","18,266","8,613","8,573"
2021년12월_계_0~9세,"3,747",634,"1,154","1,261",698
2021년12월_계_10~19세,"6,229",964,"2,266","1,927","1,072"
2021년12월_계_20~29세,"4,871",863,"2,256",793,959
2021년12월_계_30~39세,"4,650",849,"1,671","1,288",842
2021년12월_계_40~49세,"8,215","1,277","3,005","2,435","1,498"
2021년12월_계_50~59세,"7,224","1,429","3,498",750,"1,547"
2021년12월_계_60~69세,"4,915","1,147","2,450",88,"1,230"
2021년12월_계_70~79세,"2,139",470,"1,133",47,489
2021년12월_계_80~89세,"1,145",200,713,22,210
2021년12월_계_90~99세,193,45,119,2,27
2021년12월_계_100세 이상,3,1,1,0,1
2021년12월_남_총인구수,"21,563","3,873","8,897","4,494","4,299"
2021년12월_남_연령구간인구수,"21,563","3,873","8,897","4,494","4,299"
2021년12월_남_0~9세,"1,875",311,585,627,352
2021년12월_남_10~19세,"3,276",487,"1,213","1,013",563
2021년12월_남_20~29세,"2,697",450,"1,221",463,563
2021년12월_남_30~39세,"2,336",428,845,647,416
2021년12월_남_40~49세,"3,986",603,"1,424","1,249",710
2021년12월_남_50~59세,"3,626",713,"1,709",451,753
2021년12월_남_60~69세,"2,353",571,"1,158",21,603
2021년12월_남_70~79세,"1,001",238,499,13,251
2021년12월_남_80~89세,374,67,219,9,79
2021년12월_남_90~99세,38,5,23,1,9
2021년12월_남_100세 이상,1,0,1,0,0
2021년12월_여_총인구수,"21,768","4,006","9,369","4,119","4,274"
2021년12월_여_연령구간인구수,"21,768","4,006","9,369","4,119","4,274"
2021년12월_여_0~9세,"1,872",323,569,634,346
2021년12월_여_10~19세,"2,953",477,"1,053",914,509
2021년12월_여_20~29세,"2,174",413,"1,035",330,396
2021년12월_여_30~39세,"2,314",421,826,641,426
2021년12월_여_40~49세,"4,229",674,"1,581","1,186",788
2021년12월_여_50~59세,"3,598",716,"1,789",299,794
2021년12월_여_60~69세,"2,562",576,"1,292",67,627
2021년12월_여_70~79세,"1,138",232,634,34,238
2021년12월_여_80~89세,771,133,494,13,131
2021년12월_여_90~99세,155,40,96,1,18
2021년12월_여_100세 이상,2,1,0,0,1
