,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년10월_계_총인구수,"122,781","2,235","4,838","2,874","4,043","4,617","5,231","1,759","7,671","13,869","16,741","13,626","10,382","10,329","12,508","12,058"
2021년10월_계_연령구간인구수,"122,781","2,235","4,838","2,874","4,043","4,617","5,231","1,759","7,671","13,869","16,741","13,626","10,382","10,329","12,508","12,058"
2021년10월_계_0~9세,"6,370",166,192,83,169,179,125,41,256,524,987,719,548,657,737,987
2021년10월_계_10~19세,"6,556",125,212,127,190,256,179,39,284,784,939,837,544,827,484,729
2021년10월_계_20~29세,"18,289",251,495,374,735,"1,209","1,049",226,"1,358","2,277","2,016","1,877","1,632","1,337","2,091","1,362"
2021년10월_계_30~39세,"19,963",497,530,407,678,679,885,322,"1,361","2,186","2,348","2,128","1,693","1,310","2,805","2,134"
2021년10월_계_40~49세,"17,474",501,656,412,455,568,628,196,"1,049","1,936","2,391","1,853","1,554","1,499","1,774","2,002"
2021년10월_계_50~59세,"20,105",304,914,486,593,600,808,282,"1,314","2,270","2,777","2,307","1,836","1,920","1,787","1,907"
2021년10월_계_60~69세,"17,978",240,"1,030",514,611,538,837,389,"1,099","2,005","2,715","2,047","1,354","1,510","1,555","1,534"
2021년10월_계_70~79세,"10,273",100,529,304,357,356,504,171,638,"1,234","1,575","1,146",819,752,874,914
2021년10월_계_80~89세,"4,905",42,227,134,193,201,188,76,259,562,841,624,357,443,338,420
2021년10월_계_90~99세,813,8,51,30,53,30,26,17,50,82,149,86,43,65,62,61
2021년10월_계_100세 이상,55,1,2,3,9,1,2,0,3,9,3,2,2,9,1,8
2021년10월_남_총인구수,"59,802","1,065","2,518","1,255","2,049","2,358","2,676","1,067","3,790","6,750","7,819","6,436","5,056","5,006","5,971","5,986"
2021년10월_남_연령구간인구수,"59,802","1,065","2,518","1,255","2,049","2,358","2,676","1,067","3,790","6,750","7,819","6,436","5,056","5,006","5,971","5,986"
2021년10월_남_0~9세,"3,310",86,102,51,91,92,65,19,106,277,496,374,279,376,387,509
2021년10월_남_10~19세,"3,239",37,93,57,96,129,83,17,126,419,478,414,261,412,241,376
2021년10월_남_20~29세,"8,498",93,231,162,354,639,442,106,598,"1,111",952,898,733,651,865,663
2021년10월_남_30~39세,"9,958",227,235,219,352,367,496,183,682,"1,144","1,122","1,057",856,630,"1,384","1,004"
2021년10월_남_40~49세,"8,924",265,348,180,249,297,337,123,581,991,"1,173",907,799,733,883,"1,058"
2021년10월_남_50~59세,"10,191",146,523,210,341,313,460,208,707,"1,085","1,311","1,102",968,933,906,978
2021년10월_남_60~69세,"8,978",141,601,221,304,269,452,264,574,934,"1,259",978,663,759,756,803
2021년10월_남_70~79세,"4,656",52,274,111,174,166,259,104,298,561,689,453,353,337,409,416
2021년10월_남_80~89세,"1,808",15,98,37,69,76,72,36,104,205,300,230,128,154,125,159
2021년10월_남_90~99세,223,3,12,6,17,10,9,7,11,22,38,22,16,18,15,17
2021년10월_남_100세 이상,17,0,1,1,2,0,1,0,3,1,1,1,0,3,0,3
2021년10월_여_총인구수,"62,979","1,170","2,320","1,619","1,994","2,259","2,555",692,"3,881","7,119","8,922","7,190","5,326","5,323","6,537","6,072"
2021년10월_여_연령구간인구수,"62,979","1,170","2,320","1,619","1,994","2,259","2,555",692,"3,881","7,119","8,922","7,190","5,326","5,323","6,537","6,072"
2021년10월_여_0~9세,"3,060",80,90,32,78,87,60,22,150,247,491,345,269,281,350,478
2021년10월_여_10~19세,"3,317",88,119,70,94,127,96,22,158,365,461,423,283,415,243,353
2021년10월_여_20~29세,"9,791",158,264,212,381,570,607,120,760,"1,166","1,064",979,899,686,"1,226",699
2021년10월_여_30~39세,"10,005",270,295,188,326,312,389,139,679,"1,042","1,226","1,071",837,680,"1,421","1,130"
2021년10월_여_40~49세,"8,550",236,308,232,206,271,291,73,468,945,"1,218",946,755,766,891,944
2021년10월_여_50~59세,"9,914",158,391,276,252,287,348,74,607,"1,185","1,466","1,205",868,987,881,929
2021년10월_여_60~69세,"9,000",99,429,293,307,269,385,125,525,"1,071","1,456","1,069",691,751,799,731
2021년10월_여_70~79세,"5,617",48,255,193,183,190,245,67,340,673,886,693,466,415,465,498
2021년10월_여_80~89세,"3,097",27,129,97,124,125,116,40,155,357,541,394,229,289,213,261
2021년10월_여_90~99세,590,5,39,24,36,20,17,10,39,60,111,64,27,47,47,44
2021년10월_여_100세 이상,38,1,1,2,7,1,1,0,0,8,2,1,2,6,1,5
